   	      	                       fitness                        	                         size                         
   	      	------------------------------------------------------	------------------------------------------------------
gen	nevals	dvp        	gen	max    	media  	min    	nevals	dvp     gen	max	media	min	nevals
0  	100   	0.223599   	0  	50.437 	49.7657	49.2405	100   	2.02593 0  	11 	4.34 	1  	100   
1  	100   	0.0992432  	1  	49.7447	49.4725	49.2405	100   	1.75545 1  	8  	4.72 	1  	100   
2  	100   	0.0661455  	2  	49.5059	49.377 	49.2405	100   	1.62899 2  	8  	4.92 	2  	100   
3  	100   	0.0599056  	3  	49.4604	49.3094	49.2194	100   	1.27949 3  	7  	5.23 	2  	100   
4  	100   	0.0372331  	4  	49.3532	49.2516	49.192 	100   	1.12512 4  	7  	5.29 	2  	100   
5  	100   	0.0357556  	5  	49.2826	49.2053	49.0903	100   	1.23596 5  	9  	5.82 	3  	100   
6  	100   	0.0449289  	6  	49.2405	49.1632	49.0903	100   	1.51842 6  	9  	6.88 	5  	100   
7  	100   	0.0410833  	7  	49.192 	49.1171	49.062 	100   	1.42324 7  	9  	8.12 	5  	100   
8  	100   	0.0140998  	8  	49.1763	49.0857	49.0611	100   	0.1989978  	9  	8.98 	7  	100   
9  	100   	0.0197231  	9  	49.2213	49.0764	49.0611	100   	0.1989979  	9  	8.98 	7  	100   
10 	100   	0.00649157 	10 	49.0903	49.0635	49.0611	100   	0       10 	9  	9    	9  	100   
11 	100   	0.00389263 	11 	49.0903	49.0619	49.0611	100   	0       11 	9  	9    	9  	100   
12 	100   	0.000213738	12 	49.062 	49.0612	49.0611	100   	0       12 	9  	9    	9  	100   
13 	100   	0.00211636 	13 	49.0611	49.0607	49.0503	100   	0       13 	9  	9    	9  	100   
14 	100   	0.0157005  	14 	49.2136	49.0613	49.0503	100   	0.19899714 	11 	9.02 	9  	100   
15 	100   	0.0050783  	15 	49.0611	49.0575	49.0503	100   	0       15 	9  	9    	9  	100   
16 	100   	0.0332811  	16 	49.3127	49.0574	49.0503	100   	0.22338316 	11 	9.01 	8  	100   
17 	100   	0.00192659 	17 	49.0611	49.0507	49.0503	100   	0       17 	9  	9    	9  	100   
18 	100   	0          	18 	49.0503	49.0503	49.0503	100   	0       18 	9  	9    	9  	100   
19 	100   	0.00912548 	19 	49.1339	49.0504	49.032 	100   	0       19 	9  	9    	9  	100   
20 	100   	0.0217855  	20 	49.2537	49.0506	49.032 	100   	0.19899720 	9  	8.98 	7  	100   
21 	100   	0.0160376  	21 	49.1816	49.0459	49.032 	100   	0       21 	9  	9    	9  	100   
22 	100   	0.00813075 	22 	49.0503	49.0371	49.032 	100   	0       22 	9  	9    	9  	100   
1  	100   	0.0101851  	1  	49.1329	49.0332	49.032 	100   	0       1  	9  	9    	9  	100   
2  	100   	0.0182182  	2  	49.2151	49.0338	49.032 	100   	0.1989972  	11 	9.02 	9  	100   
3  	100   	0          	3  	49.032 	49.032 	49.032 	100   	0       3  	9  	9    	9  	100   
4  	100   	0          	4  	49.032 	49.032 	49.032 	100   	0       4  	9  	9    	9  	100   
5  	100   	0.00841759 	5  	49.1166	49.0328	49.032 	100   	0       5  	9  	9    	9  	100   
6  	100   	0          	6  	49.032 	49.032 	49.032 	100   	0       6  	9  	9    	9  	100   
7  	100   	0.0391133  	7  	49.4153	49.0367	49.032 	100   	0.1989977  	11 	9.02 	9  	100   

