"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_re_compile,0,0,0,0,0,1,0,0,0,0,1
function@Perl_re_intuit_string,0,0,0,0,0,0,0,0,0,0,0
function@Perl_regfree_internal,0,0,0,0,0,3,0,0,0,0,2.5
function@Perl_reg_numbered_buff_fetch,0,0,0,0,0,10,0,0,0,0,2.43846
function@Perl_reg_numbered_buff_store,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_numbered_buff_length,0,0,0,0,0,13,0,0,0,0,2.92779
function@Perl_reg_named_buff,0,0,0,0,0,7,0,0,0,0,0.939199
function@Perl_reg_named_buff_iter,0,0,0,0,0,6,0,0,0,0,2.95
function@Perl_reg_qr_package,0,0,0,0,0,0,0,0,0,0,0
function@Perl_re_op_compile,90,0,0,27,0,178,340.721,0,47.6228,0,3773.18
function@Perl_reginitcolors,0,0,0,0,0,0,0,0,0,0,0
function@Perl_current_re_engine,0,0,0,0,0,4,0,0,0,0,0.606009
function@Perl_pregcomp,0,0,0,0,0,5,0,0,0,0,5
function@Perl__new_invlist_C_array,0,0,0,0,0,3,0,0,0,0,3
function@Perl__new_invlist,0,0,0,0,0,3,0,0,0,0,2.75
function@Perl__add_range_to_invlist,0,0,0,0,0,16,0,0,0,0,7.27881
function@S_concat_pat,18,0,0,10,0,63,120.587,0,7.98752,0,575.141
function@S_reg,78,0,0,32,0,309,22.0574,0,8.77891,0,143.082
function@Perl_regnext,0,0,0,0,0,3,0,0,0,0,1.58824
function@S_ssc_init,0,0,0,0,0,5,0,0,0,0,4.75
function@S_study_chunk,485,2,0,127,0,447,6363.5,8.5459,2129.01,0,7954.67
function@S_scan_commit,0,0,0,0,0,5,0,0,0,0,4.61905
function@S_is_ssc_worth_it,0,0,0,0,0,9,0,0,0,0,9.37459
