"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_bugPKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_diePKc,0,0,0,0,0,1,0,0,0,0,1
function@main,34,0,0,15,0,115,491.794,0,77.9599,0,312.67
function@_ZN9ResultSetD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,551,0,0,205,0,326,9800.79,0,3140.72,0,1897.99
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,0,0,0,0,0,11,0,0,0,0,62.84
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,21,0,0,10,0,27,6.97059,0,5.85294,0,16.1912
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,900,0,0,407,0,390,17724.7,0,9271.56,0,3687.77
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,613,0,0,225,0,330,10577.3,0,3392.44,0,1739.49
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,415,0,0,149,0,242,582.319,0,205.531,0,939.248
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,418,0,0,155,0,237,7290.51,0,1024.95,0,1100.86
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,583,0,0,264,0,370,12821.4,0,4136.3,0,1678.07
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,464,0,0,167,0,246,7590.23,0,1194.24,0,1280.43
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,326,0,0,139,0,267,514.69,0,159.379,0,1062.68
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,0,0,0,0,0,7,0,0,0,0,2.97647
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@_ZN5Patch9moveatomsEv,0,0,0,0,0,6,0,0,0,0,45.5
function@_ZN5Patch10zeroforcesEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,2,0,0,0,0,1.33333
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,0,0,0,0,0,29,0,0,0,0,7.19157
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,25,0,0,0,0,25
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,25,0,0,0,0,25
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,0,0,0,0,0,14,0,0,0,0,6.99999
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchListD2Ev,0,0,0,0,0,6,0,0,0,0,2.25002
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN9PatchList10setresultsEP9ResultSet,0,0,0,0,0,9,0,0,0,0,4.875
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,0,0,0,0,0,20,0,0,0,0,8.4499
