"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_bugPKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_diePKc,0,0,0,0,0,1,0,0,0,0,1
function@main,32,0,0,15,0,115,491.794,0,77.9599,0,312.67
function@_ZN9ResultSetD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,516,0,0,212,0,314,9533.85,0,2906.61,0,3071.65
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,0,0,0,0,0,11,0,0,0,0,62.84
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,15,0,0,10,0,28,5.69118,0,5.07353,0,17.1912
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,852,0,0,417,0,430,17842.7,0,9496.05,0,4282.41
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,558,0,0,232,0,325,10108.9,0,3333.6,0,2707.38
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,482,0,0,148,0,259,726.722,0,208.666,0,966.931
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,376,0,0,161,0,252,7189.45,0,1024.78,0,1350.31
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,588,0,0,264,0,366,12672.3,0,3782.65,0,2636.44
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,458,0,0,171,0,281,7511.64,0,1196.58,0,1927.11
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,312,0,0,135,0,268,516.781,0,152.343,0,1055.15
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,0,0,0,0,0,7,0,0,0,0,2.97647
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@_ZN5Patch9moveatomsEv,0,0,0,0,0,6,0,0,0,0,45.5
function@_ZN5Patch10zeroforcesEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,2,0,0,0,0,1.33333
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,0,0,0,0,0,29,0,0,0,0,7.19157
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,25,0,0,0,0,25
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,25,0,0,0,0,25
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,0,0,0,0,0,14,0,0,0,0,6.99999
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchListD2Ev,0,0,0,0,0,6,0,0,0,0,2.25002
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN9PatchList10setresultsEP9ResultSet,0,0,0,0,0,9,0,0,0,0,4.875
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,0,0,0,0,0,20,0,0,0,0,8.4499
