"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,120,0,0,64,0,591,44502.1,0,1261.56,0,31860.9
function@_QMplane_source_modPplane_source_init,52,0,0,12,0,112,4887.69,0,12,0,2144.98
function@_QMplane_source_modPplane_source_read,9,0,0,5,0,180,73.7578,0,4.73438,0,1733.07
function@_QMplane_source_modPplane_source_apply,0,0,0,0,0,10,0,0,0,0,28.9375
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,0,0,0,0,0,379,0,0,0,0,73.0884
function@_QMmur_modPmur_init,3,0,0,2,0,198,1.625,0,2,0,158.719
function@_QMmur_modPmur_updatee,275,0,0,69,0,177,132.675,0,30.404,0,178.861
function@_QMmur_modPmur_storee,30,0,0,10,0,68,6.75926,0,10,0,177.111
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,7,0,0,6,0,6,100.2,0,16.95,0,87.1
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,655,0,0,192,0,38,7251.42,0,1460,0,668
function@_QMupdate_modPupdatee,1054,0,0,215,0,225,69049.9,0,8504.81,0,123710
function@_QMupdate_modPupdate_inith,90,0,0,44,0,48,725.88,0,61.84,0,2611.76
function@_QMupdate_modPupdate_inite,160,0,0,31,0,78,2141.83,0,31,0,1678.28
function@_QMupml_modPupml_allocate,0,0,0,0,0,371,0,0,0,0,318.059
function@_QMupml_modPcheck_allocate,0,0,0,0,0,22,0,0,0,0,1.02445e-08
function@_QMupml_modPupml_set_eps_arrays,23,0,0,17,0,122,1003.88,0,136.938,0,357.406
function@_QMupml_modPupml_init,3045,0,0,481,0,1202,999.241,0,181.114,0,1081.5
function@_QMupml_modPupml_initb,45,0,0,31,0,47,2832.43,0,328.048,0,1951.1
function@_QMupml_modPupml_inith,224,0,0,76,0,53,6868,0,88.9524,0,1937.67
function@_QMupml_modPupml_updateh,1138,0,0,549,0,35,1.1233e+06,0,46430.3,0,31908.1
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,4177,0,0,1337,0,266,1.12376e+06,0,69753.2,0,228895
function@_QMupml_modPupml_updatee_simple,4528,1,0,1521,0,318,1.29989e+06,0.625,97822.1,0,249172
function@_QMupml_modPupml_initd,58,0,0,32,0,77,3373.03,0,390.029,0,2447.29
function@_QMupml_modPupml_inite,293,0,0,82,0,72,8745.65,0,76.8824,0,2287.26
function@_QMupml_modPupml_end,0,0,0,0,0,450,0,0,0,0,241.667
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,9,0,0,0,0,6.33333
function@_QMreadline_modPreadline,9,0,0,7,0,67,12.1033,0,6,0,185.799
function@_QMreadline_modPcheckifkeyword,0,0,0,0,0,8,0,0,0,0,33.7308
function@mpi_barrier_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_bcast_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_bcast_integers_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_bcast_reals_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_bcast_logical_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_cart_rank_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_cart_create_,0,0,0,0,0,15,0,0,0,0,15
function@mpi_cart_coords_,0,0,0,0,0,11,0,0,0,0,11
function@mpi_cart_shift_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_comm_rank_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_comm_size_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_ssend_,0,0,0,0,0,15,0,0,0,0,15
function@mpi_bsend_,0,0,0,0,0,15,0,0,0,0,15
function@mpi_sendrecv_,4,0,0,4,0,26,4,0,4,0,26
function@mpi_wait_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_isend_,0,0,0,0,0,16,0,0,0,0,16
function@mpi_wtick_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_buffer_attach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_buffer_detach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_pack_size_,0,0,0,0,0,10,0,0,0,0,10
function@mpi_gather_,0,0,0,0,0,16,0,0,0,0,16
function@mpi_type_struct_,0,0,0,0,0,16,0,0,0,0,16
function@mpi_type_commit_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_extent_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_type_free_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_vector_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_type_hvector_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_irecv_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_waitall_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_sendrecv_replace_,4,0,0,4,0,26,4,0,4,0,26
function@mpi_bsend_init_,0,0,0,0,0,15,0,0,0,0,15
function@mpi_recv_init_,0,0,0,0,0,15,0,0,0,0,15
function@mpi_dims_create_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_start_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_allreduce_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_reduce_,0,0,0,0,0,0,0,0,0,0,0
