"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,8,0,0,0,0,8
function@set_data_tile_,0,0,0,0,0,34,0,0,0,0,34
function@get_3dfld_,164,0,0,49,0,103,39.7511,0,22.1622,0,146.117
function@set_ngfldr_,0,0,0,0,0,0,0,0,0,0,0
function@close_io_,0,0,0,0,0,35,0,0,0,0,10.3929
function@_QMdiag_modPdiag,0,0,0,0,0,8,0,0,0,0,8
function@_QMdiag_modPdiag_tile,371,2,0,75,0,54,38633.2,1.75562,239.202,0,4693.27
function@_QMmod_mixingPallocate_mixing,62,0,0,14,0,6,61.5,0,14,0,5
function@_QMmod_mixingPinitialize_mixing,54,0,0,9,0,30,6487.2,0,32.68,0,14788.6
function@_QMset_zeta_modPset_zeta,0,0,0,0,0,8,0,0,0,0,8
function@_QMset_zeta_modPset_zeta_tile,25,0,0,11,0,24,294.029,0,30.8088,0,46.6912
function@def_impulse_,0,0,0,0,0,0,0,0,0,0,0
function@get_3dfldr_,0,0,0,0,0,0,0,0,0,0,0
function@_QMdef_var_modPdef_var,191,0,0,22,0,512,10.3256,0,6.93505,0,181.184
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,28,0,0,11,0,27,2354.04,0,67.0367,0,9012.72
function@_QMnrutilParray_copy_r,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParray_copy_d,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParray_copy_i,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParth_r,3,0,0,2,0,15,88.098,0,5.15686,0,56.6471
function@_QMnrutilParth_d,3,0,0,2,0,15,88.098,0,5.15686,0,56.6471
function@_QMnrutilParth_i,0,0,0,0,0,15,0,0,0,0,56.6471
function@_QMnrutilPnrerror,0,0,0,0,0,8,0,0,0,0,8
function@_QMnrutilPreallocate_rv,0,0,0,0,0,16,0,0,0,0,7.38281
function@_QMnrutilPreallocate_iv,0,0,0,0,0,16,0,0,0,0,7.38281
function@_QMnrutilPreallocate_hv,0,0,0,0,0,23,0,0,0,0,8.39233
function@_QMnrutilPreallocate_rm,4,0,0,1,0,32,2.11328,0,1,0,78.7188
function@_QMnrutilPreallocate_im,4,0,0,1,0,32,2.11328,0,1,0,78.7188
function@_QMlmd_vmix_modPlmd_vmix,0,0,0,0,0,12,0,0,0,0,12
