"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@vprintf,0,0,0,0,0,2,0,0,0,0,2
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putchar_unlocked,0,0,0,0,0,2,0,0,0,0,1.0005
function@getline,0,0,0,0,0,1,0,0,0,0,1
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@xstrndup,0,0,0,0,0,5,0,0,0,0,5
function@vprintf,0,0,0,0,0,2,0,0,0,0,2
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putchar_unlocked,0,0,0,0,0,2,0,0,0,0,1.0005
function@getline,0,0,0,0,0,1,0,0,0,0,1
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@tolower,0,0,0,0,0,2,0,0,0,0,2
function@toupper,0,0,0,0,0,2,0,0,0,0,2
function@atoi,0,0,0,0,0,0,0,0,0,0,0
function@atol,0,0,0,0,0,0,0,0,0,0,0
function@atoll,0,0,0,0,0,0,0,0,0,0,0
function@bsearch,0,0,0,0,0,12,0,0,0,0,37.7188
function@atof,0,0,0,0,0,0,0,0,0,0,0
function@fake_ngettext,0,0,0,0,0,0,0,0,0,0,0
function@get_spaces,0,0,0,0,0,5,0,0,0,0,5
function@vprintf,0,0,0,0,0,2,0,0,0,0,2
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putchar_unlocked,0,0,0,0,0,2,0,0,0,0,1.0005
function@getline,0,0,0,0,0,1,0,0,0,0,1
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@tolower,0,0,0,0,0,2,0,0,0,0,2
function@toupper,0,0,0,0,0,2,0,0,0,0,2
function@atoi,0,0,0,0,0,0,0,0,0,0,0
function@atol,0,0,0,0,0,0,0,0,0,0,0
function@atoll,0,0,0,0,0,0,0,0,0,0,0
function@bsearch,0,0,0,0,0,12,0,0,0,0,37.7188
function@atof,0,0,0,0,0,0,0,0,0,0,0
function@reset_inline_failed,0,0,0,0,0,0,0,0,0,0,0
function@compute_call_stmt_bb_frequency,0,0,0,0,0,0,0,0,0,0,0
function@build_cgraph_edges,0,0,0,0,0,20,0,0,0,0,1065.68
function@record_reference,0,0,0,0,0,6,0,0,0,0,2.35938
function@record_references_in_initializer,0,0,0,0,0,5,0,0,0,0,5
function@rebuild_cgraph_edges,0,0,0,0,0,7,0,0,0,0,72.1667
function@remove_cgraph_callee_edges,0,0,0,0,0,0,0,0,0,0,0
function@vprintf,0,0,0,0,0,2,0,0,0,0,2
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putc_unlocked,0,0,0,0,0,3,0,0,0,0,1.001
function@putchar_unlocked,0,0,0,0,0,2,0,0,0,0,1.0005
function@getline,0,0,0,0,0,1,0,0,0,0,1
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@tolower,0,0,0,0,0,2,0,0,0,0,2
function@toupper,0,0,0,0,0,2,0,0,0,0,2
function@atoi,0,0,0,0,0,0,0,0,0,0,0
function@atol,0,0,0,0,0,0,0,0,0,0,0
function@atoll,0,0,0,0,0,0,0,0,0,0,0
function@bsearch,0,0,0,0,0,12,0,0,0,0,37.7188
function@atof,0,0,0,0,0,0,0,0,0,0,0
function@gcov_open,0,0,0,0,0,6,0,0,0,0,3.04636
function@gcov_close,0,0,0,0,0,1,0,0,0,0,0.627451
function@gcov_magic,0,0,0,0,0,1,0,0,0,0,0.25
function@gcov_write_unsigned,0,0,0,0,0,1,0,0,0,0,1
function@gcov_write_string,0,0,0,0,0,6,0,0,0,0,4.38095
function@gcov_write_tag,0,0,0,0,0,4,0,0,0,0,2.33333
function@gcov_write_length,0,0,0,0,0,1,0,0,0,0,1
function@gcov_read_unsigned,0,0,0,0,0,1,0,0,0,0,0.380952
function@gcov_read_words,0,0,0,0,0,2,0,0,0,0,1.25806
function@gcov_read_counter,0,0,0,0,0,1,0,0,0,0,0.380952
function@gcov_read_string,0,0,0,0,0,0,0,0,0,0,0
function@gcov_read_summary,0,0,0,0,0,7,0,0,0,0,3.28571
function@gcov_sync,0,0,0,0,0,2,0,0,0,0,2
function@get_gcov_type,0,0,0,0,0,0,0,0,0,0,0
function@get_coverage_counts,0,0,0,0,0,22,0,0,0,0,7.52295
function@coverage_checksum_string,0,0,0,0,0,19,0,0,0,0,66.0934
function@coverage_counter_alloc,0,0,0,0,0,6,0,0,0,0,2.85156
function@tree_coverage_counter_ref,0,0,0,0,0,6,0,0,0,0,6
function@tree_coverage_counter_addr,0,0,0,0,0,7,0,0,0,0,7
function@coverage_begin_output,0,0,0,0,0,18,0,0,0,0,3.875
function@coverage_end_function,0,0,0,0,0,3,0,0,0,0,1.875
function@coverage_init,24,0,0,14,0,34,0.766797,0,0.886546,0,17.4587
function@htab_counts_entry_hash,0,0,0,0,0,0,0,0,0,0,0
function@htab_counts_entry_eq,0,0,0,0,0,1,0,0,0,0,0.5
function@htab_counts_entry_del,0,0,0,0,0,2,0,0,0,0,2
function@coverage_finish,14,0,0,7,0,170,8.36914,0,4.375,0,679.053
function@vprintf,0,0,0,0,0,2,0,0,0,0,2
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
