"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@re_set_syntax,0,0,0,0,0,2,0,0,0,0,2
function@re_compile_fastmap,3,0,0,3,0,54,0.501596,0,0.512765,0,95.5334
function@re_set_registers,0,0,0,0,0,0,0,0,0,0,0
function@re_search,0,0,0,0,0,5,0,0,0,0,5
function@re_search_2,6,0,0,3,0,38,3.24817,0,1.10706,0,27.5012
function@re_match_2_internal,370,0,0,105,0,292,11.7625,0,19.3399,0,39.7807
function@group_match_null_string_p,0,0,0,0,0,17,0,0,0,0,72.1933
function@common_op_match_null_string_p,0,0,0,0,0,10,0,0,0,0,4.26786
function@re_match,0,0,0,0,0,5,0,0,0,0,5
function@re_match_2,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_pattern,0,0,0,0,0,2,0,0,0,0,1.38095
function@regex_compile,202,0,0,32,0,196,4.07842,0,4.23391,0,22.8882
function@compile_range,0,0,0,0,0,2,0,0,0,0,0.308824
function@regcomp,0,0,0,0,0,15,0,0,0,0,13.1548
function@regexec,0,0,0,0,0,23,0,0,0,0,10.7871
function@regerror,0,0,0,0,0,10,0,0,0,0,5.875
function@regfree,0,0,0,0,0,1,0,0,0,0,1
function@CCTKi_BindingsThorn_PUGHReduce,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionAvg_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionAvgArrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionAvg,158,0,0,26,0,175,2044.84,0,17.6302,0,1925.28
function@PUGH_ReductionAvgGVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm3_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm3Arrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionNorm3,179,0,0,29,0,194,2299.54,0,18.9338,0,3733.62
function@PUGH_ReductionNorm3GVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm2_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm2Arrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionNorm2,178,0,0,29,0,187,2403.82,0,63.0281,0,6119.34
function@PUGH_ReductionNorm2GVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNormInf_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNormInfArrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionNormInf,176,0,0,17,0,168,2581.58,0,10.7059,0,1997.04
function@PUGH_ReductionNormInfGVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReduceGA_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceGridArrays,18,0,0,11,0,90,14.8887,0,11,0,82.8074
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionCount_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionCountArrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionCount,0,0,0,0,0,4,0,0,0,0,2.55172
function@PUGH_ReductionCountGVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReduceArraysGlobally_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceArraysGlobally,5,0,0,5,0,89,4.20703,0,4.80078,0,58.8426
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm1_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm1Arrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionNorm1,177,0,0,28,0,190,2231.87,0,18.3088,0,1919.37
function@PUGH_ReductionNorm1GVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_Reduction_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionArrays,1,0,0,2,0,28,0.12085,0,0.46875,0,13.3557
function@copy_real_to_outtype,0,0,0,0,0,57,0,0,0,0,1.55935
function@PUGH_ReductionGVs,9,0,0,5,0,27,12.7148,0,2.36621,0,50.6973
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionSum_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionSumArrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionSum,144,0,0,22,0,170,1930.74,0,15.1321,0,1924.8
function@PUGH_ReductionSumGVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionMax_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionMaxValArrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionMaxVal,225,0,0,24,0,171,1945.77,0,16.3811,0,1238.33
function@PUGH_ReductionMaxValGVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionMin_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionMinValArrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionMinVal,225,0,0,24,0,171,1945.77,0,16.3811,0,1238.33
function@PUGH_ReductionMinValGVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm4_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm4Arrays,0,0,0,0,0,5,0,0,0,0,5
function@ReductionNorm4,177,0,0,29,0,197,2451.8,0,18.9338,0,11171.8
function@PUGH_ReductionNorm4GVs,0,0,0,0,0,7,0,0,0,0,7
function@CCTKi_version_CactusPUGH_PUGHReduce_Startup_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGHReduce_Startup,0,0,0,0,0,55,0,0,0,0,55
function@CCTKi_BindingsThorn_PUGHInterp,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHInterp_InterpGridArrays_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGHInterp_InterpGridArrays,6,0,0,3,0,15,3,0,3,0,10
function@PUGHInterp_DriverInterpolate,40,0,0,16,0,50,0.627813,0,0.147699,0,11.7008
function@PrepareParameterTable,0,0,0,0,0,43,0,0,0,0,20.7941
function@CCTKi_version_CactusPUGH_PUGHInterp_Startup_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGHInterp_Startup,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_src_datestamp_c,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_CompileTime,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_CompileDate,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_CompileDateTime,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_FullVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_MajorVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_MinorVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_MicroVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_ADMCoupling,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_Cactus,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_comm_CactusDefaultComm_c,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultSetupGH,0,0,0,0,0,45,0,0,0,0,9.65869
function@CactusDefaultnProcs,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultExit,0,0,0,0,0,1,0,0,0,0,1
function@CactusDefaultAbort,0,0,0,0,0,1,0,0,0,0,1
function@CactusDefaultSyncGroup,0,0,0,0,0,3,0,0,0,0,3
function@CactusDefaultSyncGroupsByDirI,0,0,0,0,0,11,0,0,0,0,55.0882
function@CactusDefaultEnableGroupStorage,0,0,0,0,0,3,0,0,0,0,2.25
function@CactusDefaultGroupStorageIncrease,0,0,0,0,0,22,0,0,0,0,40.9444
function@CactusDefaultDisableGroupStorage,0,0,0,0,0,3,0,0,0,0,2.25
function@CactusDefaultGroupStorageDecrease,0,0,0,0,0,22,0,0,0,0,33.0185
function@CactusDefaultInterpGridArrays,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_comm_Interp_c,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_NumInterpOperators,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_InterpOperatorImplementation,0,0,0,0,0,1,0,0,0,0,1
function@CCTK_InterpRegisterOpLocalUniform,0,0,0,0,0,10,0,0,0,0,5.42725
function@CCTK_InterpHandle,0,0,0,0,0,5,0,0,0,0,4.38095
function@cctk_interphandle_,0,0,0,0,0,8,0,0,0,0,7.38095
function@CCTK_InterpOperator,0,0,0,0,0,4,0,0,0,0,2.7619
function@cctk_interpgridarrays_,0,0,0,0,0,2,0,0,0,0,2
function@CCTK_InterpLocalUniform,5,0,0,5,0,8,2,0,5,0,5.8
function@cctk_interplocaluniform_,0,0,0,0,0,12,0,0,0,0,7.4
function@CCTKi_version_comm_Reduction_c,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_RegisterReductionOperator,0,0,0,0,0,11,0,0,0,0,7.3125
