"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,0,0,0,0,0,15,0,0,0,0,59.2917
function@MAIN_parseCommandLine,0,0,0,0,0,3,0,0,0,0,3
function@MAIN_printInfo,0,0,0,0,0,1,0,0,0,0,1
function@MAIN_initialize,0,0,0,0,0,3,0,0,0,0,3
function@MAIN_finalize,0,0,0,0,0,1,0,0,0,0,1
function@LBM_allocateGrid,0,0,0,0,0,2,0,0,0,0,1
function@LBM_freeGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid.omp_outlined,0,0,0,0,0,3,0,0,0,0,3
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,0,0,0,0,0,12,0,0,0,0,34917.2
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForLDC.omp_outlined,0,0,0,0,0,15,0,0,0,0,575.944
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForChannel.omp_outlined,0,0,0,0,0,11,0,0,0,0,734.167
function@LBM_performStreamCollideBGK,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideBGK.omp_outlined,0,0,0,0,0,9,0,0,0,0,36.5
function@LBM_performStreamCollideTRT,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideTRT.omp_outlined,49,0,0,26,0,7,392,0,193.5,0,20.5
function@LBM_handleInOutFlow,0,0,0,0,0,2,0,0,0,0,2
function@LBM_handleInOutFlow.omp_outlined,0,0,0,0,0,7,0,0,0,0,67
function@LBM_handleInOutFlow.omp_outlined.2,0,0,0,0,0,18,0,0,0,0,243
function@LBM_showGridStatistics,0,0,0,0,0,17,0,0,0,0,20
function@LBM_storeVelocityField,0,0,0,0,0,17,0,0,0,0,122951
function@LBM_compareVelocityField,28,0,0,13,0,16,884737,0,393217,0,86088
