"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@newmolecule,0,0,0,0,0,2,0,0,0,0,2
function@freeresidue,0,0,0,0,0,5,0,0,0,0,14.9118
function@freemolecule,0,0,0,0,0,4,0,0,0,0,22.375
function@addstrand,0,0,0,0,0,18,0,0,0,0,35.0853
function@addresidue,0,0,0,0,0,15,0,0,0,0,26
function@connectres,2,0,0,1,0,39,0.114838,0,0.0991651,0,19.2726
function@mergestr,8,0,0,3,0,56,0.333459,0,0.549116,0,52.2266
function@upd_molnumbers,0,0,0,0,0,19,0,0,0,0,1682.33
function@countmolstrands,0,0,0,0,0,4,0,0,0,0,3
function@countstrandresidues,0,0,0,0,0,1,0,0,0,0,15.75
function@countmolres,0,0,0,0,0,7,0,0,0,0,22
function@countmolatoms,0,0,0,0,0,8,0,0,0,0,396.524
function@dist,0,0,0,0,0,5,0,0,0,0,5
function@distp,0,0,0,0,0,0,0,0,0,0,0
function@angle,0,0,0,0,0,9,0,0,0,0,8.88581
function@anglep,0,0,0,0,0,1,0,0,0,0,0.888889
function@torsion,0,0,0,0,0,11,0,0,0,0,11
function@torsionp,6,0,0,2,0,6,6,0,2,0,3.5
function@getresname,0,0,0,0,0,1,0,0,0,0,1
function@cap,15,0,0,6,0,46,22.6218,0,4.81903,0,90.5688
function@delete_atom,0,0,0,0,0,7,0,0,0,0,33.2794
function@copyextbonds,0,0,0,0,0,6,0,0,0,0,12.8
function@setreskind,0,0,0,0,0,7,0,0,0,0,5.04596
function@setxyz_from_mol,0,0,0,0,0,6,0,0,0,0,16.0476
function@setxyzw_from_mol,0,0,0,0,0,6,0,0,0,0,16.0476
function@setmol_from_xyz,0,0,0,0,0,6,0,0,0,0,16.0476
function@setmol_from_xyzw,0,0,0,0,0,6,0,0,0,0,16.0476
function@NAB_ainit,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initres,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initatom,0,0,0,0,0,0,0,0,0,0,0
function@NAB_mnext,0,0,0,0,0,4,0,0,0,0,0.571429
function@NAB_rnext,0,0,0,0,0,4,0,0,0,0,0.9
function@NAB_anext,0,0,0,0,0,2,0,0,0,0,1.32
function@NAB_mri,0,0,0,0,0,61,0,0,0,0,610.868
function@NAB_rri,0,0,0,0,0,60,0,0,0,0,610.845
function@NAB_rrc,0,0,0,0,0,7,0,0,0,0,4.06035
function@NAB_ari,0,0,0,0,0,99,0,0,0,0,566.128
function@NAB_arf,0,0,0,0,0,10,0,0,0,0,4.5708
function@NAB_arc,0,0,0,0,0,34,0,0,0,0,244.971
function@NAB_arp,0,0,0,0,0,0,0,0,0,0,0
function@newtransform,0,0,0,0,0,16,0,0,0,0,11.5
function@concat_mat,0,0,0,0,0,0,0,0,0,0,0
function@transformres,0,0,0,0,0,2,0,0,0,0,2
function@transformmol,0,0,0,0,0,7,0,0,0,0,17.6667
function@transformpts,0,0,0,0,0,4,0,0,0,0,0.784314
function@updtransform,0,0,0,0,0,2,0,0,0,0,2
function@trans4p,0,0,0,0,0,3,0,0,0,0,2
function@NAB_matcpy,0,0,0,0,0,0,0,0,0,0,0
function@trans4,0,0,0,0,0,7,0,0,0,0,7
function@rot4p,6,0,0,3,0,14,6,0,3,0,14
function@rot4,0,0,0,0,0,7,0,0,0,0,7
function@set_belly_mask,0,0,0,0,0,37,0,0,0,0,283.438
function@set_cons_mask,0,0,0,0,0,8,0,0,0,0,271.238
function@circle,0,0,0,0,0,2,0,0,0,0,1.94118
function@rt_errormsg,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_2s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_d,0,0,0,0,0,1,0,0,0,0,1
function@regcomp,0,0,0,0,0,29,0,0,0,0,4.81255
function@p_ere,16,0,0,15,0,45,82.6066,0,23.4387,0,124.297
function@p_bre,24,0,0,9,0,30,30.8764,0,15.0843,0,51.4435
function@doinsert,0,0,0,0,0,4,0,0,0,0,4
function@p_bracket,23,0,0,9,0,93,16.5989,0,4.53889,0,35.9892
function@ordinary,1,0,0,1,0,7,0.125,0,0.125,0,2.59375
function@repeat,5,0,0,2,0,29,1.63303,0,1.09397,0,11.1238
function@p_b_symbol,0,0,0,0,0,11,0,0,0,0,1.56544
function@bothcases,1,0,0,1,0,2,1,0,1,0,2
function@regexec,82,0,0,18,0,141,18.2984,0,5.87116,0,442.263
function@sslow,19,0,0,8,0,38,258.81,0,68.9524,0,4973.38
function@sdissect,15,0,0,2,0,75,397,0,16.9375,0,2094.94
function@sbackref,40,0,0,14,0,62,6.76199,0,3.71929,0,6.21608
function@sstep,0,0,0,0,0,2,0,0,0,0,2
function@lslow,12,0,0,5,0,41,230.19,0,34.4762,0,3768.05
function@ldissect,14,0,0,2,0,76,273.75,0,17.6875,0,2168.44
function@lbackref,40,0,0,14,0,62,6.76199,0,3.71929,0,6.21608
function@lstep,0,0,0,0,0,15,0,0,0,0,8.67924
function@regfree,0,0,0,0,0,2,0,0,0,0,1.14815
function@regerror,0,0,0,0,0,27,0,0,0,0,7.08288
function@spec_srand,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_genrand,0,0,0,0,0,0,0,0,0,0,0
function@spec_rand,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_int32,0,0,0,0,0,3,0,0,0,0,17.4516
function@spec_lrand48,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_by_array,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_int31,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real1,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_real2,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_real3,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_res53,0,0,0,0,0,2,0,0,0,0,2
function@getpdb,23,0,0,16,0,32,108.642,0,19.8504,0,334.947
function@initres,0,0,0,0,0,1,0,0,0,0,1
function@makebonds,0,0,0,0,0,12,0,0,0,0,159.68
function@getmatrix,0,0,0,0,0,16,0,0,0,0,93.2734
