"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,170,0,0,62,0,585,44156.1,0,1023.06,0,31858.3
function@_QMplane_source_modPplane_source_init,58,0,0,14,0,100,4889.94,0,12.75,0,1759.94
function@_QMplane_source_modPplane_source_read,10,0,0,5,0,176,66.6484,0,5.98438,0,1712.34
function@_QMplane_source_modPplane_source_apply,0,0,0,0,0,10,0,0,0,0,28.9375
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,0,0,0,0,0,363,0,0,0,0,70.7769
function@_QMmur_modPmur_init,27,0,0,3,0,192,8.4375,0,3,0,153.844
function@_QMmur_modPmur_updatee,572,0,0,77,0,175,298.006,0,33.1258,0,177.391
function@_QMmur_modPmur_storee,33,0,0,12,0,71,152.759,0,149.981,0,180.111
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,17,0,0,9,0,7,1038.1,0,65.1,0,88.1
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,110,0,0,29,0,0,110,0,29,0,0
function@_QMupdate_modPupdateh..omp_par.4,291,2,0,138,0,2,18754.8,1.25,2146.25,0,40
function@_QMupdate_modPupdateh..omp_par.3,70,0,0,49,0,3,1783.42,0,104.75,0,12.5833
function@_QMupdate_modPupdateh..omp_par.2,16,0,0,14,0,5,42.1667,0,13.6667,0,34.5
function@_QMupdate_modPupdateh..omp_par.1,25,1,0,21,0,5,147.333,0.666667,18.3333,0,34.5
function@_QMupdate_modPupdateh..omp_par,60,0,0,45,0,3,4219.75,0,40.3333,0,35.1667
function@_QMupdate_modPupdatee,76,0,0,30,0,0,55.5,0,30,0,0
function@_QMupdate_modPupdatee..omp_par.7,345,0,0,158,0,44,132987,0,7967,0,250
function@_QMupdate_modPupdatee..omp_par.6,51,0,0,27,0,13,226.681,0,26.9877,0,33.2638
function@_QMupdate_modPupdatee..omp_par.5,65,0,0,32,0,15,315.509,0,46.4417,0,35.2638
function@_QMupdate_modPupdatee..omp_par,14,0,0,11,0,2,81.5833,0,10.6667,0,21.9167
function@_QMupdate_modPupdate_inith,80,0,0,26,0,20,101.96,0,26,0,2051.4
function@_QMupdate_modPupdate_inith..omp_par.11,44,1,0,30,0,8,539.333,0.666667,44.9167,0,524.167
function@_QMupdate_modPupdate_inith..omp_par.10,5,0,0,5,0,10,3.33333,0,5,0,49.0833
function@_QMupdate_modPupdate_inith..omp_par.9,0,0,0,0,0,9,0,0,0,0,38.5
function@_QMupdate_modPupdate_inith..omp_par.8,0,0,0,0,0,9,0,0,0,0,38.5
function@_QMupdate_modPupdate_inith..omp_par,4,0,0,4,0,6,2.66667,0,4,0,25.9167
function@_QMupdate_modPupdate_inite,205,0,0,28,0,58,118.884,0,28,0,1318.43
