"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,167,0,0,60,0,585,40155.8,0,897.896,0,31858.3
function@_QMplane_source_modPplane_source_init,52,0,0,12,0,112,4887.69,0,12,0,2042.72
function@_QMplane_source_modPplane_source_read,14,0,0,6,0,174,104.148,0,6.10156,0,1712.2
function@_QMplane_source_modPplane_source_apply,0,0,0,0,0,10,0,0,0,0,28.9375
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,0,0,0,0,0,363,0,0,0,0,70.7769
function@_QMmur_modPmur_init,27,0,0,3,0,192,8.4375,0,3,0,153.844
function@_QMmur_modPmur_updatee,563,0,0,89,0,171,245.179,0,33.3245,0,173.96
function@_QMmur_modPmur_storee,36,0,0,11,0,71,9.59259,0,11,0,180.111
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,13,0,0,5,0,7,901.35,0,16.35,0,88.1
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,110,0,0,30,0,0,110,0,30,0,0
function@_QMupdate_modPupdateh..omp_par.4,300,2,0,138,0,3,13575.3,1.25,1986.88,0,22
function@_QMupdate_modPupdateh..omp_par.3,65,0,0,44,0,3,1779.08,0,100.417,0,12.5833
function@_QMupdate_modPupdateh..omp_par.2,18,0,0,16,0,5,42.75,0,15.3333,0,34.5
function@_QMupdate_modPupdateh..omp_par.1,25,1,0,21,0,5,147.333,0.666667,18.3333,0,34.5
function@_QMupdate_modPupdateh..omp_par,65,0,0,50,0,1,1379.25,0,84.5,0,13.25
function@_QMupdate_modPupdatee,75,0,0,28,0,0,54.5,0,28,0,0
function@_QMupdate_modPupdatee..omp_par.7,420,0,0,156,0,2,69638.8,0,7934.75,0,2
function@_QMupdate_modPupdatee..omp_par.6,53,0,0,26,0,16,284.147,0,21.135,0,36.8344
function@_QMupdate_modPupdatee..omp_par.5,57,0,0,28,0,16,287.288,0,26.0245,0,36.8344
function@_QMupdate_modPupdatee..omp_par,13,0,0,11,0,2,80.5833,0,10.6667,0,21.9167
function@_QMupdate_modPupdate_inith,84,0,0,27,0,20,105.96,0,27,0,2051.4
function@_QMupdate_modPupdate_inith..omp_par.11,43,1,0,30,0,8,527.667,0.666667,44.5833,0,524.167
function@_QMupdate_modPupdate_inith..omp_par.10,5,0,0,5,0,10,3.33333,0,5,0,49.0833
function@_QMupdate_modPupdate_inith..omp_par.9,0,0,0,0,0,9,0,0,0,0,38.5
function@_QMupdate_modPupdate_inith..omp_par.8,0,0,0,0,0,9,0,0,0,0,38.5
function@_QMupdate_modPupdate_inith..omp_par,5,0,0,5,0,8,3.33333,0,5,0,27.9167
function@_QMupdate_modPupdate_inite,205,0,0,28,0,58,118.884,0,28,0,1318.43
function@_QMupdate_modPupdate_inite..omp_par.14,22,0,0,16,0,10,892,0,52.4167,0,388
function@_QMupdate_modPupdate_inite..omp_par.13,0,0,0,0,0,11,0,0,0,0,41
function@_QMupdate_modPupdate_inite..omp_par.12,0,0,0,0,0,11,0,0,0,0,41
function@_QMupdate_modPupdate_inite..omp_par,0,0,0,0,0,11,0,0,0,0,41
function@_QMupml_modPupml_allocate,0,0,0,0,0,369,0,0,0,0,316.059
function@_QMupml_modPcheck_allocate,0,0,0,0,0,22,0,0,0,0,2
function@_QMupml_modPupml_set_eps_arrays,25,0,0,11,0,122,1933.47,0,93.4688,0,376.875
function@_QMupml_modPupml_init,1670,0,0,467,0,277,1484.9,0,193.627,0,1011.97
function@_QMupml_modPupml_initb,0,0,0,0,0,5,0,0,0,0,5
function@_QMupml_modPupml_initb..omp_par,312,0,0,43,0,39,1.56668e+06,0,1832.42,0,1085.5
function@_QMupml_modPupml_inith,11,0,0,11,0,0,11,0,11,0,0
function@_QMupml_modPupml_inith..omp_par,268,4,0,108,0,45,9228.08,2.66667,325.417,0,2336.25
function@_QMupml_modPupml_updateh,32,0,0,28,0,0,32,0,28,0,0
function@_QMupml_modPupml_updateh..omp_par,3084,0,0,408,0,31,1.77675e+07,0,170860,0,476.5
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,35,0,0,28,0,0,35,0,28,0,0
function@_QMupml_modPupml_updatee_homo..omp_par,4780,2,0,765,0,66,1.69646e+07,1.33333,134349,0,3574.5
function@_QMupml_modPupml_updatee_simple,35,0,0,28,0,0,35,0,28,0,0
function@_QMupml_modPupml_updatee_simple..omp_par,5254,2,0,813,0,64,1.90821e+07,1.33333,167429,0,3552.58
function@_QMupml_modPupml_initd,0,0,0,0,0,5,0,0,0,0,5
