"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,120,0,0,64,0,591,44502.1,0,1261.56,0,31860.9
function@_QMplane_source_modPplane_source_init,52,0,0,12,0,112,4887.69,0,12,0,2144.98
function@_QMplane_source_modPplane_source_read,9,0,0,5,0,180,73.7578,0,4.73438,0,1733.07
function@_QMplane_source_modPplane_source_apply,0,0,0,0,0,10,0,0,0,0,28.9375
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,0,0,0,0,0,379,0,0,0,0,73.0884
function@_QMmur_modPmur_init,3,0,0,2,0,198,1.625,0,2,0,158.719
function@_QMmur_modPmur_updatee,275,0,0,69,0,177,132.675,0,30.404,0,178.861
function@_QMmur_modPmur_storee,30,0,0,10,0,68,6.75926,0,10,0,177.111
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,7,0,0,6,0,6,100.2,0,16.95,0,87.1
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,98,0,0,39,0,0,98,0,39,0,0
function@_QMupdate_modPupdateh..omp_par.4,334,0,0,142,0,14,7591.8,0,1725.88,0,486.25
function@_QMupdate_modPupdateh..omp_par.3,56,0,0,51,0,12,2465.83,0,154.333,0,2063.08
function@_QMupdate_modPupdateh..omp_par.2,13,0,0,13,0,9,28.8333,0,12.6667,0,38.1667
function@_QMupdate_modPupdateh..omp_par.1,22,0,0,20,0,11,144.667,0,17.3333,0,39.5
function@_QMupdate_modPupdateh..omp_par,56,0,0,51,0,13,1496.83,0,105.417,0,925.417
function@_QMupdate_modPupdatee,69,0,0,28,0,0,48.5,0,28,0,0
function@_QMupdate_modPupdatee..omp_par.7,806,0,0,166,0,381,67971.9,0,7085.37,0,68711.2
function@_QMupdate_modPupdatee..omp_par.6,50,0,0,29,0,22,161.472,0,24.7791,0,42.8344
function@_QMupdate_modPupdatee..omp_par.5,63,0,0,30,0,23,200.086,0,28.6687,0,43.9202
function@_QMupdate_modPupdatee..omp_par,11,0,0,11,0,5,78.5833,0,10.6667,0,24.9167
function@_QMupdate_modPupdate_inith,48,0,0,32,0,23,67.2,0,32,0,2054.4
function@_QMupdate_modPupdate_inith..omp_par.11,36,0,0,30,0,13,343.917,0,44.5833,0,528.833
function@_QMupdate_modPupdate_inith..omp_par.10,5,0,0,5,0,10,3.33333,0,5,0,49.0833
function@_QMupdate_modPupdate_inith..omp_par.9,0,0,0,0,0,9,0,0,0,0,38.5
function@_QMupdate_modPupdate_inith..omp_par.8,0,0,0,0,0,9,0,0,0,0,38.5
function@_QMupdate_modPupdate_inith..omp_par,5,0,0,5,0,8,3.33333,0,5,0,27.9167
function@_QMupdate_modPupdate_inite,132,0,0,32,0,63,61.5289,0,30.1281,0,1322.8
function@_QMupdate_modPupdate_inite..omp_par.14,20,0,0,19,0,12,676.917,0,75,0,370.083
function@_QMupdate_modPupdate_inite..omp_par.13,0,0,0,0,0,11,0,0,0,0,41
function@_QMupdate_modPupdate_inite..omp_par.12,0,0,0,0,0,11,0,0,0,0,41
function@_QMupdate_modPupdate_inite..omp_par,0,0,0,0,0,11,0,0,0,0,41
function@_QMupml_modPupml_allocate,0,0,0,0,0,371,0,0,0,0,318.059
function@_QMupml_modPcheck_allocate,0,0,0,0,0,22,0,0,0,0,1.02445e-08
function@_QMupml_modPupml_set_eps_arrays,23,0,0,17,0,122,1003.88,0,136.938,0,357.406
function@_QMupml_modPupml_init,3906,0,0,478,0,973,996.103,0,180.255,0,1034.78
function@_QMupml_modPupml_initb,0,0,0,0,0,5,0,0,0,0,5
function@_QMupml_modPupml_initb..omp_par,81,0,0,60,0,57,83825.1,0,27750.5,0,6214.42
function@_QMupml_modPupml_inith,11,0,0,11,0,0,11,0,11,0,0
function@_QMupml_modPupml_inith..omp_par,220,0,0,84,0,86,6243.58,0,90.8333,0,2475.5
function@_QMupml_modPupml_updateh,28,0,0,28,0,0,28,0,28,0,0
function@_QMupml_modPupml_updateh..omp_par,889,0,0,445,0,134,4.03665e+06,0,283254,0,393740
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,28,0,0,28,0,0,28,0,28,0,0
function@_QMupml_modPupml_updatee_homo..omp_par,1758,0,0,925,0,220,3.89485e+06,0,263026,0,468596
function@_QMupml_modPupml_updatee_simple,28,0,0,28,0,0,28,0,28,0,0
function@_QMupml_modPupml_updatee_simple..omp_par,1736,0,0,953,0,242,3.55176e+06,0,251527,0,538213
function@_QMupml_modPupml_initd,0,0,0,0,0,5,0,0,0,0,5
function@_QMupml_modPupml_initd..omp_par,106,0,0,68,0,124,58958.2,0,3766.58,0,8232.75
function@_QMupml_modPupml_inite,10,0,0,10,0,0,10,0,10,0,0
function@_QMupml_modPupml_inite..omp_par,314,0,0,72,0,166,12352.4,0,55,0,2860.5
function@_QMupml_modPupml_end,0,0,0,0,0,450,0,0,0,0,241.667
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,9,0,0,0,0,6.33333
function@_QMreadline_modPreadline,9,0,0,7,0,67,12.1033,0,6,0,185.799
function@_QMreadline_modPcheckifkeyword,0,0,0,0,0,8,0,0,0,0,33.7308
function@mpi_barrier_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_bcast_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_bcast_integers_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_bcast_reals_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_bcast_logical_,0,0,0,0,0,13,0,0,0,0,13
