"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,8,0,0,0,0,8
function@set_data_tile_,0,0,0,0,0,34,0,0,0,0,34
function@get_3dfld_,140,0,0,35,0,140,38.5371,0,19.1967,0,141.574
function@set_ngfldr_,0,0,0,0,0,0,0,0,0,0,0
function@close_io_,0,0,0,0,0,43,0,0,0,0,18.3929
function@_QMdiag_modPdiag,0,0,0,0,0,8,0,0,0,0,8
function@_QMdiag_modPdiag_tile,334,2,0,72,0,63,13141.6,1.75562,128.989,0,4628.62
function@_QMmod_mixingPallocate_mixing,44,0,0,10,0,11,43.5,0,10,0,10
function@_QMmod_mixingPinitialize_mixing,46,0,0,9,0,30,4798.96,0,33.36,0,14788.6
function@_QMset_zeta_modPset_zeta,0,0,0,0,0,8,0,0,0,0,8
function@_QMset_zeta_modPset_zeta_tile,11,1,0,7,0,25,24.9706,1.55882,3.38235,0,56.8088
function@def_impulse_,0,0,0,0,0,0,0,0,0,0,0
function@get_3dfldr_,0,0,0,0,0,0,0,0,0,0,0
function@_QMdef_var_modPdef_var,186,0,0,10,0,518,9.1811,0,6.30974,0,88.5816
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,32,0,0,15,0,37,1468.05,0,17.2661,0,8431.1
function@_QMnrutilParray_copy_r,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParray_copy_d,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParray_copy_i,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParth_r,3,0,0,2,0,15,88.098,0,5.15686,0,56.6471
function@_QMnrutilParth_d,3,0,0,2,0,15,88.098,0,5.15686,0,56.6471
function@_QMnrutilParth_i,0,0,0,0,0,15,0,0,0,0,56.6471
function@_QMnrutilPnrerror,0,0,0,0,0,8,0,0,0,0,8
function@_QMnrutilPreallocate_rv,0,0,0,0,0,16,0,0,0,0,7.38281
function@_QMnrutilPreallocate_iv,0,0,0,0,0,16,0,0,0,0,7.38281
function@_QMnrutilPreallocate_hv,0,0,0,0,0,23,0,0,0,0,8.39233
function@_QMnrutilPreallocate_rm,2,0,0,1,0,35,0.488281,0,0.625,0,80.5938
function@_QMnrutilPreallocate_im,2,0,0,1,0,35,0.488281,0,0.625,0,80.5938
function@_QMlmd_vmix_modPlmd_vmix,0,0,0,0,0,12,0,0,0,0,12
