"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,8,0,0,0,0,8
function@set_data_tile_,0,0,0,0,0,34,0,0,0,0,34
function@get_3dfld_,125,0,0,42,0,197,38.366,0,22.7317,0,223.849
function@close_io_,0,0,0,0,0,43,0,0,0,0,18.3929
function@_QMdiag_modPdiag,0,0,0,0,0,8,0,0,0,0,8
function@_QMdiag_modPdiag_tile,207,2,0,85,0,114,6557.44,1.75562,266.702,0,7687.75
function@_QMmod_mixingPallocate_mixing,18,0,0,15,0,26,17.5,0,15,0,25
function@_QMmod_mixingPinitialize_mixing,7,0,0,6,0,40,262.12,0,31.56,0,15255.8
function@_QMset_zeta_modPset_zeta,0,0,0,0,0,8,0,0,0,0,8
function@_QMset_zeta_modPset_zeta_tile,13,1,0,8,0,30,3.55882,1.55882,2.38235,0,61
function@_QMdef_var_modPdef_var,122,0,0,7,0,634,4.84804,0,4.6557,0,97.3073
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,17,0,0,15,0,43,137.954,0,22.4862,0,9044.37
function@_QMnrutilParray_copy_r,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParray_copy_d,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParray_copy_i,0,0,0,0,0,0,0,0,0,0,0
function@_QMnrutilParth_r,2,0,0,1,0,15,10,0,5,0,56.6471
function@_QMnrutilParth_d,2,0,0,1,0,15,10,0,5,0,56.6471
function@_QMnrutilParth_i,0,0,0,0,0,15,0,0,0,0,56.6471
function@_QMnrutilPnrerror,0,0,0,0,0,8,0,0,0,0,8
function@_QMnrutilPreallocate_rv,0,0,0,0,0,16,0,0,0,0,7.38281
function@_QMnrutilPreallocate_iv,0,0,0,0,0,16,0,0,0,0,7.38281
function@_QMnrutilPreallocate_hv,0,0,0,0,0,23,0,0,0,0,8.39233
function@_QMnrutilPreallocate_rm,1,0,0,1,0,33,0.244141,0,0.625,0,79.3438
function@_QMnrutilPreallocate_im,1,0,0,1,0,33,0.244141,0,0.625,0,79.3438
function@_QMlmd_vmix_modPlmd_vmix,0,0,0,0,0,12,0,0,0,0,12
function@_QMlmd_vmix_modPlmd_vmix_tile,469,5,0,144,0,26,81071.9,165.8,4608.81,0,989.323
function@_QMlmd_vmix_modPlmd_finish,0,0,0,0,0,0,0,0,0,0,0
