"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@close_stream,0,0,0,0,0,5,0,0,0,0,3.20588
function@compressStream,1,0,0,1,0,50,15.8039,0,1,0,34122.9
function@compressStream.omp_outlined,6,0,0,6,0,14,240.618,0,5.625,0,12496.9
function@pxz_error,0,0,0,0,0,8,0,0,0,0,4.17647
function@message_verbosity_increase,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_decrease,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_get,0,0,0,0,0,0,0,0,0,0,0
function@message_filename,0,0,0,0,0,0,0,0,0,0,0
function@message,0,0,0,0,0,0,0,0,0,0,0
function@message_warning,0,0,0,0,0,0,0,0,0,0,0
function@message_error,0,0,0,0,0,0,0,0,0,0,0
function@message_fatal,0,0,0,0,0,1,0,0,0,0,1
function@message_strm,0,0,0,0,0,0,0,0,0,0,0
function@message_mem_needed,0,0,0,0,0,6,0,0,0,0,2.125
function@message_filters_to_str,1,0,0,2,0,15,2,0,4,0,83.625
function@message_filters_show,0,0,0,0,0,0,0,0,0,0,0
function@message_version,0,0,0,0,0,2,0,0,0,0,1
function@message_help,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_check,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_preset,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_extreme,0,0,0,0,0,0,0,0,0,0,0
function@coder_add_filter,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_compression_settings,0,0,0,0,0,22,0,0,0,0,78.2143
function@coder_run,0,0,0,0,0,63,0,0,0,0,10.0006
function@is_format_lzma,0,0,0,0,0,3,0,0,0,0,0.929688
function@hardware_threadlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_threadlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_show,0,0,0,0,0,0,0,0,0,0,0
function@hardware_init,0,0,0,0,0,0,0,0,0,0,0
function@io_open_src,0,0,0,0,0,9,0,0,0,0,12.0235
function@io_open_dest,0,0,0,0,0,5,0,0,0,0,3.7619
function@io_close,0,0,0,0,0,10,0,0,0,0,5.75866
function@io_read,0,0,0,0,0,10,0,0,0,0,21
function@io_pread,0,0,0,0,0,15,0,0,0,0,15.0846
function@io_write,0,0,0,0,0,13,0,0,0,0,16.6923
function@list_totals,0,0,0,0,0,20,0,0,0,0,4.52148
function@get_check_names,0,0,0,0,0,1,0,0,0,0,1
function@print_adv_helper,0,0,0,0,0,18,0,0,0,0,17.3125
function@list_file,9,0,0,10,0,238,0.00573266,0,0.00319827,0,25.2715
function@parse_details,0,0,0,0,0,13,0,0,0,0,6.23071
function@xrealloc,0,0,0,0,0,7,0,0,0,0,5.14286
function@xstrdup,0,0,0,0,0,8,0,0,0,0,7.38095
function@str_to_uint64,0,0,0,0,0,21,0,0,0,0,10.0505
function@round_up_to_mib,0,0,0,0,0,0,0,0,0,0,0
function@uint64_to_str,0,0,0,0,0,3,0,0,0,0,3
function@uint64_to_nicestr,0,0,0,0,0,7,0,0,0,0,36.5
function@my_snprintf,0,0,0,0,0,4,0,0,0,0,2.6875
function@is_empty_filename,0,0,0,0,0,0,0,0,0,0,0
function@options_delta,1,0,0,1,0,20,0.4,0,0.4,0,607.85
function@options_bcj,1,0,0,1,0,19,0.4,0,0.4,0,611.7
function@options_lzma,1,0,0,1,0,34,0.4,0,0.4,0,669.65
function@set_lzma,0,0,0,0,0,8,0,0,0,0,2.38558
function@set_exit_status,0,0,0,0,0,0,0,0,0,0,0
function@sha_init,0,0,0,0,0,0,0,0,0,0,0
function@sha_process,0,0,0,0,0,18,0,0,0,0,69.6249
function@sha_compress,0,0,0,0,0,3,0,0,0,0,34
function@sha_done,0,0,0,0,0,7,0,0,0,0,5.5
function@spec_mem_init,0,0,0,0,0,23,0,0,0,0,72.6678
function@spec_mem_sum,0,0,0,0,0,6,0,0,0,0,16.5156
function@spec_mem_load,14,0,0,5,0,48,12.3069,0,4.99999,0,157.008
function@fd_grow,0,0,0,0,0,10,0,0,0,0,4
function@spec_uncompress,0,0,0,0,0,4,0,0,0,0,4
function@compare_sum,0,0,0,0,0,6,0,0,0,0,2.75
function@print_sum,0,0,0,0,0,4,0,0,0,0,33.875
function@spec_mem_read,0,0,0,0,0,25,0,0,0,0,10.1765
function@spec_mem_fread,0,0,0,0,0,25,0,0,0,0,12
function@spec_mem_getc,0,0,0,0,0,15,0,0,0,0,6.25
function@spec_mem_ungetc,0,0,0,0,0,15,0,0,0,0,7.5
function@spec_mem_lseek,0,0,0,0,0,23,0,0,0,0,10.25
