"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_bugPKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_diePKc,0,0,0,0,0,1,0,0,0,0,1
function@main,42,0,0,16,0,109,517.198,0,78.9588,0,309.545
function@_ZN9ResultSetD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,645,0,0,231,0,171,12098.1,0,4127.6,0,908.079
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,0,0,0,0,0,19,0,0,0,0,70.84
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,48,0,0,11,0,27,14.75,0,7.39706,0,16.5735
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,850,0,0,335,0,183,22557.4,0,10148.2,0,1132.89
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,762,0,0,249,0,180,15801.9,0,5738.92,0,1125.64
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,687,0,0,206,0,159,7900.58,0,1930.52,0,858.321
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,674,0,0,205,0,183,9451.14,0,1340.38,0,1271
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,802,0,0,269,0,201,17466.7,0,4445.58,0,1521.13
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,680,0,0,201,0,190,11705.7,0,1569.31,0,1509.36
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,656,0,0,210,0,174,5534.51,0,825.849,0,950.908
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,0,0,0,0,0,7,0,0,0,0,2.97647
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@_ZN5Patch9moveatomsEv,0,0,0,0,0,6,0,0,0,0,45.5
function@_ZN5Patch10zeroforcesEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,2,0,0,0,0,1.33333
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,0,0,0,0,0,28,0,0,0,0,6.44752
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,25,0,0,0,0,25
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,25,0,0,0,0,25
function@_Z5equaldd,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,0,0,0,0,0,16,0,0,0,0,6.99999
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchListD2Ev,0,0,0,0,0,6,0,0,0,0,2.25002
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN9PatchList10setresultsEP9ResultSet,0,0,0,0,0,9,0,0,0,0,4.875
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,0,0,0,0,0,20,0,0,0,0,8.4499
