"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN3pov18POV_Std_Split_TimeEdPjS0_Pd,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov18closest_power_of_2Ej,0,0,0,0,0,3,0,0,0,0,11.9583
function@_ZN3pov25POVMSUtil_SetFormatStringEP9POVMSDatajPKcz,0,0,0,0,0,6,0,0,0,0,6
function@_ZN3pov19New_Checked_IStreamEPcj,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov19New_Checked_OStreamEPcjb,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov11Locate_FileEPcjS0_b,0,0,0,0,0,12,0,0,0,0,8.85714
function@_ZN3pov15Locate_FilenameEPcjb,6,0,0,7,0,36,4.89534,0,2.88602,0,14.8085
function@_ZN3povL23All_Plane_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE,5,0,0,1,0,9,1.625,0,0.5,0,5.75
function@_ZN3povL12Inside_PlaneEPdPNS_13Object_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL12Plane_NormalEPdPNS_13Object_StructEPNS_10istk_entryE,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN3povL10Copy_PlaneEPNS_13Object_StructE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN3povL15Translate_PlaneEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,1.61765
function@_ZN3povL12Rotate_PlaneEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,3,0,0,0,0,1.97059
function@_ZN3povL11Scale_PlaneEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,1.61765
function@_ZN3povL15Transform_PlaneEPNS_13Object_StructEPNS_16Transform_StructE,0,0,0,0,0,3,0,0,0,0,3
function@_ZN3povL12Invert_PlaneEPNS_13Object_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3povL13Destroy_PlaneEPNS_13Object_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3pov12Create_PlaneEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov18Compute_Plane_BBoxEPNS_12Plane_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov20initialise_histogramEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov17destroy_histogramEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov20accumulate_histogramEiii,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov15write_histogramEPc,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3povL22All_Poly_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE,142,0,0,61,0,70,3.50926e+06,0,313711,0,9.48476e+06
function@_ZN3povL11Inside_PolyEPdPNS_13Object_StructE,0,0,0,0,0,8,0,0,0,0,21163.2
function@_ZN3povL11Poly_NormalEPdPNS_13Object_StructEPNS_10istk_entryE,0,0,0,0,0,30,0,0,0,0,1006.5
