"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,0,0,0,0,0,15,0,0,0,0,59.2917
function@MAIN_parseCommandLine,0,0,0,0,0,3,0,0,0,0,3
function@MAIN_printInfo,0,0,0,0,0,1,0,0,0,0,1
function@MAIN_initialize,0,0,0,0,0,3,0,0,0,0,3
function@MAIN_finalize,0,0,0,0,0,1,0,0,0,0,1
function@LBM_allocateGrid,0,0,0,0,0,2,0,0,0,0,1
function@LBM_freeGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,0,0,0,0,0,11,0,0,0,0,33893.4
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,11,0,0,0,0,2122.25
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,4,0,0,0,0,746.25
function@LBM_performStreamCollideBGK,0,0,0,0,0,7,0,0,0,0,97.375
function@LBM_performStreamCollideTRT,11,0,0,11,0,10,174.625,0,115.125,0,145
function@LBM_handleInOutFlow,4,0,0,4,0,20,127.5,0,34.875,0,575.75
function@LBM_showGridStatistics,12,0,0,12,0,14,1.14441e-05,0,1.14441e-05,0,15
function@LBM_storeVelocityField,0,0,0,0,0,14,0,0,0,0,86087
function@LBM_compareVelocityField,12,0,0,12,0,17,393216,0,393216,0,86089
