"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,51,0,0,48,0,122,0.17672,0,5.56867,0,116.694
function@SigIntHandler,0,0,0,0,0,0,0,0,0,0,0
function@Help,0,0,0,0,0,14,0,0,0,0,10.4375
function@x264_adaptive_quant_frame,38,0,0,13,0,23,655.852,0,12.5879,0,244.676
function@x264_macroblock_tree_read,0,0,0,0,0,18,0,0,0,0,25.7522
function@x264_reference_build_list_optimal,0,0,0,0,0,3,0,0,0,0,1.75
function@x264_ratecontrol_init_reconfigurable,0,0,0,0,0,13,0,0,0,0,4.41776
function@x264_ratecontrol_new,108,0,0,10,0,180,425.982,0,1.2551,0,17.2179
function@x264_strcat_filename,0,0,0,0,0,7,0,0,0,0,6.33333
function@init_pass2,108,0,0,37,0,105,3809.61,0,115.995,0,4411.2
function@x264_ratecontrol_summary,0,0,0,0,0,6,0,0,0,0,1.77206
function@x264_ratecontrol_delete,0,0,0,0,0,4,0,0,0,0,2.4
function@x264_ratecontrol_start,0,0,0,0,0,21,0,0,0,0,8.13786
function@rate_estimate_qscale,27,0,0,9,0,50,72.1545,0,2.84375,0,32.468
function@x264_ratecontrol_mb,2,0,0,1,0,21,0.136218,0,0.15625,0,8.36939
function@predict_row_size_sum,0,0,0,0,0,13,0,0,0,0,64.125
function@x264_ratecontrol_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_mb_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_slice_type,0,0,0,0,0,10,0,0,0,0,3.41176
function@x264_ratecontrol_set_weights,0,0,0,0,0,1,0,0,0,0,1
function@x264_ratecontrol_end,0,0,0,0,0,31,0,0,0,0,13.9319
function@x264_hrd_fullness,0,0,0,0,0,5,0,0,0,0,4.25
function@x264_threads_normalize_predictors,0,0,0,0,0,2,0,0,0,0,0.64
function@x264_threads_distribute_ratecontrol,0,0,0,0,0,20,0,0,0,0,37.8918
function@x264_threads_merge_ratecontrol,1,0,0,1,0,9,3.91176,0,0.382353,0,24.8676
function@x264_thread_sync_ratecontrol,0,0,0,0,0,0,0,0,0,0,0
function@clip_qscale,0,0,0,0,0,23,0,0,0,0,10.6747
function@x264_mb_encode_i4x4,0,0,0,0,0,10,0,0,0,0,5.17188
function@x264_mb_encode_i8x8,0,0,0,0,0,13,0,0,0,0,6.17188
function@x264_mb_encode_8x8_chroma,133,0,0,26,0,34,628.584,0,46.7031,0,189.151
function@x264_mb_optimize_chroma_dc,0,0,0,0,0,10,0,0,0,0,166.318
function@x264_predict_lossless_8x8_chroma,0,0,0,0,0,5,0,0,0,0,2.33333
function@x264_predict_lossless_4x4,0,0,0,0,0,6,0,0,0,0,2.66667
