"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@newmolecule,0,0,0,0,0,2,0,0,0,0,2
function@freeresidue,0,0,0,0,0,5,0,0,0,0,14.9118
function@freemolecule,0,0,0,0,0,4,0,0,0,0,22.375
function@addstrand,0,0,0,0,0,18,0,0,0,0,35.0853
function@addresidue,0,0,0,0,0,15,0,0,0,0,26
function@connectres,4,0,0,1,0,39,0.134466,0,0.0991651,0,19.2726
function@mergestr,3,0,0,3,0,59,0.0203237,0,0.0304855,0,52.4962
function@upd_molnumbers,0,0,0,0,0,18,0,0,0,0,1681.33
function@countmolstrands,0,0,0,0,0,4,0,0,0,0,3
function@countstrandresidues,0,0,0,0,0,1,0,0,0,0,15.75
function@countmolres,0,0,0,0,0,7,0,0,0,0,22
function@countmolatoms,0,0,0,0,0,8,0,0,0,0,396.524
function@dist,0,0,0,0,0,5,0,0,0,0,5
function@distp,0,0,0,0,0,0,0,0,0,0,0
function@angle,0,0,0,0,0,8,0,0,0,0,8
function@anglep,0,0,0,0,0,0,0,0,0,0,0
function@torsion,0,0,0,0,0,11,0,0,0,0,11
function@torsionp,2,0,0,2,0,4,1,0,1,0,2.5
function@getresname,0,0,0,0,0,1,0,0,0,0,1
function@cap,7,0,0,6,0,56,14.6026,0,4.75406,0,251.682
function@copyextbonds,0,0,0,0,0,6,0,0,0,0,12.8
function@setreskind,0,0,0,0,0,7,0,0,0,0,5.04596
function@setxyz_from_mol,0,0,0,0,0,6,0,0,0,0,16.0476
function@setxyzw_from_mol,0,0,0,0,0,6,0,0,0,0,16.0476
function@setmol_from_xyz,0,0,0,0,0,6,0,0,0,0,16.0476
function@setmol_from_xyzw,0,0,0,0,0,6,0,0,0,0,16.0476
function@NAB_ainit,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initres,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initatom,0,0,0,0,0,0,0,0,0,0,0
function@NAB_mnext,0,0,0,0,0,4,0,0,0,0,0.571429
function@NAB_rnext,0,0,0,0,0,4,0,0,0,0,0.9
function@NAB_anext,0,0,0,0,0,2,0,0,0,0,1.32
function@NAB_mri,0,0,0,0,0,61,0,0,0,0,610.868
function@NAB_rri,0,0,0,0,0,60,0,0,0,0,610.845
function@NAB_rrc,0,0,0,0,0,7,0,0,0,0,4.06035
function@NAB_ari,0,0,0,0,0,99,0,0,0,0,566.128
function@NAB_arf,0,0,0,0,0,10,0,0,0,0,4.5708
function@NAB_arc,0,0,0,0,0,34,0,0,0,0,244.971
function@NAB_arp,0,0,0,0,0,0,0,0,0,0,0
function@newtransform,0,0,0,0,0,16,0,0,0,0,11.5
function@concat_mat,0,0,0,0,0,0,0,0,0,0,0
function@transformres,0,0,0,0,0,2,0,0,0,0,2
function@transformmol,0,0,0,0,0,7,0,0,0,0,17.6667
function@transformpts,0,0,0,0,0,4,0,0,0,0,0.784314
function@updtransform,0,0,0,0,0,2,0,0,0,0,2
function@trans4p,0,0,0,0,0,2,0,0,0,0,1
function@NAB_matcpy,0,0,0,0,0,0,0,0,0,0,0
function@trans4,0,0,0,0,0,7,0,0,0,0,7
function@rot4p,3,0,0,3,0,13,3,0,3,0,13
function@rot4,0,0,0,0,0,7,0,0,0,0,7
function@set_belly_mask,0,0,0,0,0,35,0,0,0,0,282.422
function@set_cons_mask,0,0,0,0,0,8,0,0,0,0,271.238
function@circle,0,0,0,0,0,2,0,0,0,0,1.94118
function@delete_atom,0,0,0,0,0,7,0,0,0,0,33.2794
function@rt_errormsg,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_2s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_d,0,0,0,0,0,1,0,0,0,0,1
function@regcomp,0,0,0,0,0,29,0,0,0,0,4.81255
function@p_ere,15,0,0,14,0,47,18.7326,0,22.4387,0,127.203
function@p_bre,5,0,0,4,0,35,4.47188,0,2.5,0,53.2594
function@doinsert,0,0,0,0,0,4,0,0,0,0,4
function@p_bracket,8,0,0,4,0,101,0.614591,0,1.6953,0,37.8756
function@ordinary,1,0,0,1,0,7,0.125,0,0.125,0,2.59375
function@repeat,0,0,0,0,0,28,0,0,0,0,12.0719
function@p_b_symbol,0,0,0,0,0,11,0,0,0,0,1.56544
function@bothcases,1,0,0,1,0,2,1,0,1,0,2
function@regexec,40,0,0,16,0,151,13.7647,0,0.666568,0,442.602
function@sslow,8,0,0,5,0,40,152.524,0,5,0,4975.38
function@sdissect,0,0,0,0,0,87,0,0,0,0,2430.75
function@sbackref,18,0,0,5,0,63,2.63574,0,1.5006,0,6.72375
function@sstep,0,0,0,0,0,1,0,0,0,0,1
function@lslow,3,0,0,3,0,44,96.4286,0,3,0,3862.48
function@ldissect,0,0,0,0,0,88,0,0,0,0,2430.69
function@lbackref,18,0,0,5,0,63,2.63574,0,1.5006,0,6.72375
function@lstep,0,0,0,0,0,14,0,0,0,0,7.67925
function@regfree,0,0,0,0,0,2,0,0,0,0,1.14815
function@regerror,0,0,0,0,0,27,0,0,0,0,7.08288
function@spec_srand,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_genrand,0,0,0,0,0,0,0,0,0,0,0
function@spec_rand,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_int32,0,0,0,0,0,3,0,0,0,0,17.4516
function@spec_lrand48,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_by_array,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_int31,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real1,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_real2,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_real3,0,0,0,0,0,1,0,0,0,0,1
function@spec_genrand_res53,0,0,0,0,0,2,0,0,0,0,2
function@getpdb,12,0,0,12,0,42,92.402,0,11.803,0,345.164
function@getmatrix,0,0,0,0,0,16,0,0,0,0,93.2734
function@putpdb,22,0,0,15,0,63,6339.66,0,136.609,0,6472.24
function@putcif,4,0,0,3,0,29,273.882,0,31.5882,0,38146.2
function@putbnd,2,0,0,2,0,25,94.784,0,5.74448,0,5642.48
