"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@flux_,39,0,0,23,0,15,39,0,23,0,15
function@flux_..omp_par.4,100,0,0,76,0,27,385364,0,18074.2,0,49337.6
function@flux_..omp_par.3,26,0,0,25,0,11,3253,0,137,0,2151.17
function@flux_..omp_par.2,5,0,0,5,0,10,54,0,5,0,54.0833
function@flux_..omp_par.1,186,0,0,102,0,15,6791.55,0,3461.12,0,557.875
function@flux_..omp_par,5,0,0,5,0,10,54,0,5,0,54.0833
function@_QQmain,0,0,0,0,0,146,0,0,0,0,142
function@jacobian_,5,0,0,5,0,5,5,0,5,0,5
function@jacobian_..omp_par,45,0,0,43,0,6,63726.5,0,60733.7,0,802.75
function@fill1_,0,0,0,0,0,8,0,0,0,0,8
function@fill1_..omp_par.1,0,0,0,0,0,8,0,0,0,0,27.9167
function@fill1_..omp_par,0,0,0,0,0,11,0,0,0,0,1307.67
function@shell_,98,0,0,44,0,96,1378.52,0,79.5238,0,16369.1
function@shell_..omp_par.8,0,0,0,0,0,11,0,0,0,0,987.667
function@shell_..omp_par.7,92,0,0,79,0,12,1.51709e+06,0,68249.1,0,42693.2
function@shell_..omp_par.6,86,0,0,82,0,12,176376,0,136045,0,307226
function@shell_..omp_par.5,3,0,0,3,0,16,1.75,0,3,0,831.562
function@shell_..omp_par.4,22,0,0,21,0,29,552.312,0,21.875,0,745.062
function@shell_..omp_par.3,6,0,0,6,0,9,5,0,6,0,985.333
function@shell_..omp_par.2,1,0,0,1,0,10,0.666667,0,1,0,881.083
function@shell_..omp_par.1,0,0,0,0,0,9,0,0,0,0,294.5
function@shell_..omp_par,3,0,0,3,0,7,3,0,3,0,8984.75
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@bi_cgstab_block_,47,0,0,21,0,54,525,0,21,0,382.625
function@bi_cgstab_block_..omp_par.12,0,0,0,0,0,17,0,0,0,0,16680.8
function@bi_cgstab_block_..omp_par.11,27,0,0,22,0,16,14484.2,0,1394.58,0,16271.5
function@bi_cgstab_block_..omp_par.10,1,0,0,1,0,19,0.5,0,1,0,24930.7
function@bi_cgstab_block_..omp_par.9,10,0,0,10,0,16,144.25,0,28.25,0,14044.8
function@bi_cgstab_block_..omp_par.8,0,0,0,0,0,19,0,0,0,0,24930.7
function@bi_cgstab_block_..omp_par.7,21,0,0,20,0,18,7764.67,0,89,0,15644.7
function@bi_cgstab_block_..omp_par.6,0,0,0,0,0,19,0,0,0,0,24930.7
function@bi_cgstab_block_..omp_par.5,2,0,0,2,0,21,1.125,0,2,0,33180.6
function@bi_cgstab_block_..omp_par,40,0,0,36,0,18,5419.42,0,2318.67,0,16804.7
function@mat_times_vec_,5,0,0,5,0,3,5,0,5,0,3
function@mat_times_vec_..omp_par,70,0,0,63,0,15,69325.5,0,14940,0,424538
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.1,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.2,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.3,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.4,0,0,0,0,0,0,0,0,0,0,0
function@fill2_,0,0,0,0,0,7,0,0,0,0,7
function@fill2_..omp_par.1,0,0,0,0,0,9,0,0,0,0,41.1667
function@fill2_..omp_par,0,0,0,0,0,9,0,0,0,0,41.1667
