"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,120,0,0,64,0,589,44502.1,0,1261.9,0,31860.6
function@_QMplane_source_modPplane_source_init,52,0,0,12,0,112,4887.69,0,12,0,2144.98
function@_QMplane_source_modPplane_source_read,10,0,0,5,0,183,73.8047,0,4.73438,0,1734.21
function@_QMplane_source_modPplane_source_apply,0,0,0,0,0,10,0,0,0,0,28.9375
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,0,0,0,0,0,373,0,0,0,0,72.2769
function@_QMmur_modPmur_init,3,0,0,2,0,198,1.625,0,2,0,158.719
function@_QMmur_modPmur_updatee,273,0,0,67,0,180,132.583,0,30.3113,0,179.318
function@_QMmur_modPmur_storee,26,0,0,9,0,71,5.96296,0,9,0,180.111
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,6,0,0,4,0,6,79.75,0,3.6,0,87.1
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,98,0,0,39,0,1,98,0,39,0,1
function@_QMupdate_modPupdateh..omp_par.4,261,0,0,145,0,11,7762.8,0,1865.88,0,386.25
function@_QMupdate_modPupdateh..omp_par.3,53,0,0,48,0,8,1823.5,0,103.083,0,357.833
function@_QMupdate_modPupdateh..omp_par.2,12,0,0,12,0,10,28.1667,0,11.6667,0,38.8333
function@_QMupdate_modPupdateh..omp_par.1,22,0,0,20,0,10,134,0,17,0,38.8333
function@_QMupdate_modPupdateh..omp_par,61,0,0,56,0,10,1494.5,0,110.417,0,897.917
function@_QMupdate_modPupdatee,69,0,0,28,0,0,48.5,0,28,0,0
function@_QMupdate_modPupdatee..omp_par.7,644,0,0,219,0,77,59559.4,0,7665.87,0,3101.87
function@_QMupdate_modPupdatee..omp_par.6,53,0,0,28,0,25,164.607,0,24.1534,0,44.9693
