"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@close_stream,0,0,0,0,0,5,0,0,0,0,3.20588
function@compressStream,1,0,0,1,0,49,15.8039,0,1,0,34083.8
function@compressStream.omp_outlined,8,0,0,6,0,13,242.243,0,5.625,0,12336.9
function@pxz_error,0,0,0,0,0,8,0,0,0,0,4.17647
function@message_init,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_increase,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_decrease,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_get,0,0,0,0,0,0,0,0,0,0,0
function@message_set_files,0,0,0,0,0,0,0,0,0,0,0
function@message_filename,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_start,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_update,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_end,0,0,0,0,0,0,0,0,0,0,0
function@message,0,0,0,0,0,0,0,0,0,0,0
function@message_warning,0,0,0,0,0,0,0,0,0,0,0
function@message_error,0,0,0,0,0,0,0,0,0,0,0
function@message_fatal,0,0,0,0,0,1,0,0,0,0,1
function@message_bug,0,0,0,0,0,0,0,0,0,0,0
function@message_signal_handler,0,0,0,0,0,0,0,0,0,0,0
function@message_strm,0,0,0,0,0,0,0,0,0,0,0
function@message_mem_needed,0,0,0,0,0,6,0,0,0,0,2.125
function@message_filters_to_str,0,0,0,0,0,9,0,0,0,0,63.625
function@message_filters_show,0,0,0,0,0,0,0,0,0,0,0
function@message_try_help,0,0,0,0,0,0,0,0,0,0,0
function@message_version,0,0,0,0,0,2,0,0,0,0,1
function@message_help,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_check,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_preset,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_extreme,0,0,0,0,0,0,0,0,0,0,0
function@coder_add_filter,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_compression_settings,0,0,0,0,0,22,0,0,0,0,78.2143
function@coder_run,2,0,0,2,0,62,0.0925875,0,0.0182347,0,9.91913
function@is_format_lzma,0,0,0,0,0,3,0,0,0,0,0.929688
function@hardware_threadlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_threadlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_show,0,0,0,0,0,0,0,0,0,0,0
function@hardware_init,0,0,0,0,0,0,0,0,0,0,0
function@io_init,0,0,0,0,0,0,0,0,0,0,0
function@io_no_sparse,0,0,0,0,0,0,0,0,0,0,0
function@io_open_src,0,0,0,0,0,9,0,0,0,0,12.0235
function@io_open_dest,0,0,0,0,0,5,0,0,0,0,3.7619
function@io_close,0,0,0,0,0,10,0,0,0,0,5.75866
function@io_read,0,0,0,0,0,10,0,0,0,0,21
function@io_pread,0,0,0,0,0,15,0,0,0,0,15.0846
function@io_write,0,0,0,0,0,13,0,0,0,0,16.6923
function@list_totals,0,0,0,0,0,22,0,0,0,0,4.74609
function@get_check_names,0,0,0,0,0,1,0,0,0,0,1
function@print_adv_helper,0,0,0,0,0,19,0,0,0,0,17.625
function@list_file,24,0,0,20,0,215,0.123405,0,0.13324,0,25.1348
function@parse_details,0,0,0,0,0,13,0,0,0,0,6.23071
function@xrealloc,0,0,0,0,0,7,0,0,0,0,5.14286
function@xstrdup,0,0,0,0,0,8,0,0,0,0,7.38095
function@str_to_uint64,0,0,0,0,0,21,0,0,0,0,10.0505
function@round_up_to_mib,0,0,0,0,0,0,0,0,0,0,0
function@uint64_to_str,0,0,0,0,0,3,0,0,0,0,3
function@uint64_to_nicestr,0,0,0,0,0,8,0,0,0,0,37
function@my_snprintf,0,0,0,0,0,4,0,0,0,0,2.6875
function@is_empty_filename,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdin,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdout,0,0,0,0,0,0,0,0,0,0,0
function@signals_init,0,0,0,0,0,0,0,0,0,0,0
function@signals_block,0,0,0,0,0,0,0,0,0,0,0
function@signals_unblock,0,0,0,0,0,0,0,0,0,0,0
function@signals_exit,0,0,0,0,0,0,0,0,0,0,0
function@options_delta,2,0,0,1,0,19,0.8,0,0.4,0,607.45
function@options_bcj,2,0,0,1,0,18,0.8,0,0.4,0,611.3
function@options_lzma,6,0,0,2,0,30,6.6,0,1.4,0,664.05
function@set_lzma,0,0,0,0,0,8,0,0,0,0,2.38558
function@set_exit_status,0,0,0,0,0,0,0,0,0,0,0
function@set_exit_no_warn,0,0,0,0,0,0,0,0,0,0,0
function@sha_init,0,0,0,0,0,0,0,0,0,0,0
function@sha_process,0,0,0,0,0,18,0,0,0,0,69.6249
function@sha_compress,0,0,0,0,0,4,0,0,0,0,35
function@sha_done,0,0,0,0,0,7,0,0,0,0,5.5
function@spec_mem_init,0,0,0,0,0,23,0,0,0,0,72.6678
function@spec_mem_sum,0,0,0,0,0,6,0,0,0,0,16.5156
function@spec_mem_load,28,0,0,6,0,39,20.3069,0,5.99999,0,151.008
function@fd_grow,0,0,0,0,0,10,0,0,0,0,4
function@spec_uncompress,0,0,0,0,0,4,0,0,0,0,4
function@compare_sum,0,0,0,0,0,6,0,0,0,0,2.75
function@print_sum,0,0,0,0,0,4,0,0,0,0,33.875
function@spec_mem_read,0,0,0,0,0,25,0,0,0,0,10.1765
function@spec_mem_fread,0,0,0,0,0,25,0,0,0,0,12
function@spec_mem_getc,0,0,0,0,0,15,0,0,0,0,6.25
function@spec_mem_ungetc,0,0,0,0,0,15,0,0,0,0,7.5
function@spec_mem_lseek,0,0,0,0,0,23,0,0,0,0,10.25
function@spec_mem_rewind,0,0,0,0,0,9,0,0,0,0,7.5
function@spec_mem_reset,0,0,0,0,0,7,0,0,0,0,5
function@spec_mem_get_length,0,0,0,0,0,8,0,0,0,0,4.52941
function@spec_mem_fopen,0,0,0,0,0,26,0,0,0,0,9.41361
function@spec_mem_open,0,0,0,0,0,32,0,0,0,0,10.5588
function@spec_mem_write,0,0,0,0,0,26,0,0,0,0,56.7941
function@spec_mem_fwrite,0,0,0,0,0,25,0,0,0,0,60.9999
function@spec_mem_putc,0,0,0,0,0,18,0,0,0,0,9
function@spec_mem_feof,0,0,0,0,0,8,0,0,0,0,4
function@spec_mem_close,0,0,0,0,0,9,0,0,0,0,4.11765
function@spec_empty,0,0,0,0,0,0,0,0,0,0,0
function@spec_initbufs,0,0,0,0,0,0,0,0,0,0,0
function@spec_compress,0,0,0,0,0,4,0,0,0,0,4
function@debug_time,0,0,0,0,0,0,0,0,0,0,0
function@sum_str_to_hex,0,0,0,0,0,5,0,0,0,0,4.5
function@spec_mem_alloc_fds,0,0,0,0,0,5,0,0,0,0,3.94118
function@spec_mem_free_fds,0,0,0,0,0,5,0,0,0,0,3.5
function@lzma_delta_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_decode,0,0,0,0,0,18,0,0,0,0,21.5312
function@lzma_delta_props_decode,0,0,0,0,0,4,0,0,0,0,3.30952
function@lzma_delta_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_encode,0,0,0,0,0,32,0,0,0,0,22.4739
function@delta_encoder_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_props_encode,0,0,0,0,0,4,0,0,0,0,3.61905
function@lzma_delta_coder_init,0,0,0,0,0,5,0,0,0,0,3.46835
function@delta_coder_end,0,0,0,0,0,6,0,0,0,0,6
function@lzma_delta_coder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_mf_find,0,0,0,0,0,8,0,0,0,0,6.45192
function@lzma_mf_hc3_find,0,0,0,0,0,12,0,0,0,0,6.18852
function@lzma_mf_hc3_skip,0,0,0,0,0,2,0,0,0,0,3.5
function@lzma_mf_hc4_find,0,0,0,0,0,16,0,0,0,0,6.23796
function@lzma_mf_hc4_skip,0,0,0,0,0,2,0,0,0,0,3.5
function@lzma_mf_bt2_find,0,0,0,0,0,21,0,0,0,0,35.016
function@lzma_mf_bt2_skip,0,0,0,0,0,12,0,0,0,0,124.421
function@lzma_mf_bt3_find,0,0,0,0,0,29,0,0,0,0,29.4897
function@lzma_mf_bt3_skip,0,0,0,0,0,12,0,0,0,0,124.421
function@lzma_mf_bt4_find,0,0,0,0,0,34,0,0,0,0,23.4548
function@lzma_mf_bt4_skip,0,0,0,0,0,12,0,0,0,0,124.421
function@lzma_lz_encoder_memusage,0,0,0,0,0,1,0,0,0,0,1
function@lz_encoder_prepare,0,0,0,0,0,7,0,0,0,0,3.27154
