Benchmark,basic,basic,basic,basic,basic,basic,basic,basic,greedy,greedy,greedy,greedy,greedy,greedy,greedy,greedy
Benchmark,spills,spills,spills,spills,reloads,reloads,reloads,reloads,spills,spills,spills,spills,reloads,reloads,reloads,reloads
Benchmark,original,h1,h2,h3,original,h1,h2,h3,original,h1,h2,h3,original,h1,h2,h3
510.parest_r,51449,50350,51415,51976,131095,120668,124657,125809,48207,51005,52904,53072,89743,86056,88603,88115
507.cactuBSSN_r,18151,18034,18417,18377,47599,43560,45584,45626,17384,17500,17388,17294,26599,26956,27095,27073
526.blender_r,16328,14254,15011,15353,62622,48961,51867,52866,12458,12406,12535,12404,25641,25910,27293,27167
607.cactuBSSN_s,20837,16623,16966,16993,46279,36555,38925,39008,16476,16617,16418,16452,23625,23794,24177,24155
502.gcc_r,14116,11317,11899,12303,46639,34896,35095,36310,8184,7917,8112,7887,19149,19368,20583,20317
602.gcc_s,14116,11317,11899,12303,46639,34896,35095,36310,8184,7917,8112,7887,19149,19368,20583,20317
654.roms_s,7149,5630,5752,5883,31285,28704,29358,29759,5735,5695,5703,5674,18361,18794,19191,19562
554.roms_r,7047,5538,5665,5794,31024,28435,29053,29445,5655,5627,5625,5603,18005,18612,19029,19347
549.fotonik3d_r,6353,5389,5500,5613,17130,15334,15242,15693,5368,5545,5620,5590,18637,17757,17335,17768
508.namd_r,9101,9781,9969,9895,31991,29369,29839,29944,7984,7780,7426,7323,17363,16591,16397,16228
649.fotonik3d_s,5453,4689,4741,4769,23384,22146,22478,22774,4870,4967,4989,5052,12920,13353,12667,12839
538.imagick_r,4035,3963,4139,4242,18550,16293,15496,15787,3023,2933,3203,3263,8915,9038,9793,11438
638.imagick_s,3989,4118,4219,4312,18380,16344,15330,15536,3247,3208,3462,3536,8880,8818,9558,11135
600.perlbench_s,5629,4744,4947,5219,20116,15401,15857,16261,3341,3106,3363,3271,7733,8845,9815,9435
500.perlbench_r,5629,4744,4947,5219,20116,15401,15857,16261,3341,3106,3363,3271,7733,8845,9815,9435
625.x264_s,4356,3935,4133,4312,17111,13923,15127,15139,3455,3496,3533,3513,6667,7009,7425,7422
525.x264_r,4356,3935,4133,4312,17111,13923,15127,15139,3455,3496,3533,3513,6667,7009,7425,7422
548.exchange2_r,1702,1678,1719,1747,8817,8045,7784,7901,1553,1553,1562,1559,4885,4850,4941,4941
648.exchange2_s,1702,1678,1719,1747,8817,8045,7784,7901,1553,1553,1562,1559,4885,4850,4941,4941
511.povray_r,2365,2078,2258,2277,7490,5665,6252,6329,1754,1738,1743,1764,3322,2986,3206,3179
623.xalancbmk_s,2433,2287,2520,2617,8515,6061,6704,7184,1810,1811,1808,1776,2804,2919,3089,3129
523.xalancbmk_r,2433,2287,2520,2617,8515,6061,6704,7184,1810,1811,1808,1776,2803,2919,3089,3129
620.omnetpp_s,949,929,1046,1023,3977,2945,3145,3123,706,718,696,676,1925,2015,2232,2141
520.omnetpp_r,949,929,1046,1023,3977,2945,3145,3123,706,718,696,676,1925,2015,2232,2141
603.bwaves_s,701,692,703,713,1558,1283,1462,1473,709,703,708,710,1202,945,1308,1271
644.nab_s,794,705,774,778,1963,1435,1766,1578,676,682,692,686,979,999,1014,1020
544.nab_r,771,683,748,753,1961,1437,1772,1590,651,647,656,654,947,948,1010,1016
503.bwaves_r,623,578,586,587,1660,1529,1534,1548,505,517,515,512,868,904,888,980
641.leela_s,315,251,288,297,1062,828,882,884,281,279,274,277,483,469,493,484
541.leela_r,315,251,288,297,1062,828,882,884,281,279,274,277,483,469,493,484
657.xz_s,432,349,406,415,1447,1064,1266,1243,226,236,247,251,459,611,398,392
557.xz_r,424,342,399,409,1431,1055,1257,1235,219,228,239,243,452,603,390,384
531.deepsjeng_r,312,289,333,327,1171,631,845,845,250,247,250,257,430,441,440,468
631.deepsjeng_s,312,289,333,327,1171,631,845,845,250,247,250,257,430,441,440,468
605.mcf_s,179,163,175,174,732,561,615,593,162,153,145,144,377,396,440,415
505.mcf_r,179,163,175,174,732,561,615,593,162,153,145,144,377,396,440,415
519.lbm_r,43,22,24,22,82,48,58,55,34,36,39,37,34,36,39,37
619.lbm_s,39,21,22,21,77,47,51,52,33,36,36,35,33,36,36,35
998.specrand_is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996.specrand_fs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997.specrand_fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999.specrand_ir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
