Benchmark,basic,basic,basic,basic,basic,basic,basic,basic,greedy,greedy,greedy,greedy,greedy,greedy,greedy,greedy
Benchmark,spills,spills,spills,spills,reloads,reloads,reloads,reloads,spills,spills,spills,spills,reloads,reloads,reloads,reloads
Benchmark,original,h1,h2,h3,original,h1,h2,h3,original,h1,h2,h3,original,h1,h2,h3
510.parest_r,117106,109250,109610,111021,267613,242946,243396,245760,109776,109126,110178,110479,162819,158419,161659,162878
507.cactuBSSN_r,71831,69846,69893,69922,132851,121747,121375,121505,79877,83517,78119,78025,92337,90641,91134,91187
607.cactuBSSN_s,75482,69593,69650,69673,133401,118825,119528,119933,79622,83352,77833,77775,89312,87521,87990,88135
526.blender_r,58707,54279,55670,55944,144832,127700,129530,130548,50850,51405,51779,51516,82788,81031,82935,83106
502.gcc_r,49700,43421,44435,45014,111952,101043,101777,102618,37880,37393,38093,37839,65270,64116,67355,66877
602.gcc_s,49700,43421,44435,45014,111952,101043,101777,102618,37880,37393,38093,37839,65270,64116,67355,66877
654.roms_s,38880,34881,35708,35686,85711,85423,76841,76875,31485,30069,30184,30189,47193,46353,46468,46428
554.roms_r,38830,34809,35635,35608,85282,85205,76619,76619,31408,29982,30079,30095,47071,46245,46354,46309
508.namd_r,19999,17479,17860,17548,64117,51628,51398,51434,18031,17222,17764,17500,35705,32943,33581,33288
649.fotonik3d_s,26071,24615,24515,24481,60983,59063,58084,58130,24894,24970,24894,24959,31838,32041,32375,32191
538.imagick_r,19263,16438,17092,17113,47484,40990,43196,43231,18597,18028,18665,18872,31143,30002,30265,30857
638.imagick_s,19842,17488,18081,18100,46191,41037,43094,43099,18774,18171,18726,18978,30633,29573,29630,30460
600.perlbench_s,15377,14037,14492,14617,37075,35786,36529,37003,11409,11164,11725,11400,23058,22045,23250,23376
500.perlbench_r,15377,14037,14492,14617,37075,35786,36529,37003,11409,11164,11725,11400,23058,22045,23250,23376
549.fotonik3d_r,18485,16016,15892,15865,40683,37876,36915,36828,15531,15466,15294,15367,22745,22743,22902,23041
625.x264_s,14784,12913,13389,13464,38592,34277,34823,35015,12740,12951,13022,12983,19199,18806,19649,19527
525.x264_r,14784,12913,13389,13464,38592,34277,34823,35015,12740,12951,13022,12983,19199,18806,19649,19527
623.xalancbmk_s,21566,19088,19528,19299,39347,32216,32681,33187,16987,16663,17034,17010,16688,16981,17451,17337
523.xalancbmk_r,21566,19088,19528,19299,39347,32216,32681,33187,16987,16663,17034,17010,16688,16981,17451,17337
548.exchange2_r,7596,7164,6624,6657,17993,17118,16855,16906,5351,5752,5987,6087,11789,11120,11825,11847
648.exchange2_s,7596,7164,6624,6657,17993,17118,16855,16906,5351,5752,5987,6087,11789,11120,11825,11847
511.povray_r,8189,8056,8110,8123,15214,13959,13644,13665,7300,7410,7527,7485,9481,9475,9738,9691
520.omnetpp_r,6632,5470,5597,5677,11837,10814,11019,11051,4976,4831,4983,4954,5935,6067,6195,6245
620.omnetpp_s,6631,5471,5598,5679,11825,10805,11010,11043,4975,4830,4982,4953,5932,6064,6192,6242
644.nab_s,2061,1928,2029,2043,5636,5486,5500,5570,1957,1890,1942,1916,3161,2981,3220,3130
544.nab_r,1995,1839,1942,1957,5729,5524,5539,5612,1913,1860,1902,1866,3178,2981,3205,3118
503.bwaves_r,971,881,888,888,4872,4763,4703,4748,991,992,993,986,2577,2730,2671,2638
657.xz_s,2206,2063,2099,2109,4353,4094,4096,4133,2084,1934,1847,1898,2420,2375,2197,2259
557.xz_r,2187,2044,2078,2088,4326,4074,4074,4111,2068,1921,1833,1884,2406,2363,2185,2247
603.bwaves_s,1200,1135,1125,1133,3693,3402,3371,3356,1204,1208,1202,1197,2101,2115,2053,2097
541.leela_r,1723,1521,1628,1625,3417,2904,2985,2976,1467,1416,1355,1437,1808,1686,1737,1741
641.leela_s,1723,1521,1628,1625,3418,2904,2985,2976,1464,1416,1355,1437,1806,1686,1737,1741
531.deepsjeng_r,1023,936,947,916,1848,1622,1624,1564,811,799,840,847,1198,1144,1216,1273
631.deepsjeng_s,1023,936,947,916,1848,1622,1624,1564,811,799,840,847,1198,1144,1216,1273
605.mcf_s,758,688,722,700,2187,1975,1956,1912,654,656,675,658,1131,1087,1139,1108
505.mcf_r,758,688,722,700,2187,1975,1956,1912,654,656,675,658,1131,1087,1139,1108
519.lbm_r,157,174,180,187,139,135,131,140,194,198,203,196,143,143,146,144
619.lbm_s,177,183,200,205,423,129,207,210,193,203,209,199,135,134,138,131
998.specrand_is,3,2,2,2,6,1,1,1,2,1,1,1,1,1,1,1
996.specrand_fs,3,2,2,2,6,1,1,1,2,1,1,1,1,1,1,1
997.specrand_fr,3,2,2,2,6,1,1,1,2,1,1,1,1,1,1,1
999.specrand_ir,3,2,2,2,6,1,1,1,2,1,1,1,1,1,1,1
