"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,0,0,0,0,0,0
function@primal_bea_mpp,1,2,0,3,0,7,8.2381,32.9524,3,0,78.7619
function@refreshArcPointers,0,0,0,0,0,6,0,0,0,0,27.75
function@refreshPositions,2,1,0,1,0,6,1.66667,1,1,0,40
function@marc_arcs,0,0,0,0,0,7,0,0,0,0,3.91071
function@arc_compare,0,0,0,0,0,0,0,0,0,0,0
function@resize_prob,0,0,0,0,0,2,0,0,0,0,1.36
function@insert_new_arc,0,0,0,0,0,2,0,0,0,0,21.25
function@replace_weaker_arc,0,0,0,0,0,4,0,0,0,0,21.75
function@calculate_max_redcost,0,0,0,0,0,3,0,0,0,0,10.3137
function@switch_arcs,10,0,0,5,0,11,230.81,0,82.1429,0,2130.62
function@price_out_impl,91,19,0,37,6,61,145.046,30.4305,27.755,0.701987,101.715
function@suspend_impl,2,2,0,2,0,35,0.866667,8.09524,1.53333,0,57.3333
function@global_opt,0,0,0,0,0,4,0,0,0,0,74.1058
function@main,0,0,0,0,0,5,0,0,0,0,3.4375
function@read_min,18,0,0,12,0,39,10.9549,0,6.57229,0,21.3323
function@primal_start_artificial,0,0,0,0,0,4,0,0,0,0,21.72
function@update_tree,2,0,0,2,0,23,30.9032,0,21.2258,0,223.032
function@refresh_neighbour_lists,0,0,0,0,0,4,0,0,0,0,41.875
function@flow_cost,0,0,0,0,0,2,0,0,0,0,0.96
function@getArcPosition,0,0,0,0,0,4,0,0,0,0,3
function@getOriginalArcPosition,0,0,0,0,0,1,0,0,0,0,1
function@flow_org_cost,0,2,0,2,0,3,0,2,2,0,1.96
function@primal_feasible,0,0,0,0,0,5,0,0,0,0,14.7447
function@dual_feasible,0,0,0,0,0,1,0,0,0,0,1
function@getfree,0,0,0,0,0,1,0,0,0,0,1
function@spec_qsort,325,117,0,122,23,249,2316.89,851.308,167.173,160.94,1955.6
function@markBaskets,0,0,0,0,0,4,0,0,0,0,303.222
function@worker,1,5,0,2,0,17,8,7.5,2,0,90.5
function@master,6,0,0,5,0,19,22.8326,0,4,0,89.985
function@primal_net_simplex,0,0,0,0,0,5,0,0,0,0,5
function@write_circulations,0,0,0,0,0,9,0,0,0,0,6.16683
function@write_objective_value,0,0,0,0,0,5,0,0,0,0,3.85714
function@primal_iminus,0,0,0,0,0,4,0,0,0,0,9.42857
