"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@global_opt,0,0,0,0,0,4,0,0,0,0,74.1058
function@main,0,0,0,0,0,5,0,0,0,0,3.4375
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,0,0,0,0,0,0
function@primal_bea_mpp,1,2,0,3,0,6,8.2381,32.9524,3,0,74.9524
function@read_min,23,0,0,7,0,36,16.6293,0,3.26755,0,18.923
function@markBaskets,0,0,0,0,0,4,0,0,0,0,303.222
function@worker,1,5,0,2,0,17,8,7.5,2,0,90.5
function@master,6,4,0,7,0,15,22.5828,10.1992,7.38223,0,80.981
function@primal_net_simplex,0,0,0,0,0,5,0,0,0,0,5
function@primal_start_artificial,0,0,0,0,0,4,0,0,0,0,21.72
function@update_tree,2,0,0,2,0,24,30.9032,0,21.2258,0,282.871
function@write_circulations,0,0,0,0,0,9,0,0,0,0,6.16683
function@write_objective_value,0,0,0,0,0,5,0,0,0,0,3.85714
function@primal_iminus,0,0,0,0,0,4,0,0,0,0,9.42857
function@refreshArcPointers,0,0,0,0,0,6,0,0,0,0,27.75
function@refreshPositions,2,1,0,1,0,6,1.66667,1,1,0,40
function@marc_arcs,0,0,0,0,0,7,0,0,0,0,3.91071
function@arc_compare,0,0,0,0,0,0,0,0,0,0,0
function@resize_prob,0,0,0,0,0,2,0,0,0,0,1.36
function@insert_new_arc,0,0,0,0,0,2,0,0,0,0,21.25
function@replace_weaker_arc,0,0,0,0,0,4,0,0,0,0,21.75
function@calculate_max_redcost,0,0,0,0,0,3,0,0,0,0,10.3137
function@switch_arcs,10,0,0,5,0,11,230.81,0,82.1429,0,2148.86
function@price_out_impl,85,13,0,39,8,68,69.6689,19.0728,22.3907,4.54967,125.47
function@suspend_impl,2,2,0,2,0,36,0.866667,8.09524,1.53333,0,57.8667
function@spec_qsort,335,112,0,118,22,250,2260.25,770.103,103.651,212.119,1664.55
function@refresh_neighbour_lists,0,0,0,0,0,4,0,0,0,0,41.875
function@flow_cost,0,0,0,0,0,2,0,0,0,0,0.96
function@getArcPosition,0,0,0,0,0,3,0,0,0,0,3
function@getOriginalArcPosition,0,0,0,0,0,1,0,0,0,0,1
function@flow_org_cost,0,2,0,2,0,3,0,2,2,0,1.96
function@primal_feasible,0,0,0,0,0,5,0,0,0,0,14.7447
function@dual_feasible,0,0,0,0,0,1,0,0,0,0,1
function@getfree,0,0,0,0,0,1,0,0,0,0,1
