"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@re_set_syntax,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_fastmap,50,6,0,8,1,31,66.6224,30.3402,4.988,1,141.506
function@re_set_registers,0,0,0,0,0,2,0,0,0,0,2
function@re_search,0,0,0,0,0,5,0,0,0,0,5
function@re_search_2,16,6,0,5,0,26,12.8248,1.54015,3.99757,0,16.1119
function@re_match_2_internal,462,299,0,226,39,78,143.969,37.3025,36.6973,5.88634,16.7752
function@re_match,0,0,0,0,0,4,0,0,0,0,4
function@re_match_2,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_pattern,0,0,0,0,0,1,0,0,0,0,1
function@regex_compile,565,237,0,246,244,206,46.367,17.3234,25.9628,15.2045,26.6516
function@regcomp,0,0,0,0,0,12,0,0,0,0,13.5476
function@regexec,2,4,0,1,0,13,0.8125,1.625,1,0,8.67383
function@regerror,0,0,0,0,0,10,0,0,0,0,6.5625
function@regfree,0,0,0,0,0,1,0,0,0,0,1
function@group_match_null_string_p,2,0,0,1,0,17,1.03578,0,1,0,81.4464
function@common_op_match_null_string_p,0,0,0,0,0,8,0,0,0,0,4.28571
function@compile_range,0,0,0,0,0,15,0,0,0,0,15.5956
function@CCTKi_BindingsThorn_PUGHReduce,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionAvg_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionAvgArrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionAvg,130,71,0,48,48,151,4655.84,1537.53,108.209,972.483,1183.7
function@PUGH_ReductionAvgGVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm3_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm3Arrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionNorm3,213,95,0,43,32,152,14803.5,24573.4,2753.8,481.801,7578.14
function@PUGH_ReductionNorm3GVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm2_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm2Arrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionNorm2,215,95,0,45,32,138,15703.8,24573.4,3654.17,481.801,929.397
function@PUGH_ReductionNorm2GVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNormInf_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNormInfArrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionNormInf,210,82,0,36,32,171,14802.2,22745.2,500.574,481.801,7621.23
function@PUGH_ReductionNormInfGVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReduceGA_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceGridArrays,42,9,0,13,1,37,92.5273,7.78125,11.7148,0.09375,21.7489
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionCount_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionCountArrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionCount,0,0,0,0,0,3,0,0,0,0,1.55172
function@PUGH_ReductionCountGVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReduceArraysGlobally_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceArraysGlobally,15,5,0,10,1,39,11.5781,4.53125,9.33984,0.09375,27.6199
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm1_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm1Arrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionNorm1,227,69,0,46,41,149,16782,8565.18,958.485,686.948,4219.04
function@PUGH_ReductionNorm1GVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_Reduction_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionArrays,6,10,0,4,0,17,2.14111,3.92993,4,0,7.21802
function@copy_real_to_outtype,0,0,0,0,0,29,0,0,0,0,3.96086
function@PUGH_ReductionGVs,20,6,0,8,9,12,32.2695,10.498,8.15039,7.10352,19.8672
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionSum_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionSumArrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionSum,127,66,0,46,48,148,4654.55,1535.88,106.209,972.483,1182.39
function@PUGH_ReductionSumGVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionMax_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionMaxValArrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionMaxVal,163,88,0,59,43,235,5969.29,2267.29,2443.32,848.487,3077.43
function@PUGH_ReductionMaxValGVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionMin_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionMinValArrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionMinVal,163,88,0,59,43,235,5969.29,2267.29,2443.32,848.487,3077.43
function@PUGH_ReductionMinValGVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm4_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm4Arrays,0,0,0,0,0,2,0,0,0,0,2
function@ReductionNorm4,211,97,0,43,32,134,19137.8,29616.6,10569.3,481.801,902.875
function@PUGH_ReductionNorm4GVs,0,0,0,0,0,5,0,0,0,0,5
function@CCTKi_version_CactusPUGH_PUGHReduce_Startup_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGHReduce_Startup,0,0,0,0,0,20,0,0,0,0,20
function@CCTKi_BindingsThorn_PUGHInterp,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHInterp_InterpGridArrays_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGHInterp_InterpGridArrays,0,7,0,7,0,18,0,2.66667,7,0,12
function@PUGHInterp_DriverInterpolate,43,12,0,14,1,20,1.05782,0.889097,4.05639,0.00186253,5.43373
function@PrepareParameterTable,16,6,0,4,0,24,6.55046,3.04587,4,0,11.5505
function@CCTKi_version_CactusPUGH_PUGHInterp_Startup_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGHInterp_Startup,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_src_datestamp_c,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_DateStamp,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_CompileTime,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_CompileDate,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_CompileDateTime,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_FullVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_MajorVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_MinorVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_MicroVersion,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_ADMCoupling,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_Cactus,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_comm_CactusDefaultComm_c,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultSetupGH,0,0,0,0,0,25,0,0,0,0,7.65872
function@CactusDefaultMyProc,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultnProcs,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultExit,0,0,0,0,0,1,0,0,0,0,1
function@CactusDefaultAbort,0,0,0,0,0,1,0,0,0,0,1
function@CactusDefaultBarrier,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultSyncGroup,0,0,0,0,0,5,0,0,0,0,5
function@CactusDefaultSyncGroupsByDirI,0,0,0,0,0,8,0,0,0,0,55.04
function@CactusDefaultEnableGroupStorage,0,0,0,0,0,4,0,0,0,0,3.25
function@CactusDefaultGroupStorageIncrease,3,3,0,3,0,15,12.7963,13,2.38889,0,35.4074
function@CactusDefaultDisableGroupStorage,0,0,0,0,0,4,0,0,0,0,3.25
function@CactusDefaultGroupStorageDecrease,7,1,0,3,0,10,23.5926,0.388889,3,0,15.6852
function@CactusDefaultInterpGridArrays,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_comm_Interp_c,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_NumInterpOperators,0,0,0,0,0,0,0,0,0,0,0
function@CCTK_InterpOperatorImplementation,0,0,0,0,0,1,0,0,0,0,1
function@CCTK_InterpRegisterOpLocalUniform,0,0,0,0,0,9,0,0,0,0,5.68945
function@CCTK_InterpHandle,0,0,0,0,0,5,0,0,0,0,4.38095
function@cctk_interphandle_,0,0,0,0,0,8,0,0,0,0,7.38095
function@CCTK_InterpOperator,0,0,0,0,0,4,0,0,0,0,3.38095
function@cctk_interpgridarrays_,0,0,0,0,0,3,0,0,0,0,3
function@CCTK_InterpLocalUniform,0,0,0,0,0,13,0,0,0,0,9.6
function@cctk_interplocaluniform_,2,2,0,4,0,8,1.4,0.8,4,0,4.6
function@CCTKi_version_comm_Reduction_c,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_RegisterReductionOperator,0,0,0,0,0,11,0,0,0,0,7.3125
function@CCTK_ReductionHandle,0,0,0,0,0,5,0,0,0,0,4.38095
function@cctk_reductionhandle_,0,0,0,0,0,8,0,0,0,0,7.38095
function@CCTK_Reduce,2,0,0,2,0,18,0.78125,0,2,0,15.5894
function@cctk_reduce_,1,0,0,1,0,14,0.390625,0,1,0,13.7925
function@CCTK_RegisterReductionArrayOperator,0,0,0,0,0,5,0,0,0,0,3.7619
