"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_bugPKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_diePKc,0,0,0,0,0,1,0,0,0,0,1
function@main,25,27,0,11,17,208,253.328,404.573,18.1871,165.037,687.558
function@_ZN9ResultSetD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,870,277,0,313,54,199,15325.2,4715.91,4509.53,44.3902,670.559
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,47,12,0,15,3,15,366.92,74.64,30.68,6.36,104.28
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,50,76,0,28,0,5,17.1029,25.0147,15.7647,0,5
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,1100,350,0,399,54,216,26586.1,8232.57,8097.69,45.7613,1484.51
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,1124,245,0,348,57,170,17647.1,5739.36,5292.27,44.1132,668.76
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,1046,170,0,284,56,174,12832.5,2238.07,3771.54,47.0931,796.778
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,853,317,0,300,60,201,13269.6,4309.72,3187.1,68.3,652.519
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,1070,320,0,331,58,210,25152.5,7752.28,5325.27,66.5422,1373.55
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,959,282,0,298,57,199,18937,5337.5,3857.12,65.7863,645.206
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,989,231,0,284,66,173,10345.5,2449.39,2252.22,80.4933,773.409
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,3,6,0,2,0,7,1.49412,2.72941,1.24706,0,2.09412
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@_ZN5Patch9moveatomsEv,3,5,0,5,1,1,43.5,106.25,86,1,1
function@_ZN5Patch10zeroforcesEv,0,0,0,0,0,1,0,0,0,0,0.64
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,3,0,0,0,0,3
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,6,4,0,3,1,40,2.1456,0.201416,1.14648,0.0366211,6.52359
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,15,0,0,0,0,15
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,16
function@_Z5equaldd,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,6,0,0,2,0,12,1.5,0,0.999998,0,6.49999
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchListD2Ev,0,0,0,0,0,6,0,0,0,0,1.62502
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,1,0,0,0,0,1
