"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_bugPKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_diePKc,0,0,0,0,0,1,0,0,0,0,1
function@main,25,18,0,12,14,202,216.019,340.425,38.1538,144.134,782.765
function@_ZN9ResultSetD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,700,63,0,275,2,309,9968.34,2123.66,4609.73,0.375,661.858
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,15,4,0,17,0,18,93.72,40.8,64.72,0,115.8
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,36,25,0,26,0,4,12.5,11.0882,13.4265,0,4
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,892,95,0,378,0,333,14589.3,3368.53,7133.44,0,1982.45
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,759,68,0,293,3,324,10040.2,2075.17,4054.92,0.5625,671.383
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,651,55,0,212,2,307,2299.6,831.38,351.504,0.375,888.356
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,575,78,0,230,4,321,8271.79,2772.16,2906.71,0.5625,783.59
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,720,66,0,293,6,337,12635.9,1818.59,4492.07,0.820312,1604.86
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,636,76,0,247,4,337,8759.81,2686.04,3100.93,0.5625,675.851
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,590,34,0,181,2,333,1508.47,427.362,287.428,0.375,946.974
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@_ZN5Patch9moveatomsEv,2,4,0,5,0,2,42.5,85,85.6667,0,22.25
function@_ZN5Patch10zeroforcesEv,0,0,0,0,0,1,0,0,0,0,0.64
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,1,3,0,2,0,41,0.720796,0.164795,0.19043,0,8.29565
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,15,0,0,0,0,15
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,16
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,2,0,0,2,0,12,0.499998,0,0.999998,0,6.49999
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchListD2Ev,0,0,0,0,0,6,0,0,0,0,1.62502
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchList10setresultsEP9ResultSet,0,0,0,0,0,2,0,0,0,0,2
