"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@_ZN5Patch9moveatomsEv,3,3,0,5,0,1,63.75,63.75,85.6667,0,1
function@_ZN5Patch10zeroforcesEv,0,0,0,0,0,1,0,0,0,0,0.64
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,3,3,0,3,0,40,0.219727,0.164795,0.263672,0,7.55161
function@_ZN7LJTableC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7LJTable8readfileEP8_IO_FILE,1,0,0,1,0,11,2.07961,0,0.234375,0,7.90854
function@_ZN7LJTableD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil6selectEP13SimParametersP8MoleculeP7LJTable,84,23,0,72,7,59,1281.77,70.9394,638.922,1.75,1779.36
function@_ZN20ComputeNonbondedUtil15calc_pair_pprofEP9nonbonded,400,43,0,144,4,194,1551.21,784.891,289.5,0.747253,963.666
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,14,5,0,18,0,18,83.52,51,65.04,0,125
function@_ZN20ComputeNonbondedUtil22calc_pair_energy_pprofEP9nonbonded,416,51,0,157,10,170,2032.15,887.485,729.063,1.82143,995.151
function@_ZN20ComputeNonbondedUtil25calc_pair_fullelect_pprofEP9nonbonded,536,54,0,203,6,214,4732.63,1171.52,1597.72,0.745879,1543.39
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_fullelect_pprofEP9nonbonded,530,66,0,222,6,236,5157.28,2026.77,2757.61,0.745879,1835.32
function@_ZN20ComputeNonbondedUtil31calc_pair_merge_fullelect_pprofEP9nonbonded,436,60,0,174,9,212,2100.76,985.306,210.295,1.12912,1213.74
function@_ZN20ComputeNonbondedUtil38calc_pair_energy_merge_fullelect_pprofEP9nonbonded,456,58,0,174,13,190,2633.56,1197.27,940.56,2.12363,1097.22
function@_ZN20ComputeNonbondedUtil30calc_pair_slow_fullelect_pprofEP9nonbonded,451,53,0,166,8,180,1894.24,1000.88,202.168,1.74176,1252.56
function@_ZN20ComputeNonbondedUtil37calc_pair_energy_slow_fullelect_pprofEP9nonbonded,431,57,0,172,10,200,2236.28,1197.04,457.121,1.82143,1097.33
function@_ZN20ComputeNonbondedUtil15calc_self_pprofEP9nonbonded,327,51,0,139,12,199,1340.3,792.946,142.776,1.83242,920.557
function@_ZN20ComputeNonbondedUtil22calc_self_energy_pprofEP9nonbonded,345,54,0,149,11,199,1986.22,854.536,645.506,1.14698,739.238
function@_ZN20ComputeNonbondedUtil25calc_self_fullelect_pprofEP9nonbonded,401,59,0,172,12,195,3714.29,991.521,875.992,1.83242,1119.87
function@_ZN20ComputeNonbondedUtil32calc_self_energy_fullelect_pprofEP9nonbonded,450,71,0,195,12,195,4946.73,1730.49,1875.82,1.83242,1297.76
function@_ZN20ComputeNonbondedUtil31calc_self_merge_fullelect_pprofEP9nonbonded,389,64,0,153,11,223,1710.1,993.327,174.407,1.6511,958.923
function@_ZN20ComputeNonbondedUtil38calc_self_energy_merge_fullelect_pprofEP9nonbonded,386,62,0,168,11,198,2396.21,1120.51,673.003,1.14698,731.328
function@_ZN20ComputeNonbondedUtil30calc_self_slow_fullelect_pprofEP9nonbonded,336,55,0,149,12,186,1086.09,801.032,170.203,1.83242,741.283
function@_ZN20ComputeNonbondedUtil37calc_self_energy_slow_fullelect_pprofEP9nonbonded,345,57,0,154,12,193,1555.9,932.427,182.03,1.83242,857.415
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchListD2Ev,0,0,0,0,0,6,0,0,0,0,1.62502
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchList10setresultsEP9ResultSet,0,0,0,0,0,2,0,0,0,0,2
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,4,0,0,3,0,17,0.146482,0,0.219726,0,9.64356
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,318,34,0,142,3,192,510.493,146.1,142.383,0.56044,748.46
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,14,5,0,18,0,18,83.52,51,65.04,0,125
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,309,33,0,147,3,190,1063.47,293.084,365.38,0.56044,756.282
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,418,38,0,194,4,199,2387.49,440.697,1333.01,0.372253,1383.7
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,456,41,0,206,4,220,3219.76,520.022,1876.53,0.372253,1748.02
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,374,39,0,152,3,177,789.268,75.4272,165.426,0.56044,311.307
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,379,35,0,161,3,195,1478.6,221.492,542.195,0.56044,793.846
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,347,35,0,175,2,161,477.269,75.3475,179.349,0.373626,514.709
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,389,36,0,169,7,175,756.063,69.8201,183.162,1.07143,928.468
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,285,37,0,122,11,183,472.876,54.1429,107.837,1.14698,380.687
function@_ZN20ComputeNonbondedUtil20calc_self_energy_lesEP9nonbonded,286,43,0,138,11,167,667.93,143.699,125.034,1.14698,522.031
function@_ZN20ComputeNonbondedUtil23calc_self_fullelect_lesEP9nonbonded,343,33,0,133,14,179,990.736,269.738,140.499,1.37912,575.299
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_lesEP9nonbonded,361,45,0,159,11,178,2038.73,424.034,895.214,1.14698,818.019
function@_ZN20ComputeNonbondedUtil29calc_self_merge_fullelect_lesEP9nonbonded,311,40,0,142,11,154,417.17,59.044,134.527,1.14698,237.994
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_lesEP9nonbonded,319,39,0,145,11,155,849.169,58.9011,145.497,1.14698,241.651
function@_ZN20ComputeNonbondedUtil28calc_self_slow_fullelect_lesEP9nonbonded,276,42,0,137,11,160,408.258,73.8668,124.81,1.14698,385.081
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_lesEP9nonbonded,314,45,0,158,11,152,465.94,78.0948,148.033,1.14698,401.32
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,15,0,0,0,0,15
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,16
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,2,0,0,2,0,12,0.499998,0,0.999998,0,6.49999
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,89,0,0,0,0,8.44287
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,4,0,0,0,0,3.38095
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,4,0,0,0,0,3.38095
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,15,0,0,0,0,12.5706
function@_ZN7Lattice3setE6VectorS0_S0_S0_,0,0,0,0,0,0,0,0,0,0,0
function@_Z10exit_usagePKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_bugPKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_diePKc,0,0,0,0,0,1,0,0,0,0,1
function@main,25,18,0,12,14,203,216.019,340.425,38.1538,144.134,743.833
function@_ZN9ResultSetD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN26ComputeNonbondedWorkArraysC2Ev,0,0,0,0,0,25,0,0,0,0,3.00001
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,20,0,0,0,0,7.70588
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11PairCompute6doWorkEP9PatchList,0,0,0,0,0,6,0,0,0,0,6
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,3,0,0,0,0,2.2381
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,3,0,0,3,0,20,0.109015,0,0.20419,0,7.15502
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,4,0,0,0,0,44.5
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,824,54,0,293,7,317,9883.78,1858.43,4205.87,0.760254,785.068
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,14,5,0,18,0,18,83.52,51,65.04,0,125
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,36,25,0,26,0,5,12.5,11.0882,13.4265,0,4.23529
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,1022,73,0,405,8,325,14682.2,1996.52,6767.18,0.396972,2513.49
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,856,62,0,338,7,305,9930.84,1908.81,3895.12,1.07666,1109.78
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,690,47,0,277,3,317,2134.71,339.535,386.367,0.5625,1244.9
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,555,79,0,233,7,296,8072.32,2917.62,2816.24,1.00167,744.331
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,751,67,0,306,13,341,12493.9,1891.33,4416.11,1.14083,2671.33
