"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,2,1,0,3,0,28,39.9959,19.998,3,0,158.501
function@_ZN6dealii7Threads11split_rangeINS_18TriaActiveIteratorINS_15DoFCellAccessorINS_10DoFHandlerILi3ELi3EEEEEEEEESt6vectorISt4pairIT_SA_ESaISB_EERKSA_SF_j,9,3,0,9,0,31,18.4755,5.62492,6.62496,0,700.845
function@_ZN6dealii13MatrixCreator20create_mass_matrix_1ILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEENS0_13IteratorRangeIS7_EERNS_7Threads16DummyThreadMutexE,93,63,0,67,0,110,4.85129e+06,1.94223e+07,584308,0,4.12218e+07
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_7MappingILi3ELi3EEERKNS_10DoFHandlerILi3ELi3EEERKNS_10QuadratureILi3EEERNS_12SparseMatrixIdEEPKNS_8FunctionILi3EEENS_13MatrixCreator13IteratorRangeISB_EERNS0_16DummyThreadMutexENS4_9null_typeESU_SU_EELi7EEclES9_SD_SH_SK_SO_SR_ST_,1,0,0,1,0,24,1,0,1,0,13.0469
function@_ZN6dealii7Threads6ThreadIvED2Ev,0,0,0,0,0,2,0,0,0,0,0.307692
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN6dealii7Threads11ThreadGroupIvED2Ev,0,0,0,0,0,5,0,0,0,0,50.25
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSK_,2,2,0,4,0,28,39.9959,39.9959,4,0,158.501
function@_ZN6dealii13MatrixCreator20create_mass_matrix_2ILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSK_NS0_13IteratorRangeIS7_EERNS_7Threads16DummyThreadMutexE,102,71,0,87,0,138,3.95707e+06,2.94178e+07,695252,0,4.54435e+07
