"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,0,0,0,0,0,14,0,0,0,0,54.1667
function@MAIN_parseCommandLine,0,0,0,0,0,3,0,0,0,0,3
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,1,0,0,0,0,1
function@MAIN_finalize,0,0,0,0,0,1,0,0,0,0,1
function@LBM_allocateGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_freeGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,0,0,0,0,0,9,0,0,0,0,33860.5
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,8,0,0,0,0,3741.12
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,3,0,0,0,0,10955.5
function@LBM_performStreamCollideBGK,3,11,0,6,0,1,31.625,142.625,111.25,0,31.875
function@LBM_performStreamCollideTRT,33,79,0,37,0,1,515.875,1182.12,603.375,0,31.875
function@LBM_handleInOutFlow,3,20,0,9,0,4,95.625,637.5,286.875,0,96.625
function@LBM_showGridStatistics,24,13,0,30,0,5,295.125,255.188,476.562,0,19.4375
function@LBM_storeVelocityField,1,2,0,3,3,12,32,1056,34,1088,126981
function@LBM_compareVelocityField,8,46,0,24,3,14,196641,1.44285e+06,655395,1088,139270
