"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,0,0,0,0,0,14,0,0,0,0,54.1667
function@MAIN_parseCommandLine,0,0,0,0,0,3,0,0,0,0,3
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,1,0,0,0,0,1
function@MAIN_finalize,0,0,0,0,0,1,0,0,0,0,1
function@LBM_allocateGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_freeGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,0,0,0,0,0,9,0,0,0,0,33860.5
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,8,0,0,0,0,3741.12
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,3,0,0,0,0,10955.5
function@LBM_performStreamCollideBGK,3,10,0,5,0,1,31.625,126.75,95.375,0,31.875
function@LBM_performStreamCollideTRT,43,89,0,53,0,1,674.625,1388.88,857.375,0,31.875
function@LBM_handleInOutFlow,6,12,0,7,0,3,191.25,382.5,223.125,0,95.625
function@LBM_showGridStatistics,16,6,0,15,0,5,167.625,127.625,221.5,0,19.4375
function@LBM_storeVelocityField,1,2,0,3,3,14,32,1056,34,1088,151557
function@LBM_compareVelocityField,8,46,0,24,3,13,196641,1.44285e+06,655395,1088,139269
