"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,0,0,0,0,0,14,0,0,0,0,54.1667
function@MAIN_parseCommandLine,0,0,0,0,0,3,0,0,0,0,3
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,1,0,0,0,0,1
function@MAIN_finalize,0,0,0,0,0,1,0,0,0,0,1
function@LBM_allocateGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_freeGrid,0,0,0,0,0,1,0,0,0,0,1
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,0,0,0,0,0,9,0,0,0,0,33860.5
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,7,0,0,0,0,3740.12
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,2,0,0,0,0,10954.5
function@LBM_performStreamCollideBGK,2,3,0,5,0,8,15.75,23.625,79.375,0,87
function@LBM_performStreamCollideTRT,29,26,0,49,0,4,460.375,404.75,777.875,0,79.5
function@LBM_handleInOutFlow,2,5,0,7,0,5,63.75,159.375,223.125,0,159.375
function@LBM_showGridStatistics,20,2,0,14,0,6,148.75,31.875,221,0,19.9375
function@LBM_storeVelocityField,3,0,0,3,0,12,1088,0,1088,0,114694
function@LBM_compareVelocityField,22,1,0,23,0,15,623680,32768,656448,0,172038
