"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,45,48,0,56,30,119,0.452076,0.389712,4.23395,2.30094,79.7681
function@SigIntHandler,0,0,0,0,0,0,0,0,0,0,0
function@Help,0,0,0,0,0,12,0,0,0,0,8.5
function@x264_adaptive_quant_frame,87,26,0,25,12,28,1856.65,334.878,203.206,17.0344,511.958
function@x264_macroblock_tree_read,0,0,0,0,0,13,0,0,0,0,10.229
function@x264_reference_build_list_optimal,0,0,0,0,0,7,0,0,0,0,100.5
function@x264_ratecontrol_init_reconfigurable,1,1,0,3,0,11,0.381579,0.381579,0.759868,0,3.375
function@x264_ratecontrol_new,302,8,0,16,10,139,81.5737,3.81037,2.39169,1.14119,9.22525
function@x264_strcat_filename,0,0,0,0,0,11,0,0,0,0,9.66667
function@init_pass2,204,97,0,135,16,31,11117.1,10057.2,7182.53,11.5427,2550.07
function@x264_ratecontrol_summary,0,1,0,2,0,3,0,0.154412,0.147059,0,1.30882
function@x264_ratecontrol_delete,0,0,0,0,0,4,0,0,0,0,2.4
function@x264_ratecontrol_start,3,1,0,7,0,8,1.02637,0.624999,2.02637,0,3.43743
function@rate_estimate_qscale,78,45,0,60,2,19,116.542,84.8712,61.5824,0.0391484,5.42342
function@x264_ratecontrol_mb,19,11,0,21,0,18,4.89503,4.29006,2.8758,0,6.5016
function@predict_row_size_sum,9,5,0,11,0,9,56.7143,36.7143,53.6667,0,5.07143
function@x264_ratecontrol_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_mb_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_slice_type,0,0,0,0,0,5,0,0,0,0,2.80882
function@x264_ratecontrol_set_weights,0,0,0,0,0,1,0,0,0,0,1
function@x264_ratecontrol_end,10,12,0,14,0,8,2.46278,3.7821,5.29556,0,2.77221
function@x264_hrd_fullness,4,5,0,2,0,2,3,4.5,2,0,1.75
function@x264_threads_normalize_predictors,0,0,0,0,0,4,0,0,0,0,2.325
function@x264_threads_distribute_ratecontrol,0,0,0,0,0,16,0,0,0,0,50.653
function@x264_threads_merge_ratecontrol,25,1,0,4,0,5,115.801,3.91912,22.0074,0,11.8603
function@x264_thread_sync_ratecontrol,0,0,0,0,0,1,0,0,0,0,1
function@clip_qscale,24,13,0,18,0,8,5.13611,8.59763,6.0697,0,29.8701
function@x264_mb_encode_i4x4,0,0,0,0,0,18,0,0,0,0,8.125
function@x264_mb_encode_i8x8,0,0,0,0,0,21,0,0,0,0,10.9844
function@x264_mb_encode_8x8_chroma,80,14,0,17,10,60,468.832,54.1172,44.0635,24.3142,472.641
function@x264_mb_optimize_chroma_dc,0,3,0,1,0,13,0,1.13725,0.490196,0,338.882
function@x264_predict_lossless_8x8_chroma,20,0,0,2,0,4,8,0,1.33333,0,1.33333
function@x264_predict_lossless_4x4,0,0,0,0,0,5,0,0,0,0,3.66667
function@x264_predict_lossless_8x8,0,0,0,0,0,8,0,0,0,0,4
function@x264_predict_lossless_16x16,0,0,0,0,0,3,0,0,0,0,1.66667
function@x264_macroblock_encode,506,23,0,17,16,121,128.537,5.04896,5.26288,4.57557,36.4915
function@x264_macroblock_probe_skip,18,16,0,19,7,25,33.8811,18.866,16.275,12.0268,111.074
function@x264_noise_reduction_update,0,0,0,0,0,61,0,0,0,0,138.381
function@x264_macroblock_encode_p8x8,28,27,0,15,14,92,12.35,8.33203,7.60767,2.97842,15.8885
function@x264_macroblock_encode_p4x4,0,0,0,0,0,16,0,0,0,0,6.40625
function@x264_lookahead_init,0,0,0,0,0,11,0,0,0,0,5.52927
function@x264_lookahead_delete,0,0,0,0,0,2,0,0,0,0,1.66667
function@x264_lookahead_put_frame,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_is_empty,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_get_frames,0,0,0,0,0,9,0,0,0,0,32.5052
function@x264_me_search_ref,1171,439,0,480,79,130,1477.65,805.44,388.108,30.4631,392.07
function@refine_subpel,318,95,0,71,7,70,240.105,87.1383,65.7004,5.48654,96.6763
function@x264_me_refine_qpel,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_qpel_refdupe,0,0,0,0,0,2,0,0,0,0,2
function@x264_me_refine_bidir_satd,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_bidir,161,74,0,56,16,45,803.535,461.144,150.088,79.4553,369.766
function@x264_me_refine_bidir_rd,0,0,0,0,0,2,0,0,0,0,2
function@x264_me_refine_qpel_rd,277,103,0,111,12,47,85.3978,33.2005,38.449,5.2118,16.973
function@x264_sps_init,0,0,0,0,0,4,0,0,0,0,4
function@x264_sps_write,0,0,0,0,0,189,0,0,0,0,94.8088
function@x264_pps_init,0,0,0,0,0,1,0,0,0,0,1
function@x264_pps_write,0,0,0,0,0,64,0,0,0,0,44.9286
function@scaling_list_write,0,0,0,0,0,16,0,0,0,0,18.241
function@x264_sei_recovery_point_write,0,0,0,0,0,15,0,0,0,0,13.125
function@x264_sei_write_header,0,0,0,0,0,6,0,0,0,0,4.6
function@x264_sei_write,0,0,0,0,0,11,0,0,0,0,8.3125
function@x264_sei_version_write,0,0,0,0,0,28,0,0,0,0,49.8889
function@x264_sei_buffering_period_write,0,0,0,0,0,16,0,0,0,0,13.24
function@x264_sei_pic_timing_write,0,0,0,0,0,11,0,0,0,0,8.84
function@x264_filler_write,0,0,0,0,0,8,0,0,0,0,34.3125
function@x264_validate_levels,2,10,0,3,0,24,2,5.35938,3,0,9.01562
function@x264_encoder_open_96,7,4,0,7,5,70,0.152457,0.17561,0.199903,0.26843,10.3636
function@x264_validate_parameters,4,2,0,2,0,47,0.0676681,0.033834,0.033834,0,4.0385
function@x264_set_aspect_ratio,0,0,0,0,0,6,0,0,0,0,14.793
function@mbcmp_init,0,0,0,0,0,1,0,0,0,0,1
function@x264_encoder_reconfig,0,0,0,0,0,11,0,0,0,0,7.23529
function@x264_encoder_parameters,0,0,0,0,0,2,0,0,0,0,2
function@x264_encoder_headers,0,0,0,0,0,18,0,0,0,0,10.3786
function@x264_nal_start,0,0,0,0,0,0,0,0,0,0,0
function@x264_nal_end,0,0,0,0,0,4,0,0,0,0,2.80952
function@x264_encoder_encapsulate_nals,0,0,0,0,0,14,0,0,0,0,19.9762
function@x264_weighted_reference_duplicate,0,0,0,0,0,8,0,0,0,0,5.5
function@x264_encoder_intra_refresh,0,0,0,0,0,0,0,0,0,0,0
function@x264_encoder_encode,44,9,0,37,13,129,8.72248,1.95084,6.82283,1.06494,291.72
function@x264_encoder_frame_end,22,3,0,20,1,55,10.2014,0.857403,9.88114,0.178626,350.471
function@x264_reference_check_reorder,0,0,0,0,0,2,0,0,0,0,8.2381
function@x264_threaded_slices_write,7,2,0,3,1,25,77.725,28.65,11.225,16.375,373.25
function@x264_slices_write,403,22,0,33,20,195,1392.9,135.853,268.768,54.3025,815.1
function@x264_encoder_close,343,78,0,91,16,48,21796.1,32286.3,17790.7,4902.77,12871.9
function@x264_encoder_delayed_frames,0,0,0,0,0,3,0,0,0,0,2.48387
function@x264_slice_header_init,0,0,0,0,0,8,0,0,0,0,42.6412
function@x264_fdec_filter_row,14,14,0,6,11,29,12.549,7.97059,3.39216,7.29412,31.1765
function@x264_macroblock_write_cavlc,695,1,0,7,1,78,290.329,0.499797,3.65527,5.00122,35.4945
function@bs_write_ue,0,0,0,0,0,2,0,0,0,0,2
function@bs_write_te,0,0,0,0,0,2,0,0,0,0,1.5
function@cavlc_mb_mvd,0,0,0,0,0,10,0,0,0,0,9
function@block_residual_write_cavlc,2,4,0,4,1,18,2,10.5,3.25,0.25,27.875
function@block_residual_write_cavlc_escape,0,0,0,0,0,19,0,0,0,0,12.3937
function@x264_cabac_mb_skip,0,0,0,0,0,3,0,0,0,0,3
function@x264_macroblock_write_cabac,287,6,0,17,19,243,106.668,4.54531,11.259,4.16111,95.0921
function@x264_cabac_mb_ref,0,0,0,0,0,5,0,0,0,0,23.9048
function@x264_cabac_mb_mvd,0,0,0,0,0,18,0,0,0,0,18
function@block_residual_write_cabac,11,10,0,9,1,27,28.3552,76.4234,6.5,0.194647,836.229
function@x264_cabac_mb_type_intra,2,0,0,2,0,24,0.494118,0,1.24706,0,8
function@x264_cabac_mb_mvd_cpn,0,0,0,0,0,26,0,0,0,0,15.8824
function@x264_rd_cost_part,65,48,0,32,18,110,18.5568,7.07964,7.64827,2.05078,44.822
function@x264_rd_cost_mb,3,4,0,7,0,70,3,4,7,0,13.0973
function@ssd_plane,16,2,0,6,5,20,3.4011,1.11538,3.34615,2.34615,7.04396
function@x264_rdo_init,31,0,0,31,15,11,244.125,0,31,15,1870.62
function@x264_quant_dc_trellis,0,0,0,0,0,8,0,0,0,0,6
function@quant_trellis_cabac,128,19,0,32,7,28,3956.88,1310.54,549.96,72.5873,2298.14
function@x264_quant_4x4_trellis,0,0,0,0,0,9,0,0,0,0,9
function@x264_quant_8x8_trellis,0,0,0,0,0,4,0,0,0,0,4
function@x264_analyse_init_costs,4,3,0,2,0,12,0.937133,7.96857,0.468567,0,9.76069
function@x264_analyse_free_costs,0,0,0,0,0,1,0,0,0,0,1
