"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,47,13,0,53,10,137,0.121834,0.0377627,4.21083,1.38728,79.6507
function@Help,0,0,0,0,0,12,0,0,0,0,8.5
function@x264_adaptive_quant_frame,22,0,0,18,0,48,671.183,0,244.58,0,918.408
function@x264_macroblock_tree_read,0,0,0,0,0,11,0,0,0,0,7.06774
function@x264_reference_build_list_optimal,0,0,0,0,0,7,0,0,0,0,100.5
function@x264_ratecontrol_init_reconfigurable,1,1,0,3,0,7,0.381579,0.381579,0.759868,0,2.54934
function@x264_ratecontrol_new,147,6,0,20,0,192,16.6183,12.0964,1.67575,0,13.3476
function@x264_strcat_filename,0,0,0,0,0,11,0,0,0,0,9.66667
function@init_pass2,122,55,0,105,3,65,6457.83,4611.32,6558.63,7.39268,3580.09
function@x264_ratecontrol_summary,0,1,0,2,0,2,0,0.154412,0.147059,0,1.15441
function@x264_ratecontrol_delete,0,0,0,0,0,4,0,0,0,0,2.4
function@x264_ratecontrol_start,1,1,0,2,0,9,0.00988766,0.0527343,1.00989,0,4.43743
function@rate_estimate_qscale,35,26,0,47,0,19,94.0312,40.306,46.1576,0,5.96257
function@x264_ratecontrol_mb,13,8,0,18,0,18,3.24599,3.97837,1.46955,0,6.5016
function@predict_row_size_sum,9,2,0,7,0,7,45.7619,4.26191,22.4286,0,3.85714
function@x264_ratecontrol_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_mb_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_slice_type,0,0,0,0,0,5,0,0,0,0,2.80882
function@x264_ratecontrol_set_weights,0,0,0,0,0,1,0,0,0,0,1
function@x264_ratecontrol_end,14,8,0,9,0,10,9.26287,2.63917,4.68869,0,2.79481
function@x264_hrd_fullness,2,0,0,2,0,2,1.5,0,1.5,0,1.75
function@x264_threads_normalize_predictors,0,0,0,0,0,3,0,0,0,0,1.325
function@x264_threads_distribute_ratecontrol,0,0,0,0,0,16,0,0,0,0,50.653
