"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@jpeg_abort_decompress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_CreateCompress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_CreateDecompress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_destroy_compress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_destroy_decompress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_destroy,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_finish_compress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_finish_decompress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_read_header,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_read_scanlines,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_resync_to_restart,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_set_defaults,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_set_quality,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_start_compress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_start_decompress,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_stdio_dest,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_write_scanlines,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_save_markers,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_set_marker_processor,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_std_error,0,0,0,0,0,0,0,0,0,0,0
function@jpeg_write_marker,0,0,0,0,0,0,0,0,0,0,0
function@png_get_valid,0,0,0,0,0,1,0,0,0,0,0.46875
function@png_get_rowbytes,0,0,0,0,0,0,0,0,0,0,0
function@png_get_rows,0,0,0,0,0,0,0,0,0,0,0
function@png_get_image_width,0,0,0,0,0,0,0,0,0,0,0
function@png_get_image_height,0,0,0,0,0,0,0,0,0,0,0
function@png_get_bit_depth,0,0,0,0,0,0,0,0,0,0,0
function@png_get_color_type,0,0,0,0,0,0,0,0,0,0,0
function@png_get_filter_type,0,0,0,0,0,0,0,0,0,0,0
function@png_get_interlace_type,0,0,0,0,0,0,0,0,0,0,0
function@png_get_compression_type,0,0,0,0,0,0,0,0,0,0,0
function@png_get_x_pixels_per_meter,0,0,0,0,0,0,0,0,0,0,0
function@png_get_y_pixels_per_meter,0,0,0,0,0,0,0,0,0,0,0
function@png_get_pixels_per_meter,0,0,0,0,0,0,0,0,0,0,0
function@png_get_pixel_aspect_ratio,0,0,0,0,0,0,0,0,0,0,0
function@png_get_pixel_aspect_ratio_fixed,0,0,0,0,0,1,0,0,0,0,0.999999
function@png_get_x_offset_microns,0,0,0,0,0,0,0,0,0,0,0
function@png_get_y_offset_microns,0,0,0,0,0,0,0,0,0,0,0
function@png_get_x_offset_pixels,0,0,0,0,0,0,0,0,0,0,0
function@png_get_y_offset_pixels,0,0,0,0,0,0,0,0,0,0,0
function@png_get_pixels_per_inch,0,0,0,0,0,3,0,0,0,0,2.95312
function@png_get_x_pixels_per_inch,0,0,0,0,0,2,0,0,0,0,1.95312
function@png_get_y_pixels_per_inch,0,0,0,0,0,2,0,0,0,0,1.95312
function@png_get_x_offset_inches_fixed,0,0,0,0,0,1,0,0,0,0,1
function@png_get_y_offset_inches_fixed,0,0,0,0,0,1,0,0,0,0,1
function@png_get_x_offset_inches,0,0,0,0,0,0,0,0,0,0,0
function@png_get_y_offset_inches,0,0,0,0,0,0,0,0,0,0,0
function@png_get_pHYs_dpi,0,0,0,0,0,1,0,0,0,0,1
function@png_get_channels,0,0,0,0,0,0,0,0,0,0,0
function@png_get_signature,0,0,0,0,0,0,0,0,0,0,0
function@png_get_bKGD,0,0,0,0,0,1,0,0,0,0,1
function@png_get_cHRM_XYZ_fixed,0,0,0,0,0,5,0,0,0,0,5
function@png_get_cHRM,0,0,0,0,0,0,0,0,0,0,0
function@png_get_cHRM_XYZ,0,0,0,0,0,5,0,0,0,0,5
function@png_get_cHRM_fixed,0,0,0,0,0,1,0,0,0,0,1
function@png_get_gAMA_fixed,0,0,0,0,0,1,0,0,0,0,1
function@png_get_gAMA,0,0,0,0,0,0,0,0,0,0,0
function@png_get_sRGB,0,0,0,0,0,1,0,0,0,0,1
function@png_get_iCCP,0,0,0,0,0,1,0,0,0,0,1
function@png_get_sPLT,0,0,0,0,0,0,0,0,0,0,0
function@png_get_hIST,0,0,0,0,0,1,0,0,0,0,1
function@png_get_IHDR,0,0,0,0,0,1,0,0,0,0,0.5
function@png_get_oFFs,0,0,0,0,0,1,0,0,0,0,1
function@png_get_pCAL,0,0,0,0,0,1,0,0,0,0,1
function@png_get_sCAL_fixed,0,0,0,0,0,6,0,0,0,0,4.4375
function@png_get_sCAL,0,0,0,0,0,3,0,0,0,0,3
function@png_get_sCAL_s,0,0,0,0,0,0,0,0,0,0,0
function@png_get_pHYs,0,0,0,0,0,0,0,0,0,0,0
function@png_get_PLTE,0,0,0,0,0,1,0,0,0,0,1
function@png_get_sBIT,0,0,0,0,0,1,0,0,0,0,1
function@png_get_text,0,0,0,0,0,1,0,0,0,0,1
function@png_get_tIME,0,0,0,0,0,1,0,0,0,0,1
function@png_get_tRNS,0,0,0,0,0,1,0,0,0,0,1
function@png_get_unknown_chunks,0,0,0,0,0,0,0,0,0,0,0
function@png_get_rgb_to_gray_status,0,0,0,0,0,0,0,0,0,0,0
function@png_get_user_chunk_ptr,0,0,0,0,0,0,0,0,0,0,0
function@png_get_compression_buffer_size,0,0,0,0,0,0,0,0,0,0,0
function@png_get_user_width_max,0,0,0,0,0,0,0,0,0,0,0
function@png_get_user_height_max,0,0,0,0,0,0,0,0,0,0,0
function@png_get_chunk_cache_max,0,0,0,0,0,0,0,0,0,0,0
function@png_get_chunk_malloc_max,0,0,0,0,0,0,0,0,0,0,0
function@png_get_io_state,0,0,0,0,0,0,0,0,0,0,0
function@png_get_io_chunk_type,0,0,0,0,0,0,0,0,0,0,0
function@png_get_io_chunk_name,0,0,0,0,0,3,0,0,0,0,3
function@png_read_data,0,0,0,0,0,0,0,0,0,0,0
function@png_default_read_data,0,0,0,0,0,6,0,0,0,0,4.25
function@png_set_read_fn,0,0,0,0,0,2,0,0,0,0,1.4
function@png_save_uint_32,0,0,0,0,0,0,0,0,0,0,0
function@png_save_int_32,0,0,0,0,0,0,0,0,0,0,0
function@png_save_uint_16,0,0,0,0,0,0,0,0,0,0,0
function@png_write_sig,0,0,0,0,0,2,0,0,0,0,2
function@png_write_chunk_start,0,0,0,0,0,7,0,0,0,0,4.75
function@png_write_chunk_data,0,0,0,0,0,9,0,0,0,0,6
function@png_write_chunk_end,0,0,0,0,0,0,0,0,0,0,0
function@png_write_chunk,0,0,0,0,0,0,0,0,0,0,0
function@png_write_complete_chunk,12,1,0,2,0,12,6.87499,0.46875,2,0,6.375
function@png_write_IHDR,11,1,0,2,0,17,11,0.999999,2,0,8.21875
function@png_write_PLTE,0,0,0,0,0,17,0,0,0,0,25.5
function@png_write_IDAT,0,0,0,0,0,14,0,0,0,0,6.81445
function@png_write_IEND,0,0,0,0,0,6,0,0,0,0,4.125
function@png_write_gAMA_fixed,0,0,0,0,0,0,0,0,0,0,0
function@png_write_sRGB,0,0,0,0,0,4,0,0,0,0,3.5
function@png_write_iCCP,0,0,0,0,0,32,0,0,0,0,10.2352
function@png_check_keyword,0,0,0,0,0,23,0,0,0,0,16.938
function@png_text_compress,0,0,0,0,0,29,0,0,0,0,91.7784
function@png_write_compressed_data_out,0,0,0,0,0,30,0,0,0,0,29.7978
function@png_write_sPLT,34,4,0,6,1,15,52.0847,9.30664,10.8281,7.8125,50.3164
function@png_write_sBIT,0,0,0,0,0,0,0,0,0,0,0
function@png_write_cHRM_fixed,22,0,0,5,0,4,15.625,0,5,0,3.25
function@png_write_tRNS,0,0,0,0,0,5,0,0,0,0,2.75
function@png_write_bKGD,0,0,0,0,0,3,0,0,0,0,0.75
function@png_write_hIST,0,0,0,0,0,16,0,0,0,0,47.5
function@png_write_tEXt,0,0,0,0,0,27,0,0,0,0,11.1094
function@png_write_zTXt,0,0,0,0,0,41,0,0,0,0,10.5819
function@png_write_iTXt,6,4,0,4,0,50,2.12891,1.40625,2.25,0,23.7422
function@png_write_oFFs,6,0,0,2,0,4,5.5,0,2,0,4
function@png_write_pCAL,22,8,0,9,3,36,17.5312,12.7754,8.24414,21.3906,41.4241
function@png_write_sCAL_s,1,1,0,1,0,13,0.5,1,1,0,10.5
function@png_write_pHYs,6,0,0,2,0,4,5.5,0,2,0,4
function@png_write_tIME,0,0,0,0,0,0,0,0,0,0,0
function@png_write_start_row,0,0,0,0,0,11,0,0,0,0,6.66667
function@png_zlib_claim,0,0,0,0,0,15,0,0,0,0,2.81251
function@png_write_finish_row,0,0,0,0,0,27,0,0,0,0,16.8759
function@png_zlib_release,0,0,0,0,0,10,0,0,0,0,4
function@png_do_write_interlace,25,1,0,6,0,19,10.4922,1.99219,2.5,0,27.2031
function@png_write_find_filter,179,128,0,81,20,195,133.341,62.7962,33.8558,6.81541,132.285
function@png_do_write_transformations,0,0,0,0,0,16,0,0,0,0,4.94501
function@png_do_pack,0,0,0,0,0,21,0,0,0,0,2.66209
function@png_do_shift,0,0,0,0,0,28,0,0,0,0,333.492
function@png_do_write_swap_alpha,0,0,0,0,0,5,0,0,0,0,0.261438
function@png_do_write_invert_alpha,0,0,0,0,0,4,0,0,0,0,0.20915
function@png_do_write_intrapixel,0,0,0,0,0,3,0,0,0,0,1.17826
function@png_get_uint_31,0,0,0,0,0,0,0,0,0,0,0
function@png_get_uint_32,0,0,0,0,0,0,0,0,0,0,0
function@png_get_int_32,0,0,0,0,0,0,0,0,0,0,0
function@png_get_uint_16,0,0,0,0,0,0,0,0,0,0,0
function@png_read_sig,0,0,0,0,0,11,0,0,0,0,4.5
function@png_read_chunk_header,0,0,0,0,0,9,0,0,0,0,6.99999
function@png_check_chunk_name,0,0,0,0,0,2,0,0,0,0,2
function@png_crc_read,0,0,0,0,0,9,0,0,0,0,6.71429
function@png_crc_finish,0,0,0,0,0,17,0,0,0,0,103
function@png_crc_error,0,0,0,0,0,3,0,0,0,0,3
function@png_decompress_chunk,65,11,0,9,0,17,61.3592,3.02906,4.59801,0,21.8405
function@png_handle_IHDR,0,0,0,0,0,17,0,0,0,0,13
function@png_handle_PLTE,0,0,0,0,0,26,0,0,0,0,14.3437
