"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,79,46,0,72,9,636,28691.8,11294.6,1257.87,339.083,67806.9
function@_QMplane_source_modPplane_source_init,2,0,0,2,0,132,2,0,2,0,4111.66
function@_QMplane_source_modPplane_source_read,17,12,0,22,0,193,274.664,476.789,144.117,0,2478.62
function@_QMplane_source_modPplane_source_apply,6,13,0,14,0,16,11.625,54.75,9.5,0,62.25
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,3,0,0,0,0,3
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,5,0,0,3,0,387,0.369141,0,0.369141,0,78.838
function@_QMmur_modPmur_init,42,13,0,53,0,273,111.934,54.4495,13.6104,0,350.396
function@_QMmur_modPmur_updatee,632,149,0,315,13,141,333.391,114.219,76.7483,4.34437,118.808
function@_QMmur_modPmur_storee,63,56,0,54,2,100,45.9074,120.074,29.8889,1.31481,213.778
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,40,7,0,42,0,47,2742.5,872.65,390.55,0,4007.25
function@_QMupdate_modPupdate_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMupdate_modPupdateh,473,235,0,225,130,72,20623.7,14445.6,2017.22,2367.05,21792.2
function@_QMupdate_modPupdatee,736,157,0,218,107,218,131202,46184.5,15221.8,5023.16,101479
function@_QMupdate_modPupdate_inith,112,88,0,99,7,71,1714.98,1880.78,198.618,112.412,4705.74
function@_QMupdate_modPupdate_inite,225,127,0,142,0,176,2061.12,3519.67,234.423,0,4935.01
function@_QMupml_modPupml_allocate,17,8,0,14,0,464,12.5882,8,14,0,397.824
function@_QMupml_modPcheck_allocate,0,0,0,0,0,22,0,0,0,0,2
function@_QMupml_modPupml_set_eps_arrays,54,13,0,57,0,143,5035.6,1627.83,550.667,0,1048.17
function@_QMupml_modPupml_init,2822,476,0,701,569,1603,2603.25,1296.38,662.789,82.6733,3684.59
function@_QMupml_modPupml_initb,124,104,0,167,0,151,7414.92,10161.2,2849,0,51202.4
function@_QMupml_modPupml_inith,268,200,0,165,1,135,8740.27,11961.3,903.925,20.475,8605.28
function@_QMupml_modPupml_updateh,724,486,0,660,128,303,1.37692e+06,292698,38699.5,1343,367989
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,4283,1077,0,1415,721,980,1.6206e+06,326163,78211.7,10208.2,323279
function@_QMupml_modPupml_updatee_simple,4635,1131,0,1540,752,1040,1.71336e+06,334943,88578.5,13271,304849
function@_QMupml_modPupml_initd,177,116,0,186,3,202,8764.67,11808,3258.42,41.0741,59625.8
