"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,78,45,0,69,13,634,28890.8,11294.4,1256.9,341.083,51807.1
function@_QMplane_source_modPplane_source_init,2,0,0,2,0,132,2,0,2,0,4111.66
function@_QMplane_source_modPplane_source_read,19,12,0,22,0,196,275.016,476.789,144.117,0,2479.61
function@_QMplane_source_modPplane_source_apply,6,13,0,14,0,17,11.625,54.75,9.5,0,62.75
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,3,0,0,0,0,3
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,3,0,0,3,0,388,0.421875,0,0.421875,0,78.8908
function@_QMmur_modPmur_init,42,13,0,53,0,273,111.934,54.4495,13.6104,0,350.396
function@_QMmur_modPmur_updatee,609,147,0,310,13,137,334.02,152.841,76.0265,8.3245,114.338
function@_QMmur_modPmur_storee,62,56,0,54,2,97,48.1296,120.074,29.8889,1.31481,214.019
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,41,7,0,43,0,46,2750.45,872.65,398.5,0,3999.3
function@_QMupdate_modPupdate_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMupdate_modPupdateh,430,227,0,227,131,65,20578.7,14062.2,2010.72,2397.77,14102.5
function@_QMupdate_modPupdatee,706,155,0,210,113,196,115130,59777.4,8671.19,5564.06,72982.9
function@_QMupdate_modPupdate_inith,111,88,0,99,7,71,1714.36,1880.78,198.618,112.412,4713.62
function@_QMupdate_modPupdate_inite,233,120,0,142,0,173,2067.59,3501.43,234.268,0,4932.06
function@_QMupml_modPupml_allocate,16,9,0,15,0,469,11.5882,9,15,0,402.824
function@_QMupml_modPcheck_allocate,0,0,0,0,0,22,0,0,0,0,2
function@_QMupml_modPupml_set_eps_arrays,56,13,0,59,0,144,5060.98,1627.83,576.048,0,1056.1
function@_QMupml_modPupml_init,3136,453,0,692,601,1623,2644.2,1283.46,662.001,88.5817,3531.75
function@_QMupml_modPupml_initb,131,105,0,168,0,149,7595.6,10417.1,2869.47,0,51544.2
function@_QMupml_modPupml_inith,267,200,0,165,1,130,8643.98,11986.9,903.925,20.475,8504.58
function@_QMupml_modPupml_updateh,773,482,0,655,134,313,1.37425e+06,276790,33216.8,1328.96,391045
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,4773,1123,0,1379,709,1016,1.56502e+06,326034,78049.4,9234.64,318679
function@_QMupml_modPupml_updatee_simple,5257,1174,0,1506,732,966,1.73391e+06,338006,80003.1,12927.3,287679
function@_QMupml_modPupml_initd,182,115,0,184,4,200,8386.58,11972.4,2829.89,445.605,59574.3
function@_QMupml_modPupml_inite,354,244,0,171,4,194,9916.74,14665.6,1296.74,80.8889,11596.5
function@_QMupml_modPupml_end,0,0,0,0,0,450,0,0,0,0,241.667
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,9,0,0,0,0,6.33333
function@_QMreadline_modPreadline,23,4,0,12,1,75,61.9511,3.19022,12.3098,0.375,241.87
function@_QMreadline_modPcheckifkeyword,0,0,0,0,0,5,0,0,0,0,32.4615
function@mpi_barrier_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_bcast_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_integers_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_reals_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_logical_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_cart_rank_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_cart_create_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_cart_coords_,0,0,0,0,0,11,0,0,0,0,11
function@mpi_cart_shift_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_comm_rank_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_comm_size_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,12,0,0,0,0,12
function@mpi_ssend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_bsend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_sendrecv_,1,0,0,1,0,21,1,0,1,0,21
function@mpi_wait_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_isend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_wtick_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_buffer_attach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_buffer_detach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_pack_size_,0,0,0,0,0,10,0,0,0,0,10
function@mpi_gather_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_type_struct_,2,0,0,2,0,14,2,0,2,0,14
function@mpi_type_commit_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_extent_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_type_free_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_vector_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_type_hvector_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_irecv_,0,0,0,0,0,12,0,0,0,0,12
function@mpi_waitall_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_sendrecv_replace_,1,0,0,1,0,21,1,0,1,0,21
function@mpi_bsend_init_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_recv_init_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_dims_create_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_start_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_allreduce_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_reduce_,0,0,0,0,0,0,0,0,0,0,0
function@_QMhuygens_modPhuygens_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMhuygens_modPhuygensh,436,121,0,227,3,399,280.339,202.268,116.571,3,898.196
function@_QMhuygens_modPhuygense,604,123,0,270,3,468,378.429,197.982,133.982,3,1083.18
function@_QMhuygens_modPuin,168,101,0,92,5,266,516.671,679.047,366.491,6.94444,3442.93
function@_QMmaterial_modPmat_init,447,118,0,346,94,497,2.10767e+06,181597,141641,347694,2.14062e+06
function@_QMmaterial_modPmat_updatee,93,113,0,128,6,63,225659,108740,21175.5,6,95443.2
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,21,17,0,33,0,181,846.5,1424.88,309,0,1132.67
function@_QMpower_modPpower_stop,0,0,0,0,0,11,0,0,0,0,882.417
function@_QMpower_modPpower_dft,12,1,0,12,1,36,1069.56,202.259,45.4259,6.31482,18734.9
function@_QMpower_modPpower_print,15,0,0,10,0,79,40.0977,0,5.67188,0,298.295
function@_QMpower_modPpower_intere,8,10,0,9,0,38,2.66667,3.33333,9,0,6
function@_QMpower_modPpower_interh,20,3,0,13,0,45,6.66667,1,9.66667,0,8.66667
function@_QMpower_modPread_power,6,1,0,4,0,313,22.9309,0.625,7.69321,0,13280
function@_QMpower_modPpower_updateh,54,18,0,45,2,14,73.075,30.825,32.075,3.375,17.9
function@timer_,0,0,0,0,0,11,0,0,0,0,7.57143
function@leapfrog_,85,36,0,45,4,163,650.457,937.422,78.5781,2.5,2910.03
function@_QMpec_modPpec_read,11,0,0,5,0,105,20.3555,0,3.73828,0,259.437
function@_QMpec_modPpec_init,228,82,0,170,6,376,38201.9,3202.95,18503.5,230.149,164512
function@_QMpec_modPpec_apply,12,0,0,12,0,0,12,0,12,0,0
function@_QMpec_modPpec_end,0,0,0,0,0,9,0,0,0,0,3.6
function@_QQmain,13,20,0,28,0,197,32.8125,48.4375,29.1406,0,327.227
