"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,8,0,0,0,0,8
function@set_data_tile_,0,0,0,0,0,34,0,0,0,0,34
function@get_3dfld_,189,27,0,56,13,132,60.8093,3.94391,21.1835,6.61373,111.666
function@set_ngfldr_,0,0,0,0,0,0,0,0,0,0,0
function@close_io_,0,0,0,0,0,35,0,0,0,0,10.3929
function@_QMdiag_modPdiag,25,0,0,25,0,14,25,0,25,0,14
function@_QMdiag_modPdiag_tile,337,179,0,144,43,66,58465.7,27207.8,10211.1,171.359,15966.4
function@_QMmod_mixingPallocate_mixing,139,11,0,42,9,14,138.5,11,42,9,13
function@_QMmod_mixingPinitialize_mixing,131,41,0,18,2,44,466795,23681,145.56,0.8,626261
function@_QMset_zeta_modPset_zeta,1,0,0,1,0,12,1,0,1,0,12
function@_QMset_zeta_modPset_zeta_tile,52,18,0,25,7,11,333.897,485.397,27.2647,10.3529,644.324
function@def_impulse_,0,0,0,0,0,0,0,0,0,0,0
function@get_3dfldr_,0,0,0,0,0,0,0,0,0,0,0
function@_QMdef_var_modPdef_var,186,17,0,40,7,382,24.06,1.44879,8.64613,1.07952,170.512
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,74,48,0,74,7,12,159847,10553.5,80065.8,103.413,1963.34
function@_QMnrutilParray_copy_r,0,0,0,0,0,4,0,0,0,0,1.68
function@_QMnrutilParray_copy_d,0,0,0,0,0,4,0,0,0,0,1.68
function@_QMnrutilParray_copy_i,0,0,0,0,0,4,0,0,0,0,1.68
function@_QMnrutilParth_r,7,1,0,6,1,12,21.8922,75.2843,5.7451,0.147059,43.7843
function@_QMnrutilParth_d,7,1,0,6,1,12,21.8922,75.2843,5.7451,0.147059,43.7843
function@_QMnrutilParth_i,9,0,0,4,1,8,34.1078,0,5.45098,0.147059,23.7451
function@_QMnrutilPnrerror,0,0,0,0,0,8,0,0,0,0,8
function@_QMnrutilPreallocate_rv,1,3,0,2,1,16,0.625,1.78125,1.625,0.390625,7.38281
function@_QMnrutilPreallocate_iv,1,3,0,2,1,16,0.625,1.78125,1.625,0.390625,7.38281
function@_QMnrutilPreallocate_hv,5,5,0,4,0,32,5.43304,1.78125,1.90271,0,10.1762
function@_QMnrutilPreallocate_rm,20,18,0,12,2,26,11.7266,206.498,8,0.556641,73.75
function@_QMnrutilPreallocate_im,26,18,0,13,2,24,23.2207,206.498,8.625,0.556641,72.8125
