"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,8,0,0,0,0,8
function@set_data_tile_,0,0,0,0,0,34,0,0,0,0,34
function@get_3dfld_,95,11,0,34,4,175,37.8119,2.96365,13.3035,2.0725,200.849
function@close_io_,0,0,0,0,0,35,0,0,0,0,10.3929
function@_QMdiag_modPdiag,8,0,0,8,0,10,8,0,8,0,10
function@_QMdiag_modPdiag_tile,218,76,0,124,26,122,25627.5,22028.2,676.897,31.4469,17690.5
function@_QMmod_mixingPallocate_mixing,61,0,0,22,0,32,61,0,22,0,31
function@_QMmod_mixingPinitialize_mixing,53,17,0,19,0,67,268179,4424.64,374.28,0,1.54954e+06
function@_QMset_zeta_modPset_zeta,0,0,0,0,0,10,0,0,0,0,10
function@_QMset_zeta_modPset_zeta_tile,42,6,0,27,1,38,99.0147,29.75,22.6765,3.13235,703.353
function@_QMdef_var_modPdef_var,98,1,0,7,0,592,7.24937,0.624896,5.49958,0,204.862
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,36,25,0,38,0,29,3479.75,10139.9,789.927,0,22325.6
function@_QMnrutilParray_copy_r,0,0,0,0,0,4,0,0,0,0,1.68
function@_QMnrutilParray_copy_d,0,0,0,0,0,4,0,0,0,0,1.68
function@_QMnrutilParray_copy_i,0,0,0,0,0,4,0,0,0,0,1.68
function@_QMnrutilParth_r,5,0,0,4,0,15,25.049,0,5.45098,0,55.3628
function@_QMnrutilParth_d,5,0,0,4,0,15,25.049,0,5.45098,0,55.3628
function@_QMnrutilParth_i,4,0,0,4,0,13,20.0392,0,5.45098,0,48.7941
function@_QMnrutilPnrerror,0,0,0,0,0,8,0,0,0,0,8
function@_QMnrutilPreallocate_rv,2,1,0,2,0,16,1.01562,0.390625,1.625,0,7.38281
function@_QMnrutilPreallocate_iv,2,1,0,2,0,16,1.01562,0.390625,1.625,0,7.38281
function@_QMnrutilPreallocate_hv,4,4,0,3,0,31,1.47583,0.78125,2.25,0,9.55124
function@_QMnrutilPreallocate_rm,11,4,0,9,0,27,22.9883,1.50391,5.625,0,68.25
function@_QMnrutilPreallocate_im,13,4,0,9,0,27,24.2383,1.50391,5.625,0,68.25
function@_QMlmd_vmix_modPlmd_vmix,11,1,0,12,0,16,11,1,12,0,16
function@_QMlmd_vmix_modPlmd_vmix_tile,292,161,0,203,8,316,175034,72127.1,8273.2,327.631,198298
