"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_re_compile,0,0,0,0,0,1,0,0,0,0,1
function@Perl_re_intuit_string,0,0,0,0,0,0,0,0,0,0,0
function@Perl_regfree_internal,0,0,0,0,0,1,0,0,0,0,1
function@Perl_reg_numbered_buff_fetch,0,0,0,0,0,11,0,0,0,0,3.02946
function@Perl_reg_numbered_buff_store,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_numbered_buff_length,0,0,0,0,0,10,0,0,0,0,3.63342
function@Perl_reg_named_buff,0,0,0,0,0,7,0,0,0,0,1.03934
function@Perl_reg_named_buff_iter,0,0,0,0,0,7,0,0,0,0,3.15
function@Perl_re_op_compile,99,11,0,30,2,159,473.899,180.599,86.9995,21.2206,4569.94
function@Perl_reginitcolors,0,0,0,0,0,0,0,0,0,0,0
function@Perl_current_re_engine,0,0,0,0,0,9,0,0,0,0,1.80973
function@Perl_pregcomp,0,0,0,0,0,4,0,0,0,0,4
function@Perl__new_invlist_C_array,0,0,0,0,0,3,0,0,0,0,3
function@Perl__new_invlist,0,0,0,0,0,3,0,0,0,0,2.75
function@Perl__add_range_to_invlist,0,0,0,0,0,17,0,0,0,0,7.47412
function@S_concat_pat,51,4,0,21,0,53,157.785,43.0157,82.8554,0,552.066
function@S_reg,189,6,0,59,0,325,54.3452,1.24885,18.471,0,88.1344
function@Perl_regnext,0,0,0,0,0,1,0,0,0,0,1
function@S_ssc_init,0,0,0,0,0,6,0,0,0,0,5.75
function@S_study_chunk,452,67,0,132,26,361,6227.27,1314.19,2800.64,378.063,8594.37
function@S_scan_commit,0,0,0,0,0,9,0,0,0,0,5.35714
function@S_is_ssc_worth_it,0,0,0,0,0,3,0,0,0,0,7.70588
function@S_add_data,0,0,0,0,0,7,0,0,0,0,6.38095
