"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@flux_,29,3,0,11,1,10,29,3,11,1,10
function@flux_..omp_par.4,225,34,0,93,40,8,948830,38189.1,16545.2,8755.83,59999.3
function@flux_..omp_par.3,84,27,0,44,11,15,18748.4,6536.33,654.75,128.917,5572.08
function@flux_..omp_par.2,25,14,0,22,5,6,1120.33,2631.83,111.167,49.0833,2133.58
function@flux_..omp_par.1,267,180,0,82,146,11,55865.5,22370.8,3205.81,10835.2,11000
function@flux_..omp_par,25,14,0,22,5,6,1120.33,2631.83,111.167,49.0833,2133.58
function@_QQmain,0,0,0,0,0,134,0,0,0,0,129.619
function@jacobian_,2,0,0,2,0,10,2,0,2,0,10
function@jacobian_..omp_par,140,68,0,100,13,11,900275,446080,479918,9312.33,93865.8
function@fill1_,5,0,0,2,0,3,5,0,2,0,3
function@fill1_..omp_par.1,3,1,0,2,0,1,3,0.666667,2,0,21.25
function@fill1_..omp_par,15,10,0,13,3,2,98.25,223.083,31.9167,22.9167,559.833
function@shell_,152,24,0,56,23,21,326596,162868,487808,23,15802.5
function@shell_..omp_par.8,22,13,0,21,4,5,1068,696.167,133,56.75,759.75
function@shell_..omp_par.7,175,28,0,91,58,12,1.32379e+07,301323,41184,393735,1.6648e+06
function@shell_..omp_par.6,168,20,0,93,60,11,4.54603e+08,9.02979e+06,373504,1.16304e+07,7.8652e+07
function@shell_..omp_par.5,12,2,0,8,2,15,427.625,24.875,7.625,1.25,80820.2
function@shell_..omp_par.4,54,23,0,45,14,31,11525.3,5285.75,933.688,435.25,1641.31
function@shell_..omp_par.3,20,5,0,18,4,7,9203,62,36.9167,23.5833,18306.1
function@shell_..omp_par.2,40,25,0,32,9,5,28942.4,2299.5,166.833,622.583,1693.17
function@shell_..omp_par.1,20,13,0,17,2,2,239.5,315.917,66.6667,7.58333,4.75
function@shell_..omp_par,45,8,0,38,14,1,79812,510.833,673.917,919.5,8533.25
function@.omp.reduction.func,0,0,0,0,0,2,0,0,0,0,2
function@bi_cgstab_block_,45,3,0,17,4,11,373.625,32.875,31.4375,4,55.8125
function@bi_cgstab_block_..omp_par.12,21,12,0,17,4,4,96.5625,3629.19,52.25,22.1875,11149.8
function@bi_cgstab_block_..omp_par.11,49,34,0,40,29,4,56880.9,90712.9,15965.3,48323.8,87999.7
function@bi_cgstab_block_..omp_par.10,28,13,0,23,6,4,1409.75,4029.12,491.5,47.0625,11149.8
function@bi_cgstab_block_..omp_par.9,55,18,0,42,15,4,45830.9,20350.5,10925.2,2742.67,9999.75
function@bi_cgstab_block_..omp_par.8,25,14,0,21,6,5,3258.81,4041.56,79.125,47.0625,11399.7
function@bi_cgstab_block_..omp_par.7,41,23,0,36,19,3,176549,56003.3,6885.67,17536.4,11199.8
function@bi_cgstab_block_..omp_par.6,25,14,0,21,6,5,3258.81,4041.56,79.125,47.0625,11399.7
function@bi_cgstab_block_..omp_par.5,17,11,0,17,2,5,101.562,516.438,72.3125,20.5625,9149.69
function@bi_cgstab_block_..omp_par,86,26,0,58,15,8,56176.8,73160.1,9689.42,3594.5,23907.8
function@mat_times_vec_,3,0,0,3,0,3,3,0,3,0,3
function@mat_times_vec_..omp_par,135,35,0,84,46,2,4.23899e+07,243965,315616,3.51022e+06,5599.83
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.1,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.2,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.3,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.4,0,0,0,0,0,0,0,0,0,0,0
function@fill2_,0,0,0,0,0,4,0,0,0,0,4
function@fill2_..omp_par.1,4,2,0,3,0,1,3.66667,26.5,2.66667,0,21.25
function@fill2_..omp_par,6,3,0,5,0,1,17.5833,27.1667,4,0,21.25
