"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@global_opt,0,0,0,0,0,4,0,0,0,0,74.1058
function@main,0,0,0,0,0,5,0,0,0,0,3.4375
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,1,0,0,0,0,1
function@cost_compare,0,0,0,0,0,1,0,0,0,0,1
function@primal_bea_mpp,11,4,0,6,1,7,1295.71,360.333,513.762,264.19,13.7619
function@read_min,86,7,0,10,3,28,51.2364,2.91921,5.0444,1.12164,10.712
function@markBaskets,0,0,0,0,0,4,0,0,0,0,303.222
function@worker,4,7,0,3,0,15,25,9.5,3,0,74.5
function@master,21,11,0,8,0,12,54.9189,28.4742,16.6806,0,77.0863
function@primal_net_simplex,0,0,0,0,0,5,0,0,0,0,5
function@primal_start_artificial,0,0,0,0,0,4,0,0,0,0,21.72
function@update_tree,17,7,0,9,0,20,197.645,22.9355,66.4193,0,151.645
function@write_circulations,0,0,0,0,0,9,0,0,0,0,6.16683
function@write_objective_value,0,0,0,0,0,5,0,0,0,0,3.85714
function@primal_iminus,0,0,0,0,0,4,0,0,0,0,9.42857
function@refreshArcPointers,0,0,0,0,0,6,0,0,0,0,27.75
function@refreshPositions,8,0,0,1,0,8,66.5,0,1,0,41.6667
function@marc_arcs,0,0,0,0,0,7,0,0,0,0,3.91071
function@arc_compare,0,0,0,0,0,1,0,0,0,0,1
function@resize_prob,0,0,0,0,0,3,0,0,0,0,2.36
function@insert_new_arc,0,0,0,0,0,7,0,0,0,0,26.25
function@replace_weaker_arc,0,0,0,0,0,8,0,0,0,0,25.75
function@calculate_max_redcost,0,0,0,0,0,4,0,0,0,0,11.3137
function@switch_arcs,15,3,0,7,2,12,8333.91,446.905,817.143,115.476,2149.86
function@price_out_impl,134,33,0,50,13,39,191.775,128.119,47.1788,11.7417,70.5563
function@suspend_impl,8,4,0,3,1,34,4.85714,16.1905,9.5619,0.228571,54.9048
function@spec_qsort,696,320,0,160,69,122,4759.31,2993.22,335.691,112.044,709.718
function@refresh_neighbour_lists,0,0,0,0,0,4,0,0,0,0,41.875
function@flow_cost,0,0,0,0,0,2,0,0,0,0,0.96
function@start,0,0,0,0,0,0,0,0,0,0,0
function@getArcPosition,0,0,0,0,0,8,0,0,0,0,6
function@getOriginalArcPosition,0,0,0,0,0,1,0,0,0,0,1
function@flow_org_cost,0,4,0,2,0,3,0,4,2,0,1.96
function@primal_feasible,2,0,0,5,0,5,2,0,2.31915,0,14.7447
function@dual_feasible,0,0,0,0,0,1,0,0,0,0,1
function@getfree,0,0,0,0,0,1,0,0,0,0,1
