"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,49,15,0,53,15,137,0.13858,0.0413583,4.21223,1.3916,79.6574
function@Help,0,0,0,0,0,12,0,0,0,0,8.5
function@x264_adaptive_quant_frame,22,0,0,18,0,48,671.183,0,244.58,0,918.408
function@x264_macroblock_tree_read,0,0,0,0,0,11,0,0,0,0,7.06774
function@x264_reference_build_list_optimal,0,0,0,0,0,7,0,0,0,0,100.5
function@x264_ratecontrol_init_reconfigurable,1,1,0,3,0,7,0.381579,0.381579,0.759868,0,2.54934
function@x264_ratecontrol_new,127,7,0,21,0,204,16.6297,12.1002,1.67432,0,13.3422
function@x264_strcat_filename,0,0,0,0,0,11,0,0,0,0,9.66667
function@init_pass2,123,55,0,106,3,65,6464.81,4611.32,6558.84,7.39268,3580.09
function@clip_qscale,23,2,0,12,0,11,4.08105,0.46875,4.45703,0,31.0166
function@x264_ratecontrol_summary,0,1,0,2,0,2,0,0.154412,0.147059,0,1.15441
function@x264_ratecontrol_delete,0,0,0,0,0,4,0,0,0,0,2.4
function@x264_ratecontrol_start,1,1,0,2,0,9,0.00988766,0.0527343,1.00989,0,4.43743
function@rate_estimate_qscale,35,26,0,47,0,19,94.0312,40.306,46.1576,0,5.96257
function@x264_ratecontrol_mb,13,8,0,18,0,18,3.24599,3.97837,1.46955,0,6.5016
function@predict_row_size_sum,9,2,0,7,0,7,45.7619,4.26191,22.4286,0,3.85714
function@x264_ratecontrol_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_mb_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_slice_type,0,0,0,0,0,5,0,0,0,0,2.80882
function@x264_ratecontrol_set_weights,0,0,0,0,0,1,0,0,0,0,1
function@x264_ratecontrol_end,14,8,0,9,0,10,9.26287,2.63917,4.68869,0,2.79481
function@x264_hrd_fullness,2,0,0,2,0,2,1.5,0,1.5,0,1.75
function@x264_threads_normalize_predictors,0,0,0,0,0,3,0,0,0,0,1.325
function@x264_threads_distribute_ratecontrol,0,0,0,0,0,16,0,0,0,0,50.653
function@x264_threads_merge_ratecontrol,4,2,0,4,0,5,19.5882,7.83824,16.4559,0,11.8603
function@x264_thread_sync_ratecontrol,0,0,0,0,0,0,0,0,0,0,0
function@x264_mb_encode_i4x4,0,0,0,0,0,15,0,0,0,0,7.125
function@x264_mb_encode_i8x8,0,0,0,0,0,18,0,0,0,0,9.35938
function@x264_mb_encode_8x8_chroma,60,7,0,15,3,64,266.057,38.8984,42.6729,17.5957,463.166
function@x264_mb_optimize_chroma_dc,0,1,0,1,0,13,0,0.156863,0.235294,0,338.882
function@x264_predict_lossless_8x8_chroma,0,0,0,0,0,10,0,0,0,0,3.33333
function@x264_predict_lossless_4x4,0,0,0,0,0,5,0,0,0,0,3.66667
function@x264_predict_lossless_8x8,0,0,0,0,0,8,0,0,0,0,4
function@x264_predict_lossless_16x16,0,0,0,0,0,3,0,0,0,0,1.66667
function@x264_macroblock_encode,214,12,0,25,5,160,47.9324,2.21734,8.7738,1.44869,52.8417
function@x264_macroblock_probe_skip,7,6,0,14,0,48,16.951,13.5648,17.3747,0,164.509
function@x264_noise_reduction_update,0,0,0,0,0,31,0,0,0,0,58.4762
function@x264_macroblock_encode_p8x8,42,10,0,13,3,78,7.42465,2.38867,6.69556,0.250488,18.2104
function@x264_macroblock_encode_p4x4,0,0,0,0,0,13,0,0,0,0,5.40625
function@x264_lookahead_init,0,0,0,0,0,11,0,0,0,0,5.52927
function@x264_lookahead_delete,0,0,0,0,0,2,0,0,0,0,1.66667
function@x264_lookahead_put_frame,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_is_empty,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_get_frames,0,0,0,0,0,8,0,0,0,0,29.6907
function@x264_me_search_ref,714,104,0,277,2,336,1249.27,230.731,146.381,0.6875,650.493
function@refine_subpel,202,42,0,65,2,149,151.016,35.8861,51.5894,1.54547,132.846
function@x264_me_refine_qpel,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_qpel_refdupe,0,0,0,0,0,1,0,0,0,0,1
function@x264_me_refine_bidir_satd,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_bidir,68,26,0,45,8,94,501.221,343.042,163.544,7.01488,644.895
function@x264_me_refine_bidir_rd,0,0,0,0,0,2,0,0,0,0,2
function@x264_me_refine_qpel_rd,265,34,0,93,2,129,57.508,8.85033,35.2528,0.315358,36.7964
function@x264_sps_init,0,0,0,0,0,3,0,0,0,0,3
function@x264_sps_write,0,0,0,0,0,189,0,0,0,0,94.907
function@x264_pps_init,0,0,0,0,0,0,0,0,0,0,0
function@x264_pps_write,0,0,0,0,0,63,0,0,0,0,44.5
function@scaling_list_write,0,0,0,0,0,15,0,0,0,0,17.6145
function@x264_sei_recovery_point_write,0,0,0,0,0,14,0,0,0,0,12.125
