"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,77,45,0,70,9,633,28690.8,11294.4,1256.87,339.75,55805.9
function@_QMplane_source_modPplane_source_init,2,0,0,2,0,132,2,0,2,0,4111.66
function@_QMplane_source_modPplane_source_read,18,11,0,21,0,197,284.039,473.859,143.971,0,2479.98
function@_QMplane_source_modPplane_source_apply,6,13,0,14,0,17,11.625,54.75,9.5,0,62.75
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,3,0,0,0,0,3
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,5,0,0,3,0,392,0.369141,0,0.369141,0,79.6115
function@_QMmur_modPmur_init,42,13,0,53,0,276,111.934,54.4495,13.6104,0,349.177
function@_QMmur_modPmur_updatee,605,136,0,293,16,139,322.298,111.099,62.7748,8.28477,124.914
function@_QMmur_modPmur_storee,62,56,0,54,2,100,48.1296,120.074,29.8889,1.31481,214.296
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,39,7,0,41,0,44,2729.75,872.65,377.8,0,3978.6
function@_QMupdate_modPupdate_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMupdate_modPupdateh,101,0,0,36,0,1,101,0,36,0,1
function@_QMupdate_modPupdateh..omp_par.4,168,90,0,144,87,26,29764.1,13812.5,2161.38,3219.95,10315.9
function@_QMupdate_modPupdateh..omp_par.3,52,21,0,67,8,16,3245.92,3539.58,168.833,46.5,4099
function@_QMupdate_modPupdateh..omp_par.2,21,9,0,30,7,12,540,436.583,78.0833,25.25,1732.83
function@_QMupdate_modPupdateh..omp_par.1,21,17,0,32,5,8,457.667,2174.58,48.5833,23.9167,687.833
