"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,8,0,0,0,0,8
function@set_data_tile_,0,0,0,0,0,34,0,0,0,0,34
function@get_3dfld_,177,24,0,49,11,157,50.1761,3.7472,14.2942,4.89001,163.403
function@set_ngfldr_,0,0,0,0,0,0,0,0,0,0,0
function@close_io_,0,0,0,0,0,39,0,0,0,0,14.3929
function@_QMdiag_modPdiag,59,0,0,13,0,6,59,0,13,0,6
function@_QMdiag_modPdiag_tile,320,176,0,152,54,80,34896,28747.8,6596.3,1710.15,17621.2
function@_QMmod_mixingPallocate_mixing,97,11,0,35,5,15,96.5,11,35,5,14
function@_QMmod_mixingPinitialize_mixing,129,42,0,18,4,54,466784,23682.6,135.68,11.32,633683
function@_QMset_zeta_modPset_zeta,2,0,0,1,0,8,2,0,1,0,8
function@_QMset_zeta_modPset_zeta_tile,54,14,0,25,12,14,120.926,59.1765,28.2647,3.95588,650.971
function@def_impulse_,0,0,0,0,0,0,0,0,0,0,0
function@get_3dfldr_,0,0,0,0,0,0,0,0,0,0,0
function@_QMdef_var_modPdef_var,101,0,0,7,0,534,7.40424,0,4.7806,0,195.869
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,64,40,0,53,15,21,5674.56,11266.7,374.945,608.284,22359.5
function@_QMnrutilParray_copy_r,0,0,0,0,0,5,0,0,0,0,2.68
function@_QMnrutilParray_copy_d,0,0,0,0,0,5,0,0,0,0,2.68
function@_QMnrutilParray_copy_i,0,0,0,0,0,5,0,0,0,0,2.68
function@_QMnrutilParth_r,7,7,0,8,3,13,23.3039,95.3039,20.7843,9.38235,48.2353
function@_QMnrutilParth_d,7,7,0,8,3,13,23.3039,95.3039,20.7843,9.38235,48.2353
function@_QMnrutilParth_i,8,6,0,6,3,12,23.5196,20.0196,16.4804,9.38235,47.2353
function@_QMnrutilPnrerror,0,0,0,0,0,8,0,0,0,0,8
function@_QMnrutilPreallocate_rv,13,2,0,3,0,15,8.40625,1.39062,3,0,6.00781
function@_QMnrutilPreallocate_iv,13,2,0,3,0,15,8.40625,1.39062,3,0,6.00781
function@_QMnrutilPreallocate_hv,23,6,0,5,4,31,17.2812,10.1715,3.875,9.31091,7.02707
function@_QMnrutilPreallocate_rm,22,21,0,13,2,27,20.1641,58.373,9.25,0.488281,66.875
