"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,0,0,0,0,0,8,0,0,0,0,5
function@run_sequence,3,0,0,1,0,15,2.08824,0,1,0,19.7941
function@spec_srand,0,0,0,0,0,1,0,0,0,0,31.875
function@spec_init_genrand,0,0,0,0,0,1,0,0,0,0,31.875
function@spec_rand,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_int32,0,0,0,0,0,11,0,0,0,0,79.129
function@spec_lrand48,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_by_array,0,0,0,0,0,3,0,0,0,0,95.625
function@spec_genrand_int31,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real1,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real2,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real3,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_res53,0,0,0,0,0,1,0,0,0,0,1
