"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_bugPKc,0,0,0,0,0,1,0,0,0,0,1
function@_Z8NAMD_diePKc,0,0,0,0,0,1,0,0,0,0,1
function@main,25,27,0,11,17,208,253.328,404.573,18.1871,165.037,687.558
function@_ZN9ResultSetD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,874,279,0,314,55,193,15318.3,4717.41,4511.95,45.3144,667.451
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,47,12,0,15,3,15,366.92,74.64,30.68,6.36,104.28
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,50,76,0,28,0,5,17.1029,25.0147,15.7647,0,5
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,1090,348,0,394,56,214,26584.8,8229.79,8094.23,47.4941,1480.82
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,979,236,0,330,81,183,19200.2,5717,5249.26,38.0427,671.529
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,841,239,0,297,88,203,10701,2268.39,3787.24,50.7142,817.915
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,855,315,0,300,61,199,13273.4,4302.41,3183.55,71.9562,648.748
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,1048,326,0,349,66,214,23408.7,7817.35,5345.64,83.0773,1370.82
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,944,225,0,319,95,186,16331.3,5320.03,3875.11,80.5636,633.756
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,824,271,0,259,71,240,10309,2448.89,2238.26,88.8664,801.055
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,5,0,4,0,10,0.494118,2.23529,1.58824,0,3.58824
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,1,0,0,0,0,1
function@_ZN5Patch9moveatomsEv,3,5,0,5,1,1,43.5,106.25,86,1,1
function@_ZN5Patch10zeroforcesEv,0,0,0,0,0,1,0,0,0,0,0.64
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,3,0,0,0,0,3
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,6,4,0,3,1,40,2.1456,0.201416,1.14648,0.0366211,6.52359
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,15,0,0,0,0,15
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,16
function@_Z5equaldd,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,6,0,0,2,0,12,1.5,0,0.999998,0,6.49999
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchListD2Ev,0,0,0,0,0,6,0,0,0,0,1.62502
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,1,0,0,0,0,1
