"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,2,1,0,3,0,28,39.9959,19.998,3,0,158.501
function@_ZN6dealii7Threads11split_rangeINS_18TriaActiveIteratorINS_15DoFCellAccessorINS_10DoFHandlerILi3ELi3EEEEEEEEESt6vectorISt4pairIT_SA_ESaISB_EERKSA_SF_j,29,3,0,8,0,26,36.9996,5.68742,4.9375,0,679.596
function@_ZN6dealii13MatrixCreator20create_mass_matrix_1ILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEENS0_13IteratorRangeIS7_EERNS_7Threads16DummyThreadMutexE,138,126,0,70,22,80,1.11459e+07,3.70375e+07,1.11944e+06,2845.27,4.48262e+07
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_7MappingILi3ELi3EEERKNS_10DoFHandlerILi3ELi3EEERKNS_10QuadratureILi3EEERNS_12SparseMatrixIdEEPKNS_8FunctionILi3EEENS_13MatrixCreator13IteratorRangeISB_EERNS0_16DummyThreadMutexENS4_9null_typeESU_SU_EELi7EEclES9_SD_SH_SK_SO_SR_ST_,0,0,0,0,0,24,0,0,0,0,13.4219
function@_ZN6dealii7Threads6ThreadIvED2Ev,0,0,0,0,0,2,0,0,0,0,0.307692
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN6dealii7Threads11ThreadGroupIvED2Ev,0,0,0,0,0,5,0,0,0,0,50.25
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSK_,6,0,0,4,0,24,81.9918,0,4,0,116.505
function@_ZN6dealii13MatrixCreator20create_mass_matrix_2ILi3EdLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSK_NS0_13IteratorRangeIS7_EERNS_7Threads16DummyThreadMutexE,191,130,0,99,20,97,1.27204e+07,4.70188e+07,916558,27083.3,4.97025e+07
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_7MappingILi3ELi3EEERKNS_10DoFHandlerILi3ELi3EEERKNS_10QuadratureILi3EEERNS_12SparseMatrixIdEERKNS_8FunctionILi3EEERNS_6VectorIdEEPSN_NS_13MatrixCreator13IteratorRangeISB_EERNS0_16DummyThreadMutexENS4_9null_typeEEELi9EEclES9_SD_SH_SK_SO_SR_SS_SV_SX_,1,0,0,1,0,22,1,0,1,0,11.4219
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSG_,0,0,0,0,0,6,0,0,0,0,6
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EfLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,2,1,0,3,0,28,39.9959,19.998,3,0,158.501
function@_ZN6dealii13MatrixCreator20create_mass_matrix_1ILi3EfLi3EEEvRKNS_7MappingIXT_EXT1_EEERKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEENS0_13IteratorRangeIS7_EERNS_7Threads16DummyThreadMutexE,122,105,0,59,14,73,1.11439e+07,3.70416e+07,1.11874e+06,1511.17,4.48241e+07
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_7MappingILi3ELi3EEERKNS_10DoFHandlerILi3ELi3EEERKNS_10QuadratureILi3EEERNS_12SparseMatrixIfEEPKNS_8FunctionILi3EEENS_13MatrixCreator13IteratorRangeISB_EERNS0_16DummyThreadMutexENS4_9null_typeESU_SU_EELi7EEclES9_SD_SH_SK_SO_SR_ST_,0,0,0,0,0,24,0,0,0,0,13.4219
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EfLi3EEEvRKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,0,0,0,0,0,4,0,0,0,0,4
