"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN3pov18POV_Std_Split_TimeEdPjS0_Pd,0,0,0,0,0,3,0,0,0,0,3
function@_ZN3pov18closest_power_of_2Ej,0,0,0,0,0,4,0,0,0,0,12.2917
function@_ZN3pov25POVMSUtil_SetFormatStringEP9POVMSDatajPKcz,0,0,0,0,0,8,0,0,0,0,8
function@_ZN3pov19New_Checked_IStreamEPcj,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov19New_Checked_OStreamEPcjb,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov11Locate_FileEPcjS0_b,0,0,0,0,0,12,0,0,0,0,8.85714
function@_ZN3pov15Locate_FilenameEPcjb,0,11,0,5,5,65,0,7.22666,3.75,1.92089,32.4564
function@_ZN3povL23All_Plane_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE,3,2,0,1,0,7,0.875,0.625,0.5,0,5.375
function@_ZN3povL12Inside_PlaneEPdPNS_13Object_StructE,0,0,0,0,0,3,0,0,0,0,3
function@_ZN3povL12Plane_NormalEPdPNS_13Object_StructEPNS_10istk_entryE,0,0,0,0,0,3,0,0,0,0,2.33333
function@_ZN3povL10Copy_PlaneEPNS_13Object_StructE,0,0,0,0,0,3,0,0,0,0,3
function@_ZN3povL15Translate_PlaneEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,1.61765
function@_ZN3povL12Rotate_PlaneEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,3,0,0,0,0,1.97059
function@_ZN3povL11Scale_PlaneEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,1.61765
function@_ZN3povL15Transform_PlaneEPNS_13Object_StructEPNS_16Transform_StructE,0,0,0,0,0,4,0,0,0,0,3.38095
function@_ZN3povL12Invert_PlaneEPNS_13Object_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3povL13Destroy_PlaneEPNS_13Object_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3pov12Create_PlaneEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov18Compute_Plane_BBoxEPNS_12Plane_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov20initialise_histogramEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov17destroy_histogramEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov20accumulate_histogramEiii,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov15write_histogramEPc,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3povL22All_Poly_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE,116,79,0,65,26,37,2.02481e+06,3.97211e+06,767304,553548,2.18481e+08
function@_ZN3povL11Inside_PolyEPdPNS_13Object_StructE,0,0,0,0,0,7,0,0,0,0,663.25
function@_ZN3povL11Poly_NormalEPdPNS_13Object_StructEPNS_10istk_entryE,2,1,0,1,1,23,16,16,0.5,16,5380.48
function@_ZN3povL9Copy_PolyEPNS_13Object_StructE,0,0,0,0,0,9,0,0,0,0,5.85714
function@_ZN3povL14Translate_PolyEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL11Rotate_PolyEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL10Scale_PolyEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL14Transform_PolyEPNS_13Object_StructEPNS_16Transform_StructE,0,0,0,0,0,1,0,0,0,0,1
function@_ZN3povL11Invert_PolyEPNS_13Object_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3povL12Destroy_PolyEPNS_13Object_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3pov11Create_PolyEi,0,0,0,0,0,5,0,0,0,0,4.5
function@_ZN3pov17Compute_Poly_BBoxEPNS_11Poly_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov12Create_PrismEv,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3pov18Compute_Prism_BBoxEPNS_12Prism_StructE,0,0,0,0,0,1,0,0,0,0,1
function@_ZN3pov13Compute_PrismEPNS_12Prism_StructEPA2_d,76,57,0,47,1,27,294.1,500.525,159.35,16,544.512
function@_ZN3povL23All_Prism_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE,64,61,0,27,0,21,2.89981,8.67728,7.68285,0,5.76271
function@_ZN3povL12Inside_PrismEPdPNS_13Object_StructE,0,0,0,0,0,4,0,0,0,0,3.25
function@_ZN3povL12Prism_NormalEPdPNS_13Object_StructEPNS_10istk_entryE,4,8,0,6,0,4,0.5,1,3,0,4
function@_ZN3povL10Copy_PrismEPNS_13Object_StructE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN3povL15Translate_PrismEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL12Rotate_PrismEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL11Scale_PrismEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL15Transform_PrismEPNS_13Object_StructEPNS_16Transform_StructE,0,0,0,0,0,1,0,0,0,0,1
function@_ZN3povL12Invert_PrismEPNS_13Object_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3povL13Destroy_PrismEPNS_13Object_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3povL8in_curveEPNS_12Prism_StructEdd,3,17,0,7,0,11,2.5,20.4297,3.28906,0,12.7031
function@_ZN3povL22All_Blob_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE,48,35,0,22,10,7,130.406,126.225,41.447,24.2474,125.318
function@_ZN3povL11Inside_BlobEPdPNS_13Object_StructE,3,0,0,5,0,5,16,0,16,0,117
function@_ZN3povL11Blob_NormalEPdPNS_13Object_StructEPNS_10istk_entryE,0,0,0,0,0,10,0,0,0,0,127.375
function@_ZN3povL9Copy_BlobEPNS_13Object_StructE,0,0,0,0,0,3,0,0,0,0,3
function@_ZN3povL14Translate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,5,0,0,0,0,24.2857
function@_ZN3povL11Rotate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,5,0,0,0,0,24.2857
function@_ZN3povL10Scale_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE,0,0,0,0,0,5,0,0,0,0,24.2857
function@_ZN3povL14Transform_BlobEPNS_13Object_StructEPNS_16Transform_StructE,0,0,0,0,0,5,0,0,0,0,24.2857
function@_ZN3povL11Invert_BlobEPNS_13Object_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3povL12Destroy_BlobEPNS_13Object_StructE,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3pov11Create_BlobEv,0,0,0,0,0,2,0,0,0,0,2
function@_ZN3pov24Create_Blob_List_ElementEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov9Make_BlobEPNS_11Blob_StructEdPNS_16Blob_List_StructEi,20,8,0,13,1,14,93.125,44.625,75,0.625,70.7656
function@_ZN3pov17Test_Blob_OpacityEPNS_11Blob_StructE,0,0,0,0,0,1,0,0,0,0,1
function@_ZN3pov23Determine_Blob_TexturesEPNS_11Blob_StructEPdPiPPNS_14Texture_StructES2_,2,0,0,1,0,11,52.3065,0,7.5,0,119.875
function@_ZN3pov22Translate_Blob_ElementEPNS_19Blob_Element_StructEPd,0,0,0,0,0,3,0,0,0,0,3
function@_ZN3pov22Transform_Blob_ElementEPNS_19Blob_Element_StructEPNS_16Transform_StructE,0,0,0,0,0,5,0,0,0,0,4.38095
function@_ZN3pov19Rotate_Blob_ElementEPNS_19Blob_Element_StructEPd,0,0,0,0,0,2,0,0,0,0,1.375
function@_ZN3pov18Scale_Blob_ElementEPNS_19Blob_Element_StructEPd,0,0,0,0,0,3,0,0,0,0,3
function@_ZN3pov19Invert_Blob_ElementEPNS_19Blob_Element_StructE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN3pov32Create_Blob_Element_Texture_ListEPNS_11Blob_StructEPNS_16Blob_List_StructEi,1,1,0,0,2,10,10.1111,5.05556,0,15.7963,6.7037
function@_ZN3povL17intersect_elementEPdS0_PNS_19Blob_Element_StructEdS0_S0_,14,17,0,11,0,18,1.42187,1.875,1.70833,0,7.02083
function@_ZN3povL10insert_hitEPNS_19Blob_Element_StructEddPNS_20Blob_Interval_StructEPj,7,0,0,2,0,5,52.1936,0,2,0,4.48387
function@_ZN3povL23calculate_element_fieldEPNS_19Blob_Element_StructEPd,1,0,0,8,0,1,0.916666,0,1.6875,0,1
function@_ZN3povL14element_normalEPdS0_PNS_19Blob_Element_StructE,4,4,0,4,0,6,0.1875,0.1875,0.1875,0,2.1875
