"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,44,16,0,50,13,147,0.0988306,0.0510639,3.83832,1.95653,70.5615
function@Help,0,0,0,0,0,12,0,0,0,0,8.5
function@x264_adaptive_quant_frame,44,1,0,19,0,46,1098.42,14.6527,292.103,0,847.061
function@x264_macroblock_tree_read,0,0,0,0,0,11,0,0,0,0,7.06774
function@x264_reference_build_list_optimal,0,0,0,0,0,7,0,0,0,0,100.5
function@x264_ratecontrol_init_reconfigurable,1,1,0,3,0,7,0.381579,0.381579,0.759868,0,2.54934
function@x264_ratecontrol_new,135,6,0,20,0,190,11.3991,12.0964,1.37636,0,12.331
function@x264_strcat_filename,0,0,0,0,0,11,0,0,0,0,9.66667
function@init_pass2,141,47,0,108,3,43,6963.71,3750.67,6754.89,7.39268,3028.54
function@x264_ratecontrol_summary,0,1,0,2,0,2,0,0.154412,0.147059,0,1.15441
function@x264_ratecontrol_delete,0,0,0,0,0,4,0,0,0,0,2.4
function@x264_ratecontrol_start,1,1,0,2,0,9,0.00988766,0.0527343,1.00989,0,4.43743
function@rate_estimate_qscale,37,25,0,47,0,19,94.0364,40.2953,46.1576,0,5.96532
function@x264_ratecontrol_mb,17,8,0,19,0,17,3.82212,3.97837,1.51763,0,6.34535
function@predict_row_size_sum,9,2,0,7,0,8,45.7619,4.26191,22.4286,0,4.85714
function@x264_ratecontrol_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_mb_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_slice_type,0,0,0,0,0,5,0,0,0,0,2.80882
function@x264_ratecontrol_set_weights,0,0,0,0,0,1,0,0,0,0,0.4
function@x264_ratecontrol_end,7,8,0,9,0,10,1.29482,2.97643,4.68869,0,3.64721
function@x264_hrd_fullness,2,0,0,2,0,2,1.5,0,1.5,0,1.75
function@x264_threads_normalize_predictors,0,0,0,0,0,3,0,0,0,0,1.325
function@x264_threads_distribute_ratecontrol,0,0,0,0,0,16,0,0,0,0,50.653
function@x264_threads_merge_ratecontrol,4,2,0,4,0,9,19.5882,7.83824,16.4559,0,31.4485
function@x264_thread_sync_ratecontrol,0,0,0,0,0,0,0,0,0,0,0
function@clip_qscale,23,2,0,12,0,11,4.08105,0.46875,4.45703,0,31.0166
function@x264_mb_encode_i4x4,0,0,0,0,0,15,0,0,0,0,7.125
