"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@png_set_bgr,0,0,0,0,0,0,0,0,0,0,0
function@png_set_swap,0,0,0,0,0,0,0,0,0,0,0
function@png_set_packing,0,0,0,0,0,0,0,0,0,0,0
function@png_set_packswap,0,0,0,0,0,0,0,0,0,0,0
function@png_set_shift,0,0,0,0,0,0,0,0,0,0,0
function@png_set_interlace_handling,0,0,0,0,0,0,0,0,0,0,0
function@png_set_filler,0,0,0,0,0,0,0,0,0,0,0
function@png_set_add_alpha,0,0,0,0,0,0,0,0,0,0,0
function@png_set_swap_alpha,0,0,0,0,0,0,0,0,0,0,0
function@png_set_invert_alpha,0,0,0,0,0,0,0,0,0,0,0
function@png_set_invert_mono,0,0,0,0,0,0,0,0,0,0,0
function@png_do_invert,0,0,0,0,0,7,0,0,0,0,0.401709
function@png_do_swap,0,0,0,0,0,2,0,0,0,0,0.313726
function@png_do_packswap,0,0,0,0,0,0,0,0,0,0,0
function@png_do_strip_channel,0,0,0,0,0,2,0,0,0,0,0.223776
function@png_do_bgr,0,0,0,0,0,4,0,0,0,0,0.0695652
function@png_do_check_palette_indexes,0,0,0,0,0,61,0,0,0,0,9.20696
function@png_set_user_transform_info,0,0,0,0,0,0,0,0,0,0,0
function@png_get_user_transform_ptr,0,0,0,0,0,0,0,0,0,0,0
function@png_get_current_row_number,0,0,0,0,0,0,0,0,0,0,0
function@png_get_current_pass_number,0,0,0,0,0,0,0,0,0,0,0
function@png_save_uint_32,0,0,0,0,0,0,0,0,0,0,0
function@png_save_int_32,0,0,0,0,0,0,0,0,0,0,0
function@png_save_uint_16,0,0,0,0,0,0,0,0,0,0,0
function@png_write_sig,0,0,0,0,0,2,0,0,0,0,2
function@png_write_chunk_start,0,0,0,0,0,7,0,0,0,0,4.75
function@png_write_chunk_data,0,0,0,0,0,9,0,0,0,0,6
function@png_write_chunk_end,0,0,0,0,0,0,0,0,0,0,0
function@png_write_chunk,0,0,0,0,0,0,0,0,0,0,0
function@png_write_complete_chunk,0,0,0,0,0,22,0,0,0,0,12.375
function@png_write_IHDR,2,0,0,1,0,21,2,0,1,0,12.2187
function@png_write_PLTE,0,0,0,0,0,17,0,0,0,0,25.5
function@png_write_IDAT,0,0,0,0,0,12,0,0,0,0,5.79101
function@png_write_IEND,0,0,0,0,0,6,0,0,0,0,4.125
function@png_write_gAMA_fixed,0,0,0,0,0,0,0,0,0,0,0
function@png_write_sRGB,0,0,0,0,0,4,0,0,0,0,3.5
function@png_write_iCCP,0,0,0,0,0,32,0,0,0,0,10.2352
function@png_check_keyword,0,0,0,0,0,23,0,0,0,0,16.938
function@png_text_compress,0,0,0,0,0,29,0,0,0,0,91.7784
function@png_write_compressed_data_out,0,0,0,0,0,29,0,0,0,0,29.751
function@png_write_sPLT,3,0,0,2,0,32,8.44727,0,0.634766,0,63.0198
function@png_write_sBIT,0,0,0,0,0,0,0,0,0,0,0
function@png_write_cHRM_fixed,0,0,0,0,0,29,0,0,0,0,21.125
function@png_write_tRNS,0,0,0,0,0,5,0,0,0,0,1.82812
function@png_write_bKGD,0,0,0,0,0,3,0,0,0,0,0.75
function@png_write_hIST,0,0,0,0,0,16,0,0,0,0,47.5
function@png_write_tEXt,0,0,0,0,0,27,0,0,0,0,11.1094
function@png_write_zTXt,0,0,0,0,0,41,0,0,0,0,10.5819
function@png_write_iTXt,6,0,0,4,0,54,1.99219,0,2.17188,0,25.2461
function@png_write_oFFs,0,0,0,0,0,11,0,0,0,0,9.5
function@png_write_pCAL,8,0,0,7,0,52,6.01562,0,7,0,52.3303
function@png_write_sCAL_s,2,0,0,1,0,11,1,0,1,0,9
function@png_write_pHYs,0,0,0,0,0,11,0,0,0,0,9.5
function@png_write_tIME,0,0,0,0,0,0,0,0,0,0,0
function@png_write_start_row,0,0,0,0,0,11,0,0,0,0,6.66667
function@png_zlib_claim,0,0,0,0,0,15,0,0,0,0,2.81251
function@png_write_finish_row,0,0,0,0,0,25,0,0,0,0,16.8759
function@png_zlib_release,0,0,0,0,0,10,0,0,0,0,4.1875
function@png_do_write_interlace,3,0,0,3,0,23,0.1875,0,0.1875,0,26.0234
function@png_write_find_filter,168,26,0,46,1,310,43.3692,18.2483,21.9206,0.0761715,168.355
function@png_set_sig_bytes,0,0,0,0,0,0,0,0,0,0,0
function@png_sig_cmp,0,0,0,0,0,1,0,0,0,0,0.473684
function@png_zalloc,0,0,0,0,0,6,0,0,0,0,4.5
function@png_zfree,0,0,0,0,0,0,0,0,0,0,0
function@png_reset_crc,0,0,0,0,0,1,0,0,0,0,1
function@png_calculate_crc,0,0,0,0,0,7,0,0,0,0,51.8125
function@png_user_version_check,0,0,0,0,0,13,0,0,0,0,9.09375
function@png_create_info_struct,0,0,0,0,0,0,0,0,0,0,0
function@png_info_init_3,0,0,0,0,0,2,0,0,0,0,1.32
function@png_destroy_info_struct,0,0,0,0,0,6,0,0,0,0,3.075
function@png_info_destroy,0,0,0,0,0,5,0,0,0,0,4.61905
function@png_data_freer,0,0,0,0,0,0,0,0,0,0,0
function@png_free_data,0,0,0,0,0,41,0,0,0,0,35.3678
function@png_get_io_ptr,0,0,0,0,0,0,0,0,0,0,0
function@png_init_io,0,0,0,0,0,0,0,0,0,0,0
function@png_convert_to_rfc1123,0,0,0,0,0,33,0,0,0,0,3.88867
function@png_handle_as_unknown,0,0,0,0,0,0,0,0,0,0,0
function@png_chunk_unknown_handling,0,0,0,0,0,0,0,0,0,0,0
function@png_reset_zstream,0,0,0,0,0,0,0,0,0,0,0
function@png_check_cHRM_fixed,9,1,0,3,0,19,3.58824,0.627451,2.62745,0,12.6275
function@png_64bit_product,0,0,0,0,0,4,0,0,0,0,4
function@png_xy_from_XYZ,0,0,0,0,0,0,0,0,0,0,0
function@png_muldiv,0,0,0,0,0,0,0,0,0,0,0
function@png_XYZ_from_xy,2,5,0,5,0,7,0.00123594,0.00161397,0.0101394,0,0.018135
function@png_reciprocal,0,0,0,0,0,0,0,0,0,0,0
function@png_XYZ_from_xy_checked,0,0,0,0,0,5,0,0,0,0,3.5
function@png_check_IHDR,0,1,0,1,0,22,0,1,1,0,11.8542
function@png_check_fp_number,0,0,0,0,0,5,0,0,0,0,20.3154
function@png_check_fp_string,0,0,0,0,0,5,0,0,0,0,5
function@png_ascii_from_fp,10,0,0,3,0,60,14.5,0,1.5,0,726.441
function@png_ascii_from_fixed,0,0,0,0,0,17,0,0,0,0,100.017
function@png_fixed,0,0,0,0,0,0,0,0,0,0,0
function@png_muldiv_warn,0,0,0,0,0,0,0,0,0,0,0
function@png_reciprocal2,0,0,0,0,0,0,0,0,0,0,0
function@png_gamma_8bit_correct,0,0,0,0,0,1,0,0,0,0,1
function@png_gamma_16bit_correct,0,0,0,0,0,1,0,0,0,0,1
function@png_gamma_correct,0,0,0,0,0,1,0,0,0,0,1
function@png_gamma_significant,0,0,0,0,0,0,0,0,0,0,0
function@png_destroy_gamma_table,0,0,0,0,0,10,0,0,0,0,36.52
function@png_build_gamma_table,7,0,0,8,0,56,29.9118,0,2.16912,0,1199.82
function@png_build_16bit_table,7,5,0,6,0,15,1079.76,1072.69,4.19048,0,3222.17
function@png_get_uint_31,0,0,0,0,0,0,0,0,0,0,0
function@png_get_uint_32,0,0,0,0,0,0,0,0,0,0,0
function@png_get_int_32,0,0,0,0,0,0,0,0,0,0,0
function@png_get_uint_16,0,0,0,0,0,0,0,0,0,0,0
function@png_read_sig,0,0,0,0,0,11,0,0,0,0,4.5
function@png_read_chunk_header,0,0,0,0,0,9,0,0,0,0,6.99999
function@png_check_chunk_name,0,0,0,0,0,2,0,0,0,0,2
function@png_crc_read,0,0,0,0,0,9,0,0,0,0,6.71429
function@png_crc_finish,0,0,0,0,0,17,0,0,0,0,103
function@png_crc_error,0,0,0,0,0,2,0,0,0,0,2
function@png_decompress_chunk,15,2,0,7,0,40,1.12596,0.328125,1.04086,0,28.0995
function@png_handle_IHDR,0,0,0,0,0,14,0,0,0,0,9.99998
function@png_handle_PLTE,0,0,0,0,0,26,0,0,0,0,14.3437
function@png_handle_IEND,0,0,0,0,0,7,0,0,0,0,5.625
function@png_handle_gAMA,0,0,0,0,0,26,0,0,0,0,6.73876
function@png_handle_sBIT,0,0,0,0,0,25,0,0,0,0,7.13085
function@png_handle_cHRM,7,9,0,4,0,47,0.0483398,0.121935,0.201668,0,6.84973
function@png_handle_sRGB,0,0,0,0,0,27,0,0,0,0,6.74779
function@png_handle_iCCP,0,0,0,0,0,50,0,0,0,0,9.67891
function@png_handle_sPLT,0,0,0,0,0,39,0,0,0,0,10.9571
function@png_handle_tRNS,0,0,0,0,0,42,0,0,0,0,6.39074
function@png_handle_bKGD,0,0,0,0,0,27,0,0,0,0,6.57693
function@png_handle_hIST,0,0,0,0,0,23,0,0,0,0,8.69628
function@png_handle_pHYs,0,0,0,0,0,20,0,0,0,0,6.47265
function@png_handle_oFFs,0,0,0,0,0,20,0,0,0,0,6.47265
function@png_handle_pCAL,3,1,0,3,0,46,0.00690246,0.00123787,0.0151058,0,10.6932
function@png_handle_sCAL,0,0,0,0,0,39,0,0,0,0,6.96319
function@png_handle_tIME,0,0,0,0,0,17,0,0,0,0,6.94531
function@png_handle_tEXt,0,0,0,0,0,35,0,0,0,0,9.38627
function@png_handle_zTXt,0,0,0,0,0,40,0,0,0,0,12.734
function@png_handle_iTXt,1,0,0,1,0,46,0.00128746,0,0.00205993,0,12.6398
function@png_handle_unknown,0,0,0,0,0,28,0,0,0,0,10.2812
function@png_combine_row,20,6,0,14,0,47,0.320926,0.703152,1.02312,0,5.58551
function@png_do_read_interlace,18,10,0,19,0,62,69.6719,60.5,15.3594,0,1277.22
function@png_read_filter_row,0,0,0,0,0,3,0,0,0,0,1.42857
function@png_read_finish_row,0,0,0,0,0,33,0,0,0,0,81.1373
function@png_read_start_row,0,0,0,0,0,18,0,0,0,0,7.25
function@png_read_filter_row_sub,0,0,0,0,0,13,0,0,0,0,3.24633
function@png_read_filter_row_up,0,0,0,0,0,11,0,0,0,0,2.30769
function@png_read_filter_row_avg,0,0,0,0,0,20,0,0,0,0,4.4375
function@png_read_filter_row_paeth_1byte_pixel,0,0,0,0,0,10,0,0,0,0,135.375
function@png_read_filter_row_paeth_multibyte_pixel,3,15,0,18,0,35,5.99414,30.9707,36.9648,0,76.1973
function@png_set_crc_action,0,0,0,0,0,3,0,0,0,0,2.125
function@png_set_background_fixed,0,0,0,0,0,0,0,0,0,0,0
function@png_set_background,0,0,0,0,0,6,0,0,0,0,5.22222
function@png_set_scale_16,0,0,0,0,0,0,0,0,0,0,0
function@png_set_strip_16,0,0,0,0,0,0,0,0,0,0,0
function@png_set_strip_alpha,0,0,0,0,0,0,0,0,0,0,0
function@png_set_alpha_mode_fixed,0,0,0,0,0,9,0,0,0,0,3.29688
function@png_set_alpha_mode,0,0,0,0,0,0,0,0,0,0,0
function@png_set_quantize,58,12,0,21,2,63,128897,8229.94,555.993,3.86719,550432
function@png_set_gamma_fixed,0,0,0,0,0,0,0,0,0,0,0
function@png_set_gamma,0,0,0,0,0,0,0,0,0,0,0
function@png_set_expand,0,0,0,0,0,0,0,0,0,0,0
function@png_set_palette_to_rgb,0,0,0,0,0,0,0,0,0,0,0
function@png_set_expand_gray_1_2_4_to_8,0,0,0,0,0,0,0,0,0,0,0
function@png_set_tRNS_to_alpha,0,0,0,0,0,0,0,0,0,0,0
function@png_set_expand_16,0,0,0,0,0,0,0,0,0,0,0
function@png_set_gray_to_rgb,0,0,0,0,0,0,0,0,0,0,0
function@png_set_rgb_to_gray_fixed,0,0,0,0,0,4,0,0,0,0,1.82031
function@png_set_rgb_to_gray,1,0,0,1,0,8,0.625,0,0.625,0,4.69531
function@png_set_read_user_transform_fn,0,0,0,0,0,0,0,0,0,0,0
function@png_init_read_transformations,4,0,0,8,0,84,1.69239,0,0.627515,0,26.6008
function@png_read_transform_info,0,0,0,0,0,3,0,0,0,0,1
function@png_do_read_transformations,0,0,0,0,0,50,0,0,0,0,24.3662
function@png_do_expand_palette,0,0,0,0,0,33,0,0,0,0,7.8022
function@png_do_expand,0,0,0,0,0,48,0,0,0,0,7.8544
function@png_do_rgb_to_gray,2,10,0,4,0,22,1.47706,13.055,1.55963,0,19.6651
function@png_do_gray_to_rgb,0,0,0,0,0,4,0,0,0,0,0.0635179
function@png_do_compose,6,4,0,2,0,63,1.33252,0.841309,1.7998,0,24.0576
function@png_do_gamma,0,0,0,0,0,38,0,0,0,0,33.0161
function@png_do_encode_alpha,0,0,0,0,0,5,0,0,0,0,0.948012
function@png_do_scale_16_to_8,0,0,0,0,0,1,0,0,0,0,10.2
function@png_do_chop,0,0,0,0,0,1,0,0,0,0,0.32
function@png_do_quantize,0,0,0,0,0,2,0,0,0,0,0.184314
