"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z8clear_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z11clear_dp_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z18initialize_zobristP7state_t,0,0,0,0,0,15,0,0,0,0,447.25
function@_Z15initialize_hashP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z7StoreTTP7state_tiiijiiii,11,0,0,7,1,13,4.0625,0,3.1875,0.9375,8.125
function@_Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i,0,0,0,0,0,7,0,0,0,0,6.94118
function@_Z10alloc_hashv,0,0,0,0,0,4,0,0,0,0,4
function@_Z9free_hashv,0,0,0,0,0,0,0,0,0,0,0
function@_Z4makeP7state_ti,24,10,0,24,4,17,7.14821,3.44951,7.44951,2.49837,10.2671
function@_Z6unmakeP7state_ti,0,0,0,0,0,8,0,0,0,0,5.52941
function@_Z14setup_epd_lineP11gamestate_tP7state_tPKc,44,6,0,10,13,9,109.219,77.3359,11.0312,23.8906,63.4844
function@_Z14check_solutionP7state_tPci,0,0,0,0,0,9,0,0,0,0,7.23438
function@_Z17run_epd_testsuiteP11gamestate_tP7state_tPKc,0,0,0,0,0,22,0,0,0,0,186.5
function@_Z15position_to_fenP7state_tPc,0,0,0,0,0,4,0,0,0,0,3.24706
function@_Z13clear_pawn_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z5scaleiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z16static_pawn_evalP7state_t,159,21,0,31,10,28,239.87,62.2949,69.6348,44.4824,124.842
function@_Z7qsearchP7state_tiiii,86,38,0,57,15,55,4.66093,3.45199,7.21178,1.56752,14.2536
function@_ZL17search_time_checkP7state_t,0,0,0,0,0,9,0,0,0,0,1.23166
function@_ZL16fast_order_movesP7state_tPiS1_ij,8,0,0,1,0,10,10.5882,0,1,0,61.3088
function@_ZL15remove_one_fastPiS_S_i,0,0,0,0,0,9,0,0,0,0,9.74118
function@_Z6searchP7state_tiiiii,177,121,0,72,47,162,1.84306,1.63179,3.30975,0.0993216,4.86946
function@_ZL11order_movesP7state_tPiS1_ij,24,8,0,17,2,19,66.0833,39.2708,12.7292,1.5,66.8333
function@_ZL12history_goodP7state_tii,0,0,0,0,0,6,0,0,0,0,5
function@_Z14rootmovesearchP7state_tiiiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z11search_rootP7state_tiii,68,28,0,23,22,61,179.25,61.4798,41.7999,31.7823,157.863
function@_Z21reset_search_countersP7state_t,0,0,0,0,0,0,0,0,0,0,0
