"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,73,47,0,68,8,631,28889.8,11504.4,1467.23,128.583,35795.1
function@_QMplane_source_modPplane_source_init,2,0,0,2,0,132,2,0,2,0,4111.66
function@_QMplane_source_modPplane_source_read,17,12,0,21,0,192,312.516,476.789,172.242,0,1919.25
function@_QMplane_source_modPplane_source_apply,6,13,0,14,0,14,11.625,54.75,9.5,0,44.8125
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,3,0,0,0,0,3
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,6,0,0,3,0,392,0.796875,0,0.65625,0,79.2401
function@_QMmur_modPmur_init,45,11,0,53,0,282,112.583,53.9062,13.6104,0,356.122
function@_QMmur_modPmur_updatee,630,129,0,294,10,188,316.238,93.6689,63.1457,2.22517,132.536
function@_QMmur_modPmur_storee,63,58,0,54,2,110,124.426,116.407,29.5741,1.31481,243.537
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,40,7,0,42,0,54,2737.7,872.65,385.75,0,4315.7
function@_QMupdate_modPupdate_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMupdate_modPupdateh,392,179,0,232,154,87,24042.8,9894.58,2304.59,2735.74,6632.33
function@_QMupdate_modPupdatee,621,136,0,221,133,203,121835,58611.6,15715.9,6670.72,123183
function@_QMupdate_modPupdate_inith,110,86,0,95,10,71,1758.38,1850.84,168.343,142.5,4303.17
function@_QMupdate_modPupdate_inite,233,134,0,156,7,161,2027.51,4192.46,276.038,7.49141,4370.18
function@_QMupml_modPupml_allocate,17,9,0,15,0,468,12.5882,9,15,0,398.882
function@_QMupml_modPcheck_allocate,0,0,0,0,0,22,0,0,0,0,2
function@_QMupml_modPupml_set_eps_arrays,55,13,0,58,0,155,5048.29,1627.83,563.357,0,2540.12
function@_QMupml_modPupml_init,2714,354,0,775,662,1715,2565.98,1342.96,720.64,99.3261,4033.43
function@_QMupml_modPupml_initb,113,103,0,162,0,136,7527.27,10302.6,3146.3,0,49467.8
function@_QMupml_modPupml_inith,202,217,0,176,1,120,6907.15,13071.9,1324.72,20.475,6471.03
function@_QMupml_modPupml_updateh,745,437,0,685,159,340,1.32281e+06,318913,40242.3,1323.13,226370
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,4767,853,0,1411,840,1671,1.54306e+06,321169,77486.6,8192.85,633167
function@_QMupml_modPupml_updatee_simple,5299,921,0,1548,829,1178,1.68261e+06,330243,70444,8400.2,541615
function@_QMupml_modPupml_initd,148,119,0,184,3,218,8946.37,12376.9,3462.3,41.0741,57710.9
function@_QMupml_modPupml_inite,304,264,0,189,4,159,10006.5,15258.1,882.802,80.8889,7289.95
function@_QMupml_modPupml_end,0,0,0,0,0,450,0,0,0,0,241.667
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,9,0,0,0,0,6.33333
function@_QMreadline_modPreadline,19,4,0,11,1,83,56.0489,3.19022,10.625,0.375,279.043
function@_QMreadline_modPcheckifkeyword,0,0,0,0,0,5,0,0,0,0,32.4615
function@mpi_barrier_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_bcast_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_integers_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_reals_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_logical_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_cart_rank_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_cart_create_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_cart_coords_,0,0,0,0,0,11,0,0,0,0,11
function@mpi_cart_shift_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_comm_rank_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_comm_size_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,12,0,0,0,0,12
function@mpi_ssend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_bsend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_sendrecv_,1,0,0,1,0,21,1,0,1,0,21
function@mpi_wait_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_isend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_wtick_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_buffer_attach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_buffer_detach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_pack_size_,0,0,0,0,0,10,0,0,0,0,10
function@mpi_gather_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_type_struct_,2,0,0,2,0,14,2,0,2,0,14
function@mpi_type_commit_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_extent_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_type_free_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_vector_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_type_hvector_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_irecv_,0,0,0,0,0,12,0,0,0,0,12
function@mpi_waitall_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_sendrecv_replace_,1,0,0,1,0,21,1,0,1,0,21
function@mpi_bsend_init_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_recv_init_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_dims_create_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_start_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_allreduce_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_reduce_,0,0,0,0,0,0,0,0,0,0,0
function@_QMhuygens_modPhuygens_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMhuygens_modPhuygensh,456,109,0,227,3,329,319.696,131.75,117.357,3,537.821
function@_QMhuygens_modPhuygense,604,123,0,272,3,447,388.786,210.411,135.143,3,662.839
function@_QMhuygens_modPuin,156,60,0,92,5,254,534.914,392.647,211.572,6.94444,3137.92
function@_QMmaterial_modPmat_init,451,123,0,357,94,475,2.09337e+06,490504,166669,347694,1.86214e+06
function@_QMmaterial_modPmat_updatee,102,112,0,140,6,88,208085,132358,20970.7,6,115567
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,22,19,0,34,2,182,846.406,1426.88,306.766,0.609375,720.562
function@_QMpower_modPpower_stop,0,0,0,0,0,11,0,0,0,0,882.417
function@_QMpower_modPpower_dft,16,1,0,13,1,40,1275.52,202.259,51.7407,6.31482,18866.3
function@_QMpower_modPpower_print,15,0,0,10,0,80,32.6758,0,5.67188,0,306.107
function@_QMpower_modPpower_intere,9,7,0,8,0,35,3,2.33333,8,0,5
function@_QMpower_modPpower_interh,15,3,0,10,0,39,5,1,8.66667,0,6.33333
function@_QMpower_modPread_power,6,1,0,6,0,323,22.9309,0.625,8.08383,0,12656.9
function@_QMpower_modPpower_updateh,51,15,0,43,1,21,71.7,24.275,28.4,0.2,28.6
function@timer_,0,0,0,0,0,11,0,0,0,0,7.57143
function@leapfrog_,81,36,0,49,2,167,513.47,1052.42,72.0312,1.25,2718.05
function@_QMpec_modPpec_read,11,0,0,5,0,117,20.3555,0,3.73828,0,306.687
function@_QMpec_modPpec_init,236,62,0,161,5,368,33719.9,2460.86,17936.7,135.546,178583
function@_QMpec_modPpec_apply,12,0,0,12,0,2,12,0,12,0,1.33333
function@_QMpec_modPpec_end,0,0,0,0,0,9,0,0,0,0,3.6
function@_QQmain,10,16,0,26,0,193,6.25,21.875,16.25,0,324.414
