"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@message_init,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_increase,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_decrease,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_get,0,0,0,0,0,0,0,0,0,0,0
function@message_set_files,0,0,0,0,0,0,0,0,0,0,0
function@message_filename,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_start,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_update,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_end,0,0,0,0,0,0,0,0,0,0,0
function@message,0,0,0,0,0,0,0,0,0,0,0
function@message_warning,0,0,0,0,0,0,0,0,0,0,0
function@message_error,0,0,0,0,0,0,0,0,0,0,0
function@message_fatal,0,0,0,0,0,0,0,0,0,0,0
function@message_bug,0,0,0,0,0,0,0,0,0,0,0
function@message_signal_handler,0,0,0,0,0,0,0,0,0,0,0
function@message_strm,0,0,0,0,0,0,0,0,0,0,0
function@message_mem_needed,0,0,0,0,0,8,0,0,0,0,2.59375
function@message_filters_to_str,0,3,0,8,0,4,0,10,5,0,29
function@message_filters_show,0,0,0,0,0,2,0,0,0,0,0.117645
function@message_try_help,0,0,0,0,0,0,0,0,0,0,0
function@message_version,0,0,0,0,0,2,0,0,0,0,1
function@message_help,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_check,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_preset,0,0,0,0,0,1,0,0,0,0,21.25
function@coder_set_extreme,0,0,0,0,0,1,0,0,0,0,21.25
function@coder_add_filter,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_compression_settings,0,0,0,0,0,21,0,0,0,0,41.1667
function@coder_run,0,0,0,0,0,37,0,0,0,0,8.06716
function@is_format_lzma,0,0,0,0,0,7,0,0,0,0,1.55664
function@hardware_threadlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_threadlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_set,0,0,0,0,0,3,0,0,0,0,2
function@hardware_memlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_show,0,0,0,0,0,0,0,0,0,0,0
function@hardware_init,0,0,0,0,0,0,0,0,0,0,0
function@io_init,0,0,0,0,0,0,0,0,0,0,0
function@io_no_sparse,0,0,0,0,0,0,0,0,0,0,0
function@io_open_src,0,0,0,0,0,6,0,0,0,0,11.3412
function@io_open_dest,0,0,0,0,0,5,0,0,0,0,3.7619
function@io_close,0,0,0,0,0,10,0,0,0,0,5.75866
function@io_read,0,0,0,0,0,9,0,0,0,0,21.3846
function@io_pread,0,0,0,0,0,13,0,0,0,0,15.6923
function@io_write,0,0,0,0,0,14,0,0,0,0,17.7148
function@list_totals,0,0,0,0,0,21,0,0,0,0,5.0625
function@list_file,65,21,0,34,7,163,0.718558,0.193345,1.07549,0.130383,29.3793
function@get_check_names,0,0,0,0,0,2,0,0,0,0,1.5
function@print_adv_helper,0,0,0,0,0,17,0,0,0,0,17
function@parse_details,0,0,0,0,0,16,0,0,0,0,8.86706
function@xrealloc,0,0,0,0,0,7,0,0,0,0,5.14286
function@xstrdup,0,0,0,0,0,9,0,0,0,0,8.38095
function@str_to_uint64,1,1,0,5,0,15,0.173502,0.0851735,0.255521,0,8.6877
function@round_up_to_mib,0,0,0,0,0,1,0,0,0,0,1
function@uint64_to_str,0,0,0,0,0,3,0,0,0,0,3
function@uint64_to_nicestr,0,0,0,0,0,5,0,0,0,0,4
function@my_snprintf,0,0,0,0,0,2,0,0,0,0,2
function@is_empty_filename,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdin,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdout,0,0,0,0,0,0,0,0,0,0,0
function@signals_init,0,0,0,0,0,0,0,0,0,0,0
function@signals_block,0,0,0,0,0,0,0,0,0,0,0
function@signals_unblock,0,0,0,0,0,0,0,0,0,0,0
function@signals_exit,0,0,0,0,0,0,0,0,0,0,0
function@options_delta,9,1,0,3,0,11,10.95,1,2.4,0,527.65
function@options_bcj,8,1,0,3,0,11,9.95,1,2.4,0,532.35
function@options_lzma,17,2,0,4,0,20,28.05,7.25,8.65,0,579.2
function@set_lzma,0,0,0,0,0,8,0,0,0,0,2.38558
function@set_exit_status,0,0,0,0,0,0,0,0,0,0,0
function@set_exit_no_warn,0,0,0,0,0,0,0,0,0,0,0
function@sha_init,0,0,0,0,0,0,0,0,0,0,0
function@sha_process,0,0,0,0,0,18,0,0,0,0,69.6249
function@sha_compress,33,9,0,7,10,64,560,288,193,320,2048
function@sha_done,0,0,0,0,0,6,0,0,0,0,4.96774
function@spec_mem_init,1,3,0,1,0,17,0.5,20.9988,1,0,52.7314
function@spec_mem_sum,0,0,0,0,0,6,0,0,0,0,28.625
function@spec_mem_load,34,9,0,7,0,32,54.8745,12.1494,6.99999,0,103.957
function@fd_grow,0,0,0,0,0,10,0,0,0,0,4
function@spec_uncompress,0,0,0,0,0,0,0,0,0,0,0
function@compare_sum,0,0,0,0,0,4,0,0,0,0,3.01515
function@print_sum,0,0,0,0,0,4,0,0,0,0,18.9375
function@spec_mem_read,0,0,0,0,0,23,0,0,0,0,10.5882
function@spec_mem_fread,4,0,0,2,0,28,1.625,0,1.5,0,12
function@spec_mem_getc,0,0,0,0,0,15,0,0,0,0,6.25
function@spec_mem_ungetc,0,0,0,0,0,15,0,0,0,0,7.5
function@spec_mem_lseek,0,0,0,0,0,21,0,0,0,0,9.72059
function@spec_mem_rewind,0,0,0,0,0,9,0,0,0,0,7.5
function@spec_mem_reset,0,0,0,0,0,7,0,0,0,0,5
function@spec_mem_get_length,0,0,0,0,0,8,0,0,0,0,4.52941
function@spec_mem_fopen,0,0,0,0,0,26,0,0,0,0,9.41361
function@spec_mem_open,0,0,0,0,0,32,0,0,0,0,10.5588
function@spec_mem_write,0,0,0,0,0,24,0,0,0,0,41.6765
function@spec_mem_fwrite,8,1,0,2,0,21,6.49999,0.999998,2,0,42.9999
function@spec_mem_putc,0,0,0,0,0,17,0,0,0,0,8
function@spec_mem_feof,0,0,0,0,0,8,0,0,0,0,4
function@spec_mem_close,0,0,0,0,0,7,0,0,0,0,3.11765
function@spec_empty,0,0,0,0,0,0,0,0,0,0,0
function@spec_initbufs,0,0,0,0,0,0,0,0,0,0,0
function@spec_compress,0,0,0,0,0,0,0,0,0,0,0
function@debug_time,0,0,0,0,0,0,0,0,0,0,0
function@sum_str_to_hex,0,0,0,0,0,4,0,0,0,0,4
function@spec_mem_alloc_fds,0,0,0,0,0,5,0,0,0,0,3.94118
function@spec_mem_free_fds,0,0,0,0,0,5,0,0,0,0,3.5
function@lzma_delta_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_decode,0,0,0,0,0,18,0,0,0,0,7.21875
function@lzma_delta_props_decode,0,0,0,0,0,3,0,0,0,0,2.5
function@lzma_delta_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_encode,28,5,0,17,3,23,44.7138,0.805403,5.21841,1.09386,20.364
function@delta_encoder_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_props_encode,0,0,0,0,0,3,0,0,0,0,3
function@lzma_delta_coder_init,0,0,0,0,0,7,0,0,0,0,4.46835
function@delta_coder_end,0,0,0,0,0,6,0,0,0,0,6
function@lzma_delta_coder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_mf_find,0,0,0,0,0,9,0,0,0,0,7.70192
function@lzma_mf_hc3_find,16,5,0,8,3,10,13.4979,4.37295,4.71516,1.17418,21.0676
function@lzma_mf_hc3_skip,0,0,0,0,0,2,0,0,0,0,2.75
function@lzma_mf_hc4_find,21,6,0,11,3,13,11.0283,6.47309,5.63173,0.773371,15.8895
function@lzma_mf_hc4_skip,0,0,0,0,0,2,0,0,0,0,2.75
function@lzma_mf_bt2_find,48,5,0,17,4,9,50.784,5.968,16.664,1.992,37.56
function@lzma_mf_bt2_skip,9,2,0,7,2,10,142.947,72.2105,101.263,42,187.947
function@lzma_mf_bt3_find,72,13,0,20,6,21,49.2539,16.5452,17.9859,3.29617,35.8686
function@lzma_mf_bt3_skip,9,2,0,7,2,10,142.947,72.2105,101.263,42,187.947
function@lzma_mf_bt4_find,76,20,0,22,7,21,39.2626,27.9602,11.0888,1.99617,23.84
function@lzma_mf_bt4_skip,10,7,0,11,4,10,162.947,218.526,181.263,76.3684,187.947
function@lzma_lz_encoder_memusage,0,0,0,0,0,2,0,0,0,0,2
function@lz_encoder_prepare,0,0,0,0,0,14,0,0,0,0,5.17493
function@lzma_lz_encoder_init,0,0,0,0,0,16,0,0,0,0,7.98378
function@lz_encode,11,0,0,4,0,10,17.8771,0,4,0,53.2179
function@lz_encoder_end,0,0,0,0,0,9,0,0,0,0,8
function@lz_encoder_update,0,0,0,0,0,7,0,0,0,0,4.32353
function@lzma_mf_is_supported,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lz_decoder_init,0,0,0,0,0,16,0,0,0,0,8.30476
function@lz_decode,22,13,0,15,7,12,437.128,104.923,92.8488,9.8007,405.469
function@lz_decoder_end,0,0,0,0,0,8,0,0,0,0,7
function@lzma_lz_decoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lz_decoder_uncompressed,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lzma_optimum_fast,71,5,0,5,0,50,9.0639,1.20691,5,0,6.15403
function@lzma_lzma_preset,0,0,0,0,0,4,0,0,0,0,3.75
function@lzma_lzma_optimum_normal,262,154,0,125,14,125,173.395,58.3767,22.6855,4.37463,796.792
function@lzma_lzma2_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma2_encoder_init,0,0,0,0,0,9,0,0,0,0,6.81319
function@lzma_lzma2_encoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma2_props_encode,0,0,0,0,0,5,0,0,0,0,5
function@lzma2_encode,74,2,0,11,0,9,99.3788,7.46696,9.19824,0,14.804
function@lzma2_encoder_end,0,0,0,0,0,5,0,0,0,0,5
function@lzma2_encoder_options_update,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lzma2_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma2_decoder_init,0,0,0,0,0,8,0,0,0,0,6.94643
function@lzma_lzma2_decoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma2_props_decode,0,0,0,0,0,4,0,0,0,0,2.32353
function@lzma2_decode,12,0,0,3,0,18,14.1675,0,3,0,57.7864
function@lzma2_decoder_end,0,0,0,0,0,5,0,0,0,0,5
function@lzma_lzma_encode,17,2,0,5,3,50,48.1682,1.30092,5.06668,1.20606,182.703
function@rc_encode,0,0,0,0,0,10,0,0,0,0,7.11547
function@lzma_lzma_encoder_reset,0,0,0,0,0,49,0,0,0,0,5.93457
function@lzma_lzma_encoder_create,0,0,0,0,0,5,0,0,0,0,3.94643
function@lzma_lzma_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_encoder_memusage,0,0,0,0,0,1,0,0,0,0,0.999999
function@lzma_lzma_lclppb_encode,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lzma_props_encode,0,0,0,0,0,1,0,0,0,0,1
function@lzma_mode_is_supported,0,0,0,0,0,0,0,0,0,0,0
function@match,0,0,0,0,0,24,0,0,0,0,15.4521
function@length,0,0,0,0,0,14,0,0,0,0,6.54762
function@length_update_prices,3,1,0,1,1,26,2.12515,1,1,0.5,2178.71
function@lzma_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_decoder_create,0,0,0,0,0,3,0,0,0,0,3
function@lzma_decode,488,163,0,130,10,757,237.411,71.3857,61.7104,5.19843,209.791
function@lzma_decoder_reset,0,0,0,0,0,43,0,0,0,0,110.453
function@lzma_decoder_uncompressed,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_decoder_init,0,0,0,0,0,5,0,0,0,0,3.15165
function@lzma_lzma_lclppb_decode,0,0,0,0,0,1,0,0,0,0,0.5
function@lzma_lzma_decoder_memusage_nocheck,0,0,0,0,0,0,0,0,0,0,0
