"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,53,43,0,58,30,110,0.144507,0.447043,3.92913,1.42905,79.8389
function@SigIntHandler,0,0,0,0,0,0,0,0,0,0,0
function@Help,0,0,0,0,0,12,0,0,0,0,8.5
function@x264_adaptive_quant_frame,42,33,0,34,13,16,963.156,548.836,645.256,107.901,130.378
function@x264_macroblock_tree_read,0,0,0,0,0,14,0,0,0,0,12.0064
function@x264_reference_build_list_optimal,0,0,0,0,0,7,0,0,0,0,100.5
function@x264_ratecontrol_init_reconfigurable,1,1,0,3,0,12,0.381579,0.381579,0.759868,0,3.28947
function@x264_ratecontrol_new,236,9,0,17,7,140,81.6115,3.74939,2.45439,1.07198,8.93352
function@x264_strcat_filename,0,0,0,0,0,11,0,0,0,0,9.66667
function@init_pass2,221,97,0,140,20,29,11943,10443.5,7629.6,64.2718,2010.73
function@clip_qscale,21,13,0,18,0,8,4.61426,8.59763,5.61499,0,29.7725
function@x264_ratecontrol_summary,0,1,0,2,0,2,0,0.154412,0.147059,0,1.15441
function@x264_ratecontrol_delete,0,0,0,0,0,4,0,0,0,0,2.4
function@x264_ratecontrol_start,7,0,0,9,0,9,2.0791,0,2.23689,0,4.43743
function@rate_estimate_qscale,50,44,0,52,0,16,122.422,71.1181,60.318,0,4.95501
function@x264_ratecontrol_mb,19,11,0,21,0,18,4.89503,4.29006,2.8758,0,6.5016
function@predict_row_size_sum,9,5,0,11,0,8,56.7143,36.7143,53.6667,0,4.07143
function@x264_ratecontrol_qp,0,0,0,0,0,1,0,0,0,0,1
function@x264_ratecontrol_mb_qp,0,0,0,0,0,1,0,0,0,0,1
function@x264_ratecontrol_slice_type,0,0,0,0,0,5,0,0,0,0,2.80882
function@x264_ratecontrol_set_weights,0,0,0,0,0,1,0,0,0,0,0.4
function@x264_ratecontrol_end,52,10,0,14,0,8,19.9952,2.86936,5.67056,0,2.77221
function@x264_hrd_fullness,4,5,0,2,0,2,3,4.5,2,0,1.75
function@x264_threads_normalize_predictors,0,0,0,0,0,3,0,0,0,0,1.325
function@x264_threads_distribute_ratecontrol,0,0,0,0,0,16,0,0,0,0,50.653
function@x264_threads_merge_ratecontrol,29,2,0,4,4,5,123.64,7.83824,17.3015,15.6765,11.8603
function@x264_thread_sync_ratecontrol,0,0,0,0,0,0,0,0,0,0,0
function@x264_mb_encode_i4x4,0,0,0,0,0,18,0,0,0,0,8.125
function@x264_mb_encode_i8x8,0,0,0,0,0,19,0,0,0,0,9.98438
function@x264_mb_encode_8x8_chroma,204,15,0,18,10,46,1313.5,53.6055,72.2314,42.3428,341.515
function@x264_mb_optimize_chroma_dc,0,3,0,1,0,13,0,1.13725,0.490196,0,338.882
