"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z8clear_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z11clear_dp_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z18initialize_zobristP7state_t,0,0,0,0,0,15,0,0,0,0,447.25
function@_Z15initialize_hashP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z7StoreTTP7state_tiiijiiii,1,1,0,2,0,10,0.75,0.375,2,0,4.625
function@_Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i,0,0,0,0,0,2,0,0,0,0,1.94118
function@_Z10alloc_hashv,0,0,0,0,0,4,0,0,0,0,4
function@_Z9free_hashv,0,0,0,0,0,0,0,0,0,0,0
function@_Z4makeP7state_ti,13,0,0,5,0,17,4.16124,0,5,0,9.43322
function@_Z6unmakeP7state_ti,0,0,0,0,0,7,0,0,0,0,4.52941
function@_Z14setup_epd_lineP11gamestate_tP7state_tPKc,46,3,0,14,10,24,21.6562,3.5625,15.3906,6,76.2031
function@_Z14check_solutionP7state_tPci,0,0,0,0,0,9,0,0,0,0,7.23438
function@_Z17run_epd_testsuiteP11gamestate_tP7state_tPKc,0,0,0,0,0,22,0,0,0,0,186.5
function@_Z15position_to_fenP7state_tPc,0,0,0,0,0,4,0,0,0,0,3.24706
function@_Z5scaleiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z16static_pawn_evalP7state_t,62,7,0,30,0,34,105.986,11.8652,59.8516,0,148.357
function@_Z7qsearchP7state_tiiii,33,22,0,24,7,107,1.24857,4.21212,0.832428,0.301418,19.9231
function@_ZL17search_time_checkP7state_t,0,0,0,0,0,9,0,0,0,0,1.23166
function@_ZL16fast_order_movesP7state_tPiS1_ij,6,0,0,1,0,10,8.60294,0,1,0,61.3088
function@_ZL15remove_one_fastPiS_S_i,0,0,0,0,0,6,0,0,0,0,6.74118
function@_Z6searchP7state_tiiiii,158,61,0,71,21,215,0.437392,0.222369,0.38415,0.0597216,9.61595
function@_ZL11order_movesP7state_tPiS1_ij,25,6,0,13,0,18,41.3958,37.5208,9.5625,0,65.0208
function@_ZL12history_goodP7state_tii,0,0,0,0,0,4,0,0,0,0,3
function@_Z14rootmovesearchP7state_tiiiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z11search_rootP7state_tiii,30,22,0,19,10,81,41.8917,67.6929,44.9322,18.11,164.138
function@_Z21reset_search_countersP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z17reset_search_dataP7state_t,0,0,0,0,0,2,0,0,0,0,2
