"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@ClearMagickWand,0,0,0,0,0,1,0,0,0,0,1
function@CloneMagickWand,0,0,0,0,0,12,0,0,0,0,7.625
function@DestroyMagickWand,0,0,0,0,0,2,0,0,0,0,2
function@IsMagickWand,0,0,0,0,0,1,0,0,0,0,0.32
function@MagickClearException,0,0,0,0,0,1,0,0,0,0,1
function@MagickGetException,0,0,0,0,0,10,0,0,0,0,6.29412
function@MagickGetExceptionType,0,0,0,0,0,1,0,0,0,0,1
function@MagickGetIteratorIndex,0,0,0,0,0,1,0,0,0,0,1
function@MagickQueryConfigureOption,0,0,0,0,0,9,0,0,0,0,8.25
function@MagickQueryConfigureOptions,0,0,0,0,0,9,0,0,0,0,9
function@MagickQueryFontMetrics,0,0,0,0,0,16,0,0,0,0,7.35327
function@MagickQueryMultilineFontMetrics,0,0,0,0,0,16,0,0,0,0,7.35327
function@MagickQueryFonts,0,0,0,0,0,9,0,0,0,0,9
function@MagickQueryFormats,0,0,0,0,0,9,0,0,0,0,9
function@MagickRelinquishMemory,0,0,0,0,0,2,0,0,0,0,2
function@MagickResetIterator,0,0,0,0,0,1,0,0,0,0,1
function@MagickSetFirstIterator,0,0,0,0,0,1,0,0,0,0,1
function@MagickSetIteratorIndex,0,0,0,0,0,4,0,0,0,0,3.61765
function@MagickSetLastIterator,0,0,0,0,0,1,0,0,0,0,1
function@MagickWandGenesis,0,0,0,0,0,0,0,0,0,0,0
function@NewMagickWand,0,0,0,0,0,16,0,0,0,0,6.625
function@NewMagickWandFromImage,0,0,0,0,0,4,0,0,0,0,4
function@ConvertImageCommand,551,278,0,27,13,1333,0.938288,0.213863,1.68592,0.253976,19.6011
function@ConvertUsage,0,0,0,0,0,1,0,0,0,0,1
function@MagickCommandGenesis,13,1,0,18,0,31,35.2497,0.468748,39.1559,0,107.968
function@StringToInteger,0,0,0,0,0,0,0,0,0,0,0
