"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,79,46,0,72,9,636,28691.8,11294.6,1257.87,339.083,67806.9
function@_QMplane_source_modPplane_source_init,2,0,0,2,0,132,2,0,2,0,4111.66
function@_QMplane_source_modPplane_source_read,17,12,0,22,0,193,274.664,476.789,144.117,0,2478.62
function@_QMplane_source_modPplane_source_apply,6,13,0,14,0,16,11.625,54.75,9.5,0,62.25
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,3,0,0,0,0,3
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,5,0,0,3,0,387,0.369141,0,0.369141,0,78.838
function@_QMmur_modPmur_init,42,13,0,53,0,273,111.934,54.4495,13.6104,0,350.396
function@_QMmur_modPmur_updatee,632,149,0,315,13,141,333.391,114.219,76.7483,4.34437,118.808
function@_QMmur_modPmur_storee,63,56,0,54,2,100,45.9074,120.074,29.8889,1.31481,213.778
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,40,7,0,42,0,47,2742.5,872.65,390.55,0,4007.25
function@_QMupdate_modPupdate_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMupdate_modPupdateh,100,0,0,36,0,0,100,0,36,0,0
function@_QMupdate_modPupdateh..omp_par.4,162,112,0,145,76,31,24790.2,14655.1,2033,2807.46,20066.5
function@_QMupdate_modPupdateh..omp_par.3,58,19,0,70,8,17,3733.58,2857.08,171.5,46.5,4440.25
function@_QMupdate_modPupdateh..omp_par.2,26,9,0,35,8,14,585.5,436.583,82.75,25.9167,3096.5
function@_QMupdate_modPupdateh..omp_par.1,27,18,0,40,4,18,844.417,2515.83,94.9167,23.25,3419.83
function@_QMupdate_modPupdateh..omp_par,36,31,0,58,10,9,2738.92,3286.92,87.1667,47.8333,1711
function@_QMupdate_modPupdatee,83,0,0,34,0,5,58,0,33.5,0,2.5
function@_QMupdate_modPupdatee..omp_par.7,450,103,0,161,83,130,171616,51462,7842.37,5039.28,64396.8
function@_QMupdate_modPupdatee..omp_par.6,77,32,0,59,10,24,248.239,220.061,132.528,31.411,475.074
function@_QMupdate_modPupdatee..omp_par.5,71,32,0,57,11,42,313.798,644.123,158.712,34.5521,912.104
function@_QMupdate_modPupdatee..omp_par,18,11,0,28,0,8,147,1794.5,46.9167,0,1309.25
function@_QMupdate_modPupdate_inith,71,27,0,64,0,38,712.04,637.92,105.92,0,4100.2
function@_QMupdate_modPupdate_inith..omp_par.11,40,37,0,54,1,21,1365.08,1685.5,145,21.25,1327.33
function@_QMupdate_modPupdate_inith..omp_par.10,10,2,0,12,2,4,57.6667,31.8333,11.3333,1.33333,24.25
