"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,78,45,0,69,13,634,28890.8,11294.4,1256.9,341.083,51807.1
function@_QMplane_source_modPplane_source_init,2,0,0,2,0,132,2,0,2,0,4111.66
function@_QMplane_source_modPplane_source_read,19,12,0,22,0,196,275.016,476.789,144.117,0,2479.61
function@_QMplane_source_modPplane_source_apply,6,13,0,14,0,17,11.625,54.75,9.5,0,62.75
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,3,0,0,0,0,3
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,3,0,0,3,0,388,0.421875,0,0.421875,0,78.8908
function@_QMmur_modPmur_init,42,13,0,53,0,273,111.934,54.4495,13.6104,0,350.396
function@_QMmur_modPmur_updatee,609,147,0,310,13,137,334.02,152.841,76.0265,8.3245,114.338
function@_QMmur_modPmur_storee,62,56,0,54,2,97,48.1296,120.074,29.8889,1.31481,214.019
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,41,7,0,43,0,46,2750.45,872.65,398.5,0,3999.3
function@_QMupdate_modPupdate_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMupdate_modPupdateh,101,0,0,36,0,1,101,0,36,0,1
function@_QMupdate_modPupdateh..omp_par.4,220,101,0,144,77,68,34264.8,14190,2181,2782.49,20576.2
function@_QMupdate_modPupdateh..omp_par.3,58,20,0,70,7,16,4673.67,3198.33,171.5,45.8333,3768.33
function@_QMupdate_modPupdateh..omp_par.2,25,9,0,35,8,13,584.833,436.583,82.75,25.9167,3075.25
function@_QMupdate_modPupdateh..omp_par.1,26,18,0,39,4,18,843.417,2515.83,93.9167,23.25,3419.83
function@_QMupdate_modPupdateh..omp_par,37,32,0,60,10,15,2760.17,3287.58,514.75,47.8333,3431.58
function@_QMupdate_modPupdatee,82,0,0,34,0,11,57.5,0,33.5,0,6.5
function@_QMupdate_modPupdatee..omp_par.7,426,89,0,165,90,211,163706,51398.2,16721.5,5574.94,48215.5
function@_QMupdate_modPupdatee..omp_par.6,111,26,0,61,13,25,334.472,156.613,117.877,40.0491,475.074
function@_QMupdate_modPupdatee..omp_par.5,100,28,0,58,10,27,323.055,270.331,190.748,31.411,915.147
function@_QMupdate_modPupdatee..omp_par,18,11,0,28,0,8,147,1794.5,46.9167,0,1309.25
function@_QMupdate_modPupdate_inith,64,27,0,61,0,38,659.44,637.92,105.32,0,3693.36
function@_QMupdate_modPupdate_inith..omp_par.11,40,37,0,54,1,21,1365.08,1685.5,145,21.25,1327.33
function@_QMupdate_modPupdate_inith..omp_par.10,10,2,0,12,2,4,77.9167,31.8333,11.3333,1.33333,24.25
function@_QMupdate_modPupdate_inith..omp_par.9,7,6,0,8,0,7,9.58333,31.5,7.33333,0,35.4167
function@_QMupdate_modPupdate_inith..omp_par.8,7,6,0,8,0,7,9.58333,31.5,7.33333,0,35.4167
function@_QMupdate_modPupdate_inith..omp_par,5,7,0,12,3,4,25.25,67.5833,12,2,24.25
function@_QMupdate_modPupdate_inite,226,81,0,123,1,133,576.646,375.381,125.973,0.0343643,2329.83
function@_QMupdate_modPupdate_inite..omp_par.14,15,30,0,36,0,24,636.417,3830.5,194.667,0,2564.83
function@_QMupdate_modPupdate_inite..omp_par.13,1,4,0,5,0,12,1,40.4167,5,0,75.75
function@_QMupdate_modPupdate_inite..omp_par.12,1,4,0,5,0,11,1,53,5,0,75.0833
function@_QMupdate_modPupdate_inite..omp_par,1,2,0,3,0,5,1,13.9167,3,0,450.833
function@_QMupml_modPupml_allocate,16,9,0,15,0,469,11.5882,9,15,0,402.824
function@_QMupml_modPcheck_allocate,0,0,0,0,0,22,0,0,0,0,2
function@_QMupml_modPupml_set_eps_arrays,56,13,0,59,0,144,5060.98,1627.83,576.048,0,1056.1
function@_QMupml_modPupml_init,3136,453,0,692,601,1623,2644.2,1283.46,662.001,88.5817,3531.75
function@_QMupml_modPupml_initb,0,0,0,0,0,3,0,0,0,0,3
function@_QMupml_modPupml_initb..omp_par,150,34,0,136,21,53,523388,77511.8,292401,1578.75,168250
function@_QMupml_modPupml_inith,15,0,0,15,0,0,15,0,15,0,0
function@_QMupml_modPupml_inith..omp_par,285,214,0,177,4,161,10035.5,14487.2,875.833,85,10547.6
function@_QMupml_modPupml_updateh,30,0,0,30,0,0,30,0,30,0,0
function@_QMupml_modPupml_updateh..omp_par,848,315,0,627,1,505,4.39123e+06,1.34826e+06,1.38481e+06,13.25,2.30477e+06
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,30,0,0,30,0,0,30,0,30,0,0
function@_QMupml_modPupml_updatee_homo..omp_par,1458,463,0,1049,60,461,4.02914e+06,417791,485143,5380.33,1.2161e+06
function@_QMupml_modPupml_updatee_simple,30,0,0,30,0,0,30,0,30,0,0
function@_QMupml_modPupml_updatee_simple..omp_par,1561,488,0,1068,60,490,4.82693e+06,590767,499321,5380.33,1.38457e+06
function@_QMupml_modPupml_initd,0,0,0,0,0,3,0,0,0,0,3
function@_QMupml_modPupml_initd..omp_par,252,54,0,225,34,97,579591,84662.2,322286,3007,191994
function@_QMupml_modPupml_inite,15,0,0,15,0,0,15,0,15,0,0
function@_QMupml_modPupml_inite..omp_par,443,235,0,197,4,233,11427.8,14019,1049.61,80.2353,12731.7
function@_QMupml_modPupml_end,0,0,0,0,0,450,0,0,0,0,241.667
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,9,0,0,0,0,6.33333
function@_QMreadline_modPreadline,23,4,0,12,1,75,61.9511,3.19022,12.3098,0.375,241.87
function@_QMreadline_modPcheckifkeyword,0,0,0,0,0,5,0,0,0,0,32.4615
function@mpi_barrier_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_bcast_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_integers_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_reals_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_bcast_logical_,1,0,0,1,0,12,1,0,1,0,12
function@mpi_cart_rank_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_cart_create_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_cart_coords_,0,0,0,0,0,11,0,0,0,0,11
function@mpi_cart_shift_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_comm_rank_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_comm_size_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,12,0,0,0,0,12
function@mpi_ssend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_bsend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_sendrecv_,1,0,0,1,0,21,1,0,1,0,21
function@mpi_wait_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_isend_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_wtick_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_buffer_attach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_buffer_detach_,0,0,0,0,0,7,0,0,0,0,7
function@mpi_pack_size_,0,0,0,0,0,10,0,0,0,0,10
function@mpi_gather_,0,0,0,0,0,14,0,0,0,0,14
function@mpi_type_struct_,2,0,0,2,0,14,2,0,2,0,14
function@mpi_type_commit_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_extent_,0,0,0,0,0,6,0,0,0,0,6
function@mpi_type_free_,0,0,0,0,0,5,0,0,0,0,5
function@mpi_type_vector_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_type_hvector_,1,0,0,1,0,13,1,0,1,0,13
function@mpi_irecv_,0,0,0,0,0,12,0,0,0,0,12
function@mpi_waitall_,0,0,0,0,0,9,0,0,0,0,9
function@mpi_sendrecv_replace_,1,0,0,1,0,21,1,0,1,0,21
function@mpi_bsend_init_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_recv_init_,0,0,0,0,0,13,0,0,0,0,13
function@mpi_dims_create_,0,0,0,0,0,9,0,0,0,0,9
