"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,175,76,0,128,32,573,29020.7,10041.2,2082.81,2009.75,34319.6
function@_QMplane_source_modPplane_source_init,2,0,0,2,0,136,2,0,2,0,4161.36
function@_QMplane_source_modPplane_source_read,75,35,0,45,15,151,958.578,1223.65,511.945,98.8047,1762.5
function@_QMplane_source_modPplane_source_apply,39,21,0,30,10,9,930.5,439.938,70.5,34.5,40.75
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,3,0,0,0,0,3
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,16,0,0,0,0,8.89412
function@init_,1,7,0,4,1,341,0.0878906,0.512787,0.337006,2.41699,72.2814
function@_QMmur_modPmur_init,100,85,0,53,17,231,123.865,96.6919,31.0283,2.58789,323.029
function@_QMmur_modPmur_updatee,835,641,0,472,223,65,6028.41,1101.38,377.053,523.563,61.543
function@_QMmur_modPmur_storee,192,161,0,149,40,65,1266.31,1276.89,310.093,34.3518,153.019
function@_QMmur_modPmur_end,0,0,0,0,0,72,0,0,0,0,10.3125
function@_QMmur_modPmur_set_mf_arrays,73,24,0,40,7,24,4550.9,2221.75,360.25,1116.45,3762
function@_QMupdate_modPupdate_init,0,0,0,0,0,2,0,0,0,0,2
function@_QMupdate_modPupdateh,129,12,0,47,8,0,129,12,47,8,0
function@_QMupdate_modPupdateh..omp_par.4,233,175,0,179,108,5,106308,13751,6989.12,17617,420
function@_QMupdate_modPupdateh..omp_par.3,49,39,0,64,26,6,1932.25,6657.17,177.417,68.75,2047.5
function@_QMupdate_modPupdateh..omp_par.2,21,16,0,28,14,1,459.75,821.833,67.8333,9.66667,341.25
function@_QMupdate_modPupdateh..omp_par.1,31,16,0,37,14,2,1166.67,1152.83,83,30.25,682.5
function@_QMupdate_modPupdateh..omp_par,50,47,0,67,16,2,4436.42,4263,519.75,904,853.167
function@_QMupdate_modPupdatee,99,11,0,48,10,0,73.5,11,48,10,0
function@_QMupdate_modPupdatee..omp_par.7,315,184,0,243,129,51,134337,90316.9,15712.4,8437.89,34218.7
function@_QMupdate_modPupdatee..omp_par.6,99,72,0,90,14,13,1322.87,788.442,365.374,60.6319,439.73
function@_QMupdate_modPupdatee..omp_par.5,95,65,0,87,21,14,1331.74,772.92,356.896,99.8957,818.233
function@_QMupdate_modPupdatee..omp_par,26,19,0,34,3,3,3940.83,2702.67,3032.33,854.167,453.083
function@_QMupdate_modPupdate_inith,122,44,0,58,33,26,1299.16,859.96,72.68,22.8,3718.16
function@_QMupdate_modPupdate_inith..omp_par.11,67,58,0,69,13,9,1461.75,4437.33,714.167,156.167,992.417
function@_QMupdate_modPupdate_inith..omp_par.10,10,2,0,10,8,1,58.3333,351.833,10,5.33333,21.25
function@_QMupdate_modPupdate_inith..omp_par.9,12,5,0,10,8,4,553.083,38,27.4167,379.833,27.8333
function@_QMupdate_modPupdate_inith..omp_par.8,11,6,0,10,9,3,531.833,43.25,27.0833,380.5,27.1667
function@_QMupdate_modPupdate_inith..omp_par,7,7,0,12,4,1,39.5,67.5833,12,2.66667,21.25
function@_QMupdate_modPupdate_inite,357,217,0,166,73,52,889.952,661.787,94.1993,22.0722,2321.71
